Total,Total,(Intrusion Detection System),(((Fence) OR Fencing system) AND Intrusion Detection System),((Void11) AND Intrusion Detection System),(((Alexa) OR Alexa Top) AND Intrusion Detection System),((Kyoto 2006+) AND Intrusion Detection System),((CSIM) AND Intrusion Detection System),((((UNM) OR UNM Dataset) OR Firefox Dataset) AND Intrusion Detection System),((Honeynet Traffic) AND Intrusion Detection System),((((((DarpaIDE) OR Darpa1998) OR Darpa98) OR 1998 Darpa Intrusion Detection Evaluation) OR Darpa Intrusion Detection Evaluation) AND Intrusion Detection System),(((((KDD98) OR KDD Cup 98) OR KDD Cup 1998) OR new ADFA-LD) AND Intrusion Detection System),(((Blaster worm) OR blaster) AND Intrusion Detection System),(((((MIT LL) OR MIT Lincoln Labs IDS) OR Attack data generated from MIT Lincoln Laboratories) OR MIT Lincoln Laboratories) AND Intrusion Detection System),(((SPEC2006) OR SPEC CPU2006) AND Intrusion Detection System),((((Clam virus database) OR clam) OR clamAV) AND Intrusion Detection System),((SPEC2000) AND Intrusion Detection System),((MAWILab) AND Intrusion Detection System),(((Parsec) OR Benchmarking modern multiprocessors) AND Intrusion Detection System),((((KDD99) OR KDD Cup 1999) OR KDD Cup 99) AND Intrusion Detection System),(((expansion factor) OR states rules ratio) AND Intrusion detection system),((number of states) AND Intrusion Detection System),((((state transition) OR total transitions) OR total transition) AND Intrusion Detection System),(((distinct transitions) OR distinct transition) AND Intrusion detection system),(((((Deterministic Finite Automata) OR DFA) OR Finite state automata) OR state machine) AND Intrusion Detection System),((Time complexity) AND Intrusion detection system),((((Computational time) OR Execution time) OR running time) AND Intrusion detection system),(((CPU Usage) OR Processor Usage) AND Intrusion Detection System),(((((Scanning time) OR time spent scanning) OR time spent pattern matching) OR pattern matching time) AND Intrusion detection system),(((saved battery) OR battery consumption) AND Intrusion Detection System),((((Energy consumption) OR Energy usage) OR Energy cost) AND Intrusion Detection System),(((((False positive) OR misclassification) OR False alarm) OR type I error) AND Intrusion Detection System),((Recall) AND Intrusion Detection System),(((True Positive) OR Detection Rate) AND Intrusion Detection System),((Relative Error) AND Intrusion Detection System),(((((ROC) OR area under curve) OR Receiver operating characteristic) OR area under ROC curve) AND Intrusion Detection System),((accuracy) AND Intrusion Detection System),((True Negative) AND Intrusion Detection System),((Precision) AND Intrusion Detection System),(((False negative) OR Type II error) AND Intrusion Detection System),((F-value) AND Intrusion Detection System),((((Lines of code) OR LOC) OR SLOC) AND Intrusion Detection System),((((joules) OR kilojoules) OR megajoules) AND Intrusion Detection System),((hours) AND Intrusion detection system),((minutes) AND Intrusion detection system),(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System),(((((((watts) OR watt) OR kilowatt) OR kilowatts) OR megawatt) OR megawatts) AND Intrusion Detection System),((seconds) AND Intrusion detection system),((((((((megabyte) OR mb) OR gigabyte) OR gb) OR kilobyte) OR kb) OR byte) AND Intrusion Detection System),((Overhead) AND Intrusion detection system),(((((System slowdown) OR change in system speed) OR increase in processing time) OR increase in memory usage) AND Intrusion Detection System),(((memory usage) OR memory) AND Intrusion Detection System),(((Monitoring Interval) OR System monitoring) AND Intrusion detection system),((Processing bandwidth) AND Intrusion detection system),((((Number of resources) OR Max number of resources) OR Maximum number of resources) AND Intrusion detection system),(((((System Slowdown) OR Change in system speed) OR Percent increase in processing time) OR Percent increase in memory usage) AND Intrusion Detection System),(((((throughput) OR processing speed) OR processing bandwidth) OR bytes analyzed per second) AND Intrusion detection system),(Tagged papers),(Not Applicable),
(((Blaster worm) OR blaster) AND Intrusion Detection System),80,80,1,0,0,0,0,2,0,1,0,80,0,0,1,1,0,0,0,0,1,9,0,5,1,4,2,0,0,0,43,7,19,1,3,30,3,8,18,0,0,0,21,18,28,3,26,32,23,0,28,1,0,0,0,10,0,0,
(((((MIT LL) OR MIT Lincoln Labs IDS) OR Attack data generated from MIT Lincoln Laboratories) OR MIT Lincoln Laboratories) AND Intrusion Detection System),10,10,1,0,0,0,0,1,0,4,0,0,10,0,1,0,0,0,2,2,4,2,0,1,0,1,2,0,0,2,9,1,6,0,4,7,0,2,2,0,0,0,3,2,5,0,2,2,5,0,6,0,0,0,0,2,0,0,
(((SPEC2006) OR SPEC CPU2006) AND Intrusion Detection System),4,4,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,3,2,4,0,3,1,0,0,0,0,0,0,
((((Clam virus database) OR clam) OR clamAV) AND Intrusion Detection System),175,76,0,0,0,1,0,0,0,0,0,1,1,0,175,0,0,0,2,25,31,31,0,46,19,17,1,5,0,3,25,13,8,0,3,12,3,6,10,0,1,0,10,13,52,0,13,53,37,0,62,1,2,1,0,48,2,1,
((SPEC2000) AND Intrusion Detection System),6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,0,0,3,0,0,1,0,0,0,1,0,4,0,1,4,6,0,6,2,0,0,0,1,0,0,
((MAWILab) AND Intrusion Detection System),5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,4,0,2,3,2,1,4,0,0,0,0,3,3,0,3,3,0,0,1,0,0,0,0,1,0,0,
(((Parsec) OR Benchmarking modern multiprocessors) AND Intrusion Detection System),8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,4,1,2,0,1,3,0,0,0,0,1,1,2,1,2,0,4,4,5,0,4,1,0,0,0,1,0,0,
((((KDD99) OR KDD Cup 1999) OR KDD Cup 99) AND Intrusion Detection System),697,697,1,0,0,9,0,9,0,135,3,0,2,0,2,0,0,0,697,6,39,39,0,10,50,79,10,0,1,12,514,71,482,0,85,534,75,130,170,9,0,0,32,27,241,1,119,143,60,0,231,6,0,0,0,55,1,0,
(((expansion factor) OR states rules ratio) AND Intrusion detection system),227,223,0,0,1,0,0,17,0,9,0,0,2,0,25,0,0,0,6,227,224,132,2,132,47,50,8,6,2,14,99,44,44,2,26,62,3,24,30,0,6,1,30,32,84,3,36,111,79,1,150,3,2,2,0,102,1,1,
((number of states) AND Intrusion Detection System),478,472,0,0,1,0,0,24,0,26,0,1,4,0,31,0,0,0,39,224,478,157,2,164,73,83,14,6,3,19,205,70,116,2,36,182,10,61,69,1,11,2,61,58,176,5,95,196,149,1,285,7,4,4,0,161,1,1,
((((state transition) OR total transitions) OR total transition) AND Intrusion Detection System),598,595,3,0,2,0,1,26,0,30,2,9,2,0,31,0,0,0,39,132,157,598,3,206,57,76,18,5,6,35,300,55,171,3,40,246,12,55,91,1,10,3,68,78,171,6,130,188,174,0,285,18,0,2,0,146,1,2,
(((distinct transitions) OR distinct transition) AND Intrusion detection system),5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,1,2,0,0,0,0,2,0,0,
(((((Deterministic Finite Automata) OR DFA) OR Finite state automata) OR state machine) AND Intrusion Detection System),621,617,4,0,3,2,1,14,0,23,0,5,1,1,46,1,0,0,10,132,164,206,4,621,89,113,16,13,4,40,225,80,102,2,28,205,8,52,65,0,28,3,68,81,258,9,156,291,252,2,416,18,3,3,0,265,2,1,
((Time complexity) AND Intrusion detection system),354,353,0,0,2,4,0,9,0,15,0,1,0,0,19,0,0,0,50,47,73,57,1,89,354,96,8,10,2,19,146,49,107,4,28,164,14,47,56,1,4,2,33,34,105,3,69,115,91,0,202,2,1,4,0,92,1,0,
((((Computational time) OR Execution time) OR running time) AND Intrusion detection system),679,679,3,0,3,2,0,20,0,32,0,4,1,3,17,0,1,1,79,50,83,76,0,113,96,679,29,9,3,44,251,96,170,4,42,308,26,99,93,1,25,6,86,94,221,10,193,269,266,4,451,17,4,4,0,189,2,0,
(((CPU Usage) OR Processor Usage) AND Intrusion Detection System),204,204,0,0,1,0,0,9,0,8,0,2,2,1,1,1,0,0,10,8,14,18,0,16,8,29,204,0,11,16,99,19,59,2,11,100,5,28,36,0,7,0,33,41,63,3,70,66,88,1,160,14,1,2,1,45,0,0,
(((((Scanning time) OR time spent scanning) OR time spent pattern matching) OR pattern matching time) AND Intrusion detection system),26,26,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,6,6,5,0,13,10,9,0,26,0,0,8,4,3,0,0,7,0,1,3,0,0,0,1,2,16,0,8,18,15,0,23,0,1,0,0,14,1,0,
(((saved battery) OR battery consumption) AND Intrusion Detection System),40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,1,4,2,3,11,0,40,20,20,6,10,0,1,18,1,6,7,0,1,1,8,8,9,3,12,13,18,0,30,1,0,0,0,3,0,0,
((((Energy consumption) OR Energy usage) OR Energy cost) AND Intrusion Detection System),526,522,5,0,1,0,0,1,0,4,0,0,2,0,3,0,0,1,12,14,19,35,1,40,19,44,16,0,20,526,149,41,93,3,15,191,4,40,51,0,8,18,56,57,132,18,143,116,269,0,275,5,1,2,0,147,1,1,
(((((False positive) OR misclassification) OR False alarm) OR type I error) AND Intrusion Detection System),2977,2976,37,2,8,9,3,79,1,232,4,43,9,0,25,4,4,4,514,99,205,300,0,225,146,251,99,8,20,149,2977,296,1471,14,329,1693,201,384,948,12,44,8,344,403,758,16,707,684,683,3,1203,67,2,9,0,383,8,3,
((Recall) AND Intrusion Detection System),619,617,5,0,4,1,0,9,0,42,0,7,1,0,13,0,2,1,71,44,70,55,0,80,49,96,19,4,6,41,296,619,192,5,62,331,52,244,144,13,18,5,88,99,179,6,159,202,194,1,295,13,2,3,0,120,3,2,
(((True Positive) OR Detection Rate) AND Intrusion Detection System),1826,1822,11,3,5,8,1,62,1,177,4,19,6,0,8,1,4,2,482,44,116,171,0,102,107,170,59,3,10,93,1471,192,1826,7,283,1190,203,274,525,10,11,4,169,197,492,8,402,395,371,0,681,30,2,2,0,206,7,2,
((Relative Error) AND Intrusion Detection System),35,35,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,3,0,2,4,4,2,0,0,3,14,5,7,35,7,26,3,16,7,0,0,0,12,14,9,1,18,10,11,0,15,2,0,0,0,9,0,0,
(((((ROC) OR area under curve) OR Receiver operating characteristic) OR area under ROC curve) AND Intrusion Detection System),392,389,7,0,1,5,1,21,0,53,2,3,4,0,3,0,2,1,85,26,36,40,0,28,28,42,11,0,1,15,329,62,283,7,392,270,46,84,113,3,1,1,52,47,114,3,96,99,75,0,149,5,1,1,0,52,2,0,
((accuracy) AND Intrusion Detection System),3135,3132,25,1,10,7,2,57,0,206,3,30,7,1,12,3,3,3,534,62,182,246,0,205,164,308,100,7,18,191,1693,331,1190,26,270,3135,171,513,634,15,40,4,324,375,779,29,727,703,738,3,1276,72,3,12,1,434,4,2,
((True Negative) AND Intrusion Detection System),207,207,0,0,1,5,0,6,0,20,0,3,0,0,3,0,2,0,75,3,10,12,0,8,14,26,5,0,1,4,201,52,203,3,46,171,207,68,187,0,2,0,24,14,60,1,54,57,33,0,76,3,0,0,0,25,0,0,
((Precision) AND Intrusion Detection System),775,774,9,1,1,2,0,13,0,41,0,8,2,0,6,0,1,0,130,24,61,55,0,52,47,99,28,1,6,40,384,244,274,16,84,513,68,775,177,13,16,1,104,112,211,9,199,200,179,0,355,13,0,2,0,135,1,1,
(((False negative) OR Type II error) AND Intrusion Detection System),1022,1020,5,2,4,8,1,24,0,77,0,18,2,0,10,1,4,0,170,30,69,91,0,65,56,93,36,3,7,51,948,144,525,7,113,634,187,177,1022,3,12,4,128,135,258,6,242,244,217,0,411,24,1,3,0,128,3,0,
((F-value) AND Intrusion Detection System),24,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,1,1,0,0,1,1,0,0,0,0,12,13,10,0,3,15,0,13,3,24,1,0,1,0,4,0,4,2,2,0,5,1,0,0,0,0,1,0,
((((Lines of code) OR LOC) OR SLOC) AND Intrusion Detection System),124,124,1,0,1,0,0,3,0,3,0,0,0,1,1,0,0,1,0,6,11,10,0,28,4,25,7,0,1,8,44,18,11,0,1,40,2,16,12,1,124,0,16,23,37,0,47,40,55,1,77,5,0,2,0,23,0,0,
((((joules) OR kilojoules) OR megajoules) AND Intrusion Detection System),24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,1,3,2,6,0,0,1,18,8,5,4,0,1,4,0,1,4,0,0,24,4,4,11,3,8,5,18,0,12,0,0,0,0,7,0,0,
((hours) AND Intrusion detection system),852,849,14,1,6,1,0,10,1,31,1,21,3,1,10,1,0,2,32,30,61,68,1,68,33,86,33,1,8,56,344,88,169,12,52,324,24,104,128,1,16,4,852,319,228,15,296,260,197,0,387,26,1,4,0,127,0,2,
((minutes) AND Intrusion detection system),919,915,13,2,5,0,1,9,0,35,1,18,2,1,13,0,3,1,27,32,58,78,1,81,34,94,41,2,8,57,403,99,197,14,47,375,14,112,135,0,23,4,319,919,284,17,400,319,275,2,430,32,1,4,0,181,0,1,
(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System),1803,1797,5,1,9,5,0,20,2,122,1,28,5,1,52,4,3,2,241,84,176,171,1,258,105,221,63,16,9,132,758,179,492,9,114,779,60,211,258,4,37,11,228,284,1803,14,585,890,654,6,1013,44,5,5,1,563,4,2,
(((((((watts) OR watt) OR kilowatt) OR kilowatts) OR megawatt) OR megawatts) AND Intrusion Detection System),68,66,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,3,5,6,1,9,3,10,3,0,3,18,16,6,8,1,3,29,1,9,6,0,0,3,15,17,14,68,15,20,16,0,32,2,0,2,0,18,0,0,
((seconds) AND Intrusion detection system),1603,1600,22,4,10,4,2,20,1,95,0,26,2,3,13,1,3,4,119,36,95,130,1,156,69,193,70,8,12,143,707,159,402,18,96,727,54,199,242,4,47,8,296,400,585,15,1603,520,574,2,795,53,1,9,0,388,5,2,
((((((((megabyte) OR mb) OR gigabyte) OR gb) OR kilobyte) OR kb) OR byte) AND Intrusion Detection System),1780,1776,7,1,8,5,1,24,2,98,2,32,2,2,53,4,3,4,143,111,196,188,2,291,115,269,66,18,13,116,684,202,395,10,99,703,57,200,244,2,40,5,260,319,890,20,520,1780,658,6,1121,55,5,12,0,559,5,2,
((Overhead) AND Intrusion detection system),2015,2015,12,2,9,0,0,24,0,56,1,23,5,4,37,6,0,5,60,79,149,174,0,252,91,266,88,15,18,269,683,194,371,11,75,738,33,179,217,2,55,18,197,275,654,16,574,658,2015,6,1140,64,5,9,1,614,4,3,
(((((System slowdown) OR change in system speed) OR increase in processing time) OR increase in memory usage) AND Intrusion Detection System),9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,4,1,0,0,0,3,1,0,0,0,3,0,0,0,0,1,0,0,2,6,0,2,6,6,9,9,0,0,0,1,3,0,0,
(((memory usage) OR memory) AND Intrusion Detection System),3321,3321,16,3,9,2,2,44,1,147,0,28,6,3,62,6,1,4,231,150,285,285,2,416,202,451,160,23,30,275,1203,295,681,15,149,1276,76,355,411,5,77,12,387,430,1013,32,795,1121,1140,9,3321,117,7,20,1,833,8,4,
(((Monitoring Interval) OR System monitoring) AND Intrusion detection system),213,213,1,0,1,0,1,2,0,4,0,1,0,1,1,2,0,1,6,3,7,18,0,18,2,17,14,0,1,5,67,13,30,2,5,72,3,13,24,1,5,0,26,32,44,2,53,55,64,0,117,213,0,1,0,28,1,0,
((Processing bandwidth) AND Intrusion detection system),9,9,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,4,0,0,3,1,4,1,1,0,1,2,2,2,0,1,3,0,0,1,0,0,0,1,1,5,0,1,5,5,0,7,0,9,0,0,9,1,0,
((((Number of resources) OR Max number of resources) OR Maximum number of resources) AND Intrusion detection system),35,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,2,0,3,4,4,2,0,0,2,9,3,2,0,1,12,0,2,3,0,2,0,4,4,5,2,9,12,9,0,20,1,0,35,0,8,0,0,
(((((System Slowdown) OR Change in system speed) OR Percent increase in processing time) OR Percent increase in memory usage) AND Intrusion Detection System),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,
(((((throughput) OR processing speed) OR processing bandwidth) OR bytes analyzed per second) AND Intrusion detection system),1327,1325,4,0,4,2,0,6,0,43,0,10,2,0,48,1,1,1,55,102,161,146,2,265,92,189,45,14,3,147,383,120,206,9,52,434,25,135,128,0,23,7,127,181,563,18,388,559,614,3,833,28,9,8,0,1327,3,1,
(Tagged papers),53,13,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,1,0,2,1,2,0,1,0,1,8,3,7,0,2,4,0,1,3,1,0,0,0,0,4,0,5,5,4,0,8,1,1,0,0,3,53,1,
(Not Applicable),68,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,3,2,2,0,0,2,0,1,0,0,0,0,2,1,2,0,2,2,3,0,4,0,0,0,0,1,1,68,
