Total,Total,(Tagged papers),(Not Applicable),(((Fence) OR Fencing system) AND Intrusion Detection System),(Intrusion Detection System),(((Alexa) OR Alexa Top) AND Intrusion Detection System),(((Blaster worm) OR blaster) AND Intrusion Detection System),((((Clam virus database) OR clam) OR clamAV) AND Intrusion Detection System),((CSIM) AND Intrusion Detection System),((((((DarpaIDE) OR Darpa1998) OR Darpa98) OR 1998 Darpa Intrusion Detection Evaluation) OR Darpa Intrusion Detection Evaluation) AND Intrusion Detection System),((Honeynet Traffic) AND Intrusion Detection System),(((((KDD98) OR KDD Cup 98) OR KDD Cup 1998) OR new ADFA-LD) AND Intrusion Detection System),((((KDD99) OR KDD Cup 1999) OR KDD Cup 99) AND Intrusion Detection System),((Kyoto 2006+) AND Intrusion Detection System),((MAWILab) AND Intrusion Detection System),(((((MIT LL) OR MIT Lincoln Labs IDS) OR Attack data generated from MIT Lincoln Laboratories) OR MIT Lincoln Laboratories) AND Intrusion Detection System),(((Parsec) OR Benchmarking modern multiprocessors) AND Intrusion Detection System),((SPEC2000) AND Intrusion Detection System),(((SPEC2006) OR SPEC CPU2006) AND Intrusion Detection System),((((UNM) OR UNM Dataset) OR Firefox Dataset) AND Intrusion Detection System),((Void11) AND Intrusion Detection System),((Time complexity) AND Intrusion detection system),((accuracy) AND Intrusion Detection System),(((False negative) OR Type II error) AND Intrusion Detection System),,((F-value) AND Intrusion Detection System),((Precision) AND Intrusion Detection System),((Recall) AND Intrusion Detection System),((Relative Error) AND Intrusion Detection System),(((((ROC) OR area under curve) OR Receiver operating characteristic) OR area under ROC curve) AND Intrusion Detection System),((True Negative) AND Intrusion Detection System),(((True Positive) OR Detection Rate) AND Intrusion Detection System),((((Computational time) OR Execution time) OR running time) AND Intrusion detection system),(((CPU Usage) OR Processor Usage) AND Intrusion Detection System),(((((Scanning time) OR time spent scanning) OR time spent pattern matching) OR pattern matching time) AND Intrusion detection system),((((Number of resources) OR Max number of resources) OR Maximum number of resources) AND Intrusion detection system),(((memory usage) OR memory) AND Intrusion Detection System),(((Monitoring Interval) OR System monitoring) AND Intrusion detection system),((Overhead) AND Intrusion detection system),((Processing bandwidth) AND Intrusion detection system),(((((System Slowdown) OR Change in system speed) OR Percent increase in processing time) OR Percent increase in memory usage) AND Intrusion Detection System),(((((System slowdown) OR change in system speed) OR increase in processing time) OR increase in memory usage) AND Intrusion Detection System),(((((throughput) OR processing speed) OR processing bandwidth) OR bytes analyzed per second) AND Intrusion detection system),((((Lines of code) OR LOC) OR SLOC) AND Intrusion Detection System),((((((((megabyte) OR mb) OR gigabyte) OR gb) OR kilobyte) OR kb) OR byte) AND Intrusion Detection System),(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System),((hours) AND Intrusion detection system),((minutes) AND Intrusion detection system),((seconds) AND Intrusion detection system),
(((((KDD98) OR KDD Cup 98) OR KDD Cup 1998) OR new ADFA-LD) AND Intrusion Detection System),4,0,0,0,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,
((((KDD99) OR KDD Cup 1999) OR KDD Cup 99) AND Intrusion Detection System),697,0,0,1,697,0,0,2,0,135,0,3,697,9,0,2,0,0,0,9,0,50,534,170,511,9,130,71,0,85,75,482,79,10,0,0,231,6,60,0,0,0,55,0,143,241,32,27,119,
((Kyoto 2006+) AND Intrusion Detection System),10,0,0,0,10,0,0,1,0,0,0,0,9,10,0,0,0,0,0,0,0,4,7,8,9,0,2,1,0,5,5,8,2,0,0,0,2,0,0,0,0,0,2,0,5,5,1,0,4,
((MAWILab) AND Intrusion Detection System),5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,4,4,0,1,2,0,2,2,4,1,0,0,0,1,0,0,0,0,0,1,0,3,3,0,3,3,
(((((MIT LL) OR MIT Lincoln Labs IDS) OR Attack data generated from MIT Lincoln Laboratories) OR MIT Lincoln Laboratories) AND Intrusion Detection System),10,0,0,1,10,0,0,1,0,4,0,0,2,0,0,10,0,0,0,1,0,0,7,2,9,0,2,1,0,4,0,6,1,2,0,0,6,0,5,0,0,0,2,0,2,5,3,2,2,
(((Parsec) OR Benchmarking modern multiprocessors) AND Intrusion Detection System),8,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,4,0,0,1,0,1,0,2,1,0,0,0,4,1,5,0,0,0,1,1,4,2,2,1,4,
((SPEC2000) AND Intrusion Detection System),6,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,1,4,0,0,0,0,0,0,1,0,1,0,0,6,2,6,0,0,0,1,0,4,4,1,0,1,
(((SPEC2006) OR SPEC CPU2006) AND Intrusion Detection System),4,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,3,1,4,0,0,0,0,1,2,1,1,1,3,
((((UNM) OR UNM Dataset) OR Firefox Dataset) AND Intrusion Detection System),116,0,0,0,115,0,2,0,0,4,0,3,9,0,0,1,0,0,0,116,0,9,57,24,79,0,13,9,1,21,6,62,20,9,0,0,44,2,24,0,0,0,6,3,24,20,10,9,20,
((Void11) AND Intrusion Detection System),6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,2,0,1,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,1,1,1,2,4,
((Time complexity) AND Intrusion detection system),354,0,0,0,353,2,1,19,0,15,0,0,50,4,0,0,0,0,0,9,0,354,164,56,146,1,47,49,4,28,14,107,96,8,10,4,202,2,91,1,0,0,92,4,115,105,33,34,69,
((accuracy) AND Intrusion Detection System),3137,0,0,27,3134,10,30,12,2,206,0,3,534,7,3,7,3,3,1,57,1,164,3137,634,1687,15,515,331,26,270,171,1190,308,100,7,12,1278,72,740,3,1,3,434,40,703,779,324,375,727,
(((False negative) OR Type II error) AND Intrusion Detection System),1022,0,0,5,1020,4,18,10,1,77,0,0,170,8,4,2,0,1,0,24,2,56,634,1022,946,3,177,144,7,113,187,525,93,36,3,3,411,24,217,1,0,0,128,12,244,258,128,135,242,
,2977,0,0,36,2968,8,43,25,3,232,1,4,511,9,4,9,4,4,0,79,2,146,1687,946,2977,12,383,295,14,328,201,1467,251,99,8,9,1203,67,683,2,0,3,383,44,682,755,344,402,705,
((F-value) AND Intrusion Detection System),24,0,0,0,24,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,1,15,3,12,24,13,13,0,3,0,10,1,0,0,0,5,1,2,0,0,0,0,1,2,4,1,0,4,
((Precision) AND Intrusion Detection System),777,0,0,11,776,1,8,6,0,41,0,0,130,2,1,2,0,0,0,13,1,47,515,177,383,13,777,244,16,84,68,274,99,28,1,2,357,13,181,0,0,0,135,16,200,211,104,112,199,
((Recall) AND Intrusion Detection System),619,0,0,5,617,4,7,13,0,42,0,0,71,1,2,1,1,0,0,9,0,49,331,144,295,13,244,619,5,62,52,192,96,19,4,3,295,13,194,2,0,1,120,18,202,179,88,99,159,
((Relative Error) AND Intrusion Detection System),35,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,26,7,14,0,16,5,35,7,3,7,4,2,0,0,15,2,11,0,0,0,9,0,10,9,12,14,18,
(((((ROC) OR area under curve) OR Receiver operating characteristic) OR area under ROC curve) AND Intrusion Detection System),392,0,0,7,389,1,3,3,1,53,0,2,85,5,2,4,1,0,0,21,0,28,270,113,328,3,84,62,7,392,46,283,42,11,0,1,149,5,75,1,0,0,52,1,99,114,52,47,96,
((True Negative) AND Intrusion Detection System),207,0,0,0,207,1,3,3,0,20,0,0,75,5,2,0,0,0,0,6,0,14,171,187,201,0,68,52,3,46,207,203,26,5,0,0,76,3,33,0,0,0,25,2,57,60,24,14,54,
(((True Positive) OR Detection Rate) AND Intrusion Detection System),1826,0,0,11,1822,5,19,8,1,177,1,4,482,8,4,6,2,1,0,62,3,107,1190,525,1467,10,274,192,7,283,203,1826,170,59,3,2,681,30,371,2,0,0,206,11,395,492,169,197,402,
((((Computational time) OR Execution time) OR running time) AND Intrusion detection system),679,0,0,3,679,3,4,17,0,32,0,0,79,2,1,1,1,0,3,20,0,96,308,93,251,1,99,96,4,42,26,170,679,29,9,4,451,17,266,4,0,4,189,25,269,221,86,94,193,
(((CPU Usage) OR Processor Usage) AND Intrusion Detection System),204,0,0,0,204,1,2,1,0,8,0,0,10,0,0,2,0,1,1,9,0,8,100,36,99,0,28,19,2,11,5,59,29,204,0,2,160,14,88,1,1,1,45,7,66,63,33,41,70,
(((((Scanning time) OR time spent scanning) OR time spent pattern matching) OR pattern matching time) AND Intrusion detection system),26,0,0,0,26,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,10,7,3,8,0,1,4,0,0,0,3,9,0,26,0,23,0,15,1,0,0,14,0,18,16,1,2,8,
((((Number of resources) OR Max number of resources) OR Maximum number of resources) AND Intrusion detection system),35,0,0,0,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,9,0,2,3,0,1,0,2,4,2,0,35,20,1,9,0,0,0,8,2,12,5,4,4,9,
(((memory usage) OR memory) AND Intrusion Detection System),3323,0,0,18,3323,9,28,62,2,147,1,0,231,2,1,6,4,6,3,44,3,202,1278,411,1203,5,357,295,15,149,76,681,451,160,23,20,3323,117,1142,7,1,9,833,77,1121,1013,387,430,795,
(((Monitoring Interval) OR System monitoring) AND Intrusion detection system),213,0,0,1,213,1,1,1,1,4,0,0,6,0,0,0,1,2,1,2,0,2,72,24,67,1,13,13,2,5,3,30,17,14,0,1,117,213,64,0,0,0,28,5,55,44,26,32,53,
((Overhead) AND Intrusion detection system),2017,0,0,14,2017,9,23,37,0,56,0,1,60,0,0,5,5,6,4,24,2,91,740,217,683,2,181,194,11,75,33,371,266,88,15,9,1142,64,2017,5,1,6,614,55,658,654,197,275,574,
((Processing bandwidth) AND Intrusion detection system),9,0,0,0,9,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,2,0,1,0,2,4,1,1,0,7,0,5,9,0,0,9,0,5,5,1,1,1,
(((((System Slowdown) OR Change in system speed) OR Percent increase in processing time) OR Percent increase in memory usage) AND Intrusion Detection System),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,
(((((System slowdown) OR change in system speed) OR increase in processing time) OR increase in memory usage) AND Intrusion Detection System),9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,4,1,0,0,9,0,6,0,1,9,3,1,6,6,0,2,2,
(((((throughput) OR processing speed) OR processing bandwidth) OR bytes analyzed per second) AND Intrusion detection system),1327,0,0,4,1325,4,10,48,0,43,0,0,55,2,1,2,1,1,0,6,0,92,434,128,383,0,135,120,9,52,25,206,189,45,14,8,833,28,614,9,0,3,1327,23,559,563,127,181,388,
((((Lines of code) OR LOC) OR SLOC) AND Intrusion Detection System),124,0,0,1,124,1,0,1,0,3,0,0,0,0,0,0,1,0,1,3,0,4,40,12,44,1,16,18,0,1,2,11,25,7,0,2,77,5,55,0,0,1,23,124,40,37,16,23,47,
((((((((megabyte) OR mb) OR gigabyte) OR gb) OR kilobyte) OR kb) OR byte) AND Intrusion Detection System),1778,0,0,7,1776,8,32,53,1,98,2,2,143,5,3,2,4,4,2,24,1,115,703,244,682,2,200,202,10,99,57,395,269,66,18,12,1121,55,658,5,0,6,559,40,1778,889,259,318,519,
(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System),1801,0,0,5,1797,9,28,52,0,122,2,1,241,5,3,5,2,4,1,20,1,105,779,258,755,4,211,179,9,114,60,492,221,63,16,5,1013,44,654,5,1,6,563,37,889,1801,227,283,584,
((hours) AND Intrusion detection system),850,0,0,14,849,6,21,10,0,31,1,1,32,1,0,3,2,1,1,10,1,33,324,128,344,1,104,88,12,52,24,169,86,33,1,4,387,26,197,1,0,0,127,16,259,227,850,318,295,
((minutes) AND Intrusion detection system),917,0,0,13,915,5,18,13,1,35,0,1,27,0,3,2,1,0,1,9,2,34,375,135,402,0,112,99,14,47,14,197,94,41,2,4,430,32,275,1,0,2,181,23,318,283,318,917,399,
((seconds) AND Intrusion detection system),1601,0,0,22,1600,10,26,13,2,95,1,0,119,4,3,2,4,1,3,20,4,69,727,242,705,4,199,159,18,96,54,402,193,70,8,9,795,53,574,1,0,2,388,47,519,584,295,399,1601,

Incorrect arguments. Only 'report' and 'load' are currently supported.
