http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28.QT.Intrusion+Detection+System.QT.%29,10/26/2015 18:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
A Light-Weight Ranger Intrusion Detection System on Wireless Sensor Networks,Chia-Fen Hsieh; Yung-Fa Huang; Rung-Ching Chen,"Grad. Inst. of Informatic, Choayang Univ. of Technol., Taichung, Taiwan","Genetic and Evolutionary Computing (ICGEC), 2011 Fifth International Conference on",20111013,2011,,,49,52,"In recent years, a lot of research concerns with the wireless sensor networks (WSN). With the increasing usages of WSN applications such as health care and disaster reporting, security requirements, wireless communication has become more critical. Researchers of intrusion detection system on WSN have suggested that systems' detecting mechanisms would likely affect their detections effective and lifetime of whole networks. Ontology can collect and organize the attributes of attacks However, those methods have empirically documented the link between ontology concept and light-weight Intrusion Detection System (IDS) is scant. Therefore, the aim of this paper attempts to explore how intrusion detection system about ontology and light-weight IDS are related. The manager constructs relationship of sensor nodes on ontology to detect Sybil attack. Combine light-weight IDS the ranger method to reduce energy consumption and the isolation tables avoid detecting anomaly repeatedly. We proposed a lightweight ontology-based IDS, which improves existence shortcomings of IDS on WSN effectively.",,978-1-4577-0817-6,978-0-7695-4449-6,10.1109/ICGEC.2011.20,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6042715,Intrusion Detection System;Ontology;Sybil Attack;Wireless Sensor Networks,Base stations;Databases;Intrusion detection;Monitoring;Ontologies;Wireless sensor networks,ontologies (artificial intelligence);telecommunication computing;telecommunication security;wireless sensor networks,Sybil attack detection;WSN application;disaster reporting;health care;light-weight intrusion detection system;lightweight ontology-based IDS;security requirement;sensor node;wireless communication;wireless sensor network,,4,,10,,,Aug. 29 2011-Sept. 1 2011,,IEEE,IEEE Conference Publications,,
A parallel technique for improving the performance of signature-based network intrusion detection system,"Shiri, F.I.; Shanmugam, B.; Idris, N.B.","Adv. Informatic Sch., Univ. Teknol. Malaysia, Kuala Lumpur, Malaysia","Communication Software and Networks (ICCSN), 2011 IEEE 3rd International Conference on",20110908,2011,,,692,696,"Nowadays, organizations discover that it is essential to protect their valuable information and internal resources from unauthorized access like deploying firewall. Firewall could prevent unauthorized access, but it cannot monitor network attacks. Another network security tool such as intrusion detection system is necessary to perform network activities monitoring. With the recent trend of high-speed networks, a large volume of data should be analyzed and processed with high-speed infrastructure. To promote the performance of network intrusion detection system and reduce the processing time of the traffic, present studies on network intrusion detection system for high-speed network focus on parallel techniques as an alternative. In this paper, a kind of parallelism is proposed to improve the performance of signature based intrusion detection system. The experimental results show that by the use of two signature based network intrusion detection systems running Snort in parallel with a portion of packets and a subset of rules, and distributing the traffic between them, the processing time of the traffic will be reduced. Consequently, the performance of the system will be improved.",,978-1-61284-485-5,,10.1109/ICCSN.2011.6014986,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6014986,Function Paralle;Network Intrusion Detection System;Parallelism;Signature-based;nort,Analytical models;Fires;Hardware;Internet;Local area networks;Logic gates;Servers,authorisation;digital signatures,firewall;high-speed networks;internal resource protection;network activities monitoring;network security tool;parallel technique;signature-based network intrusion detection system;unauthorized access prevention;valuable information protection,,2,,15,,,27-29 May 2011,,IEEE,IEEE Conference Publications,,
Study of Network-based Intrusion Detection System for virtualization,Zhen Wang; Meng Yang; Sheng Li,"Sch. of Art Design, Shenyang Ligong Univ., Shenyang, China","Computer Engineering and Technology (ICCET), 2010 2nd International Conference on",20100617,2010,6,,V6-595,V6-598,"Intrusion Detection System (IDS) through collecting and analyzing information from network and Host to check whether there are some signs about attack. Network-based Intrusion Detection System for Virtual Machine Environment is a novel approach to implement the traditional network-based IDS in virtual machine environment. The paper get the network packets from the virtual bridge which is a virtual device in virtual machine used to transmit packets from physical device to virtual interface. Considering of the DHCP, virtual machine's IP address is variable, and so we use the MAC address to identify a virtual machine's network interface. The real system test shows that VNIDS has a complete function implement about what provide an IDS which is suitable to the virtual machine environment.",,978-1-4244-6347-3,,10.1109/ICCET.2010.5486042,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5486042,Intrusion Detection;Network;Virtualization,Art;Bridges;Condition monitoring;Detectors;Information analysis;Intrusion detection;Network interfaces;Resists;Virtual machine monitors;Virtual machining,IP networks;computer network security;network interfaces;virtual machines,MAC address;network based intrusion detection system;network packet;packet transmission;virtual bridge;virtual interface;virtual machine IP address;virtual machine environment;virtual machine network interface,,0,,12,,,16-18 April 2010,,IEEE,IEEE Conference Publications,,
A host based intrusion detection system for DDoS attack in WLAN,"Anuradha; Singhrova, A.","Comput. Sci. & Eng., DCRUST, Sonipat, India","Computer and Communication Technology (ICCCT), 2011 2nd International Conference on",20111110,2011,,,433,438,"Intrusion detection system (IDS) plays a vital role in a computer security scheme as the number of security-breaking attempts originating inside organizations is increasing steadily. In this paper, we describe an architecture of Host based Intrusion Detection System for DoS attack in distributed WLAN (HIDS). The proposed system is an intelligent system that will detect the intrusion dynamically and periodically on estimating the intruder association respective to the current node with its neighbor nodes. It also uses the concept of Bloom filter, in which it stores destination IP address that is used to detect an intruder with misuse detection approach.",,978-1-4577-1385-9,,10.1109/ICCCT.2011.6075142,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6075142,Bloom Filter;DDoS;Intrusion Detection System;Wireless local Area Network,Computer crime;Computers;IP networks;Intrusion detection;Monitoring;Wireless LAN,IP networks;computer network security;data structures;wireless LAN,Bloom filter;DoS attack;computer security scheme;destination IP address;distributed WLAN;host based intrusion detection system;intelligent system;intruder association,,0,,15,,,15-17 Sept. 2011,,IEEE,IEEE Conference Publications,,
Establishing a secure routing in MANET using a hybrid intrusion detection system,"Indira, N.","Dept. of Comput. Technol., Anna Univ., Chennai, India","Advanced Computing (ICoAC), 2014 Sixth International Conference on",20150831,2014,,,260,263,"MANET has lead to the emergence of on the fly networking among the communicating nodes. However, they are vulnerable to a variety of attacks, especially in the routing layer because of their open environment and the communication happens based on the mutual trust among the nodes. An appropriate intrusion detection system is an inevitable requirement. Using anomaly based intrusion detection system results in the false positive identification of the intrusion. Computing trust value for each node in the network leads to higher computational complexity. Combining trust value along with intrusion detection system can reduce the pitfalls of both methods. A comparative study of using only anomaly based intrusion detection system and combination of trust value along with an anomaly based intrusion detection system is performed. The proposed anomaly detection system uses artificial neural networks and Dempster-Shafer theory to confirm the attack occurrence in the network.",,978-1-4799-8466-4,,10.1109/ICoAC.2014.7229722,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7229722,Anomaly Based Intrusion Detection;Intrusion Detection System;Mobile Adhoc Network;Security attacks;Self organizing maps;Trust computation,Ad hoc networks;Mobile computing,computational complexity;inference mechanisms;mobile ad hoc networks;neural nets;telecommunication computing;telecommunication network routing;telecommunication security;uncertainty handling,Dempster-Shafer theory;MANET secure routing establishment;anomaly based intrusion detection system;artificial neural network;computational complexity;false positive identification;fly networking,,0,,14,,,17-19 Dec. 2014,,IEEE,IEEE Conference Publications,,
Design an anomaly based fuzzy intrusion detection system for packet dropping attack in mobile ad hoc networks,"Chaudhary, A.; Tiwari, V.N.; Kumar, A.","Manipal Univ. Jaipur (MUJ), Jaipur, India","Advance Computing Conference (IACC), 2014 IEEE International",20140327,2014,,,256,261,"Due to the advancement in communication technologies, mobile ad hoc network increases the ability in terms of ad hoc communication between the mobile nodes. Mobile ad hoc networks do not use any predefined infrastructure during the communication so that all the present mobile nodes which are want to communicate with each other immediately form the topology and initiates the request for data packets to send or receive. In terms of security perspectives, communication via wireless links makes mobile ad hoc networks more vulnerable to attacks because any one can join and move the networks at any time. Particularly, in mobile ad hoc networks one of very common attack is packet dropping attack through the malicious node (s). This paper developed an anomaly based fuzzy intrusion detection system to detect the packet dropping attack from mobile ad hoc networks and this proposed solution also save the resources of mobile nodes in respect to remove the malicious nodes. For implementation point of view, qualnet simulator 6.1 and sugeno-type fuzzy inference system are used to make the fuzzy rule base for analyzing the results. From the simulation results it's proved that proposed system is more capable to detect the packet dropping attack with high positive rate and low false positive under each level (low, medium and high) of speed of mobile nodes.",,978-1-4799-2571-1,,10.1109/IAdCC.2014.6779330,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6779330,MANETs security issues;detection methods;fuzzy logic;intrusion detection system (IDS);mobile ad hoc networks (MANETs);packet dropping attack,Fuzzy logic;Intrusion detection;Mobile ad hoc networks;Mobile computing;Mobile nodes,fuzzy logic;fuzzy reasoning;fuzzy set theory;mobile ad hoc networks;telecommunication network topology;telecommunication security,anomaly based fuzzy intrusion detection system;data packets;fuzzy rule base;malicious nodes;mobile ad hoc networks;mobile nodes;network topology;packet dropping attack;qualnet simulator 6.1;sugeno-type fuzzy inference system;wireless communication,,0,,16,,,21-22 Feb. 2014,,IEEE,IEEE Conference Publications,,
Real time intrusion detection system for outdoor environment,"Liang, K.M.; Hon, H.W.; Khairunnisa, M.J.; Choong, T.L.; Khairil, H.Z.","Centre for Adv. Inf. & Archit. Dev., MIMOS Berhad, Kuala Lumpur, Malaysia","Computer Applications and Industrial Electronics (ISCAIE), 2012 IEEE Symposium on",20130321,2012,,,147,152,"This paper aims to present the overall architecture of intrusion detection system and its effectiveness in detecting intruder at an outdoor environment. The outdoor environment is exposing to various brightness condition in terms of the weather, day transition, dynamic background of the scene, shadow and the visibility degree of the infrared camera. In this work, the capturing devices and intrusion detection system are setup physically at the pilot site. A thorough evaluation is done for consecutive three days in order to measure the accuracy of the system in detecting intruder throughout the day and night. In addition, the system is evaluated together with a commercial intrusion detection system from Australia as a technology benchmark. The accuracy of the proposed system and benchmark system is illustrated in this paper and the proposed system delivers higher accuracy as compared to the benchmark system.",,978-1-4673-3032-9,,10.1109/ISCAIE.2012.6482086,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6482086,Intrusion detection;outdoor environment;perimeter fencing;system architecture,Accuracy;Benchmark testing;Cameras;Computer architecture;Image color analysis;Intrusion detection;Streaming media,benchmark testing;brightness;cameras;infrared detectors;object detection;real-time systems;safety systems,Australia;brightness condition;day transition;dynamic scene background;infrared camera;outdoor environment;real time intrusion detection system;technology benchmark,,0,,5,,,3-4 Dec. 2012,,IEEE,IEEE Conference Publications,,
Distributed Intrusion Detection System in a Multi-Layer Network Architecture of Smart Grids,"Yichi Zhang; Lingfeng Wang; Weiqing Sun; Green, R.C.; Alam, M.","Dept. of Electr. Eng. & Comput. Sci., Univ. of Toledo, Toledo, OH, USA","Smart Grid, IEEE Transactions on",20111121,2011,2,4,796,808,"The advent of the smart grid promises to usher in an era that will bring intelligence, efficiency, and optimality to the power grid. Most of these changes will occur as an Internet-like communications network is superimposed on top of the current power grid using wireless mesh network technologies with the 802.15.4, 802.11, and WiMAX standards. Each of these will expose the power grid to cybersecurity threats. In order to address this issue, this work proposes a distributed intrusion detection system for smart grids (SGDIDS) by developing and deploying an intelligent module, the analyzing module (AM), in multiple layers of the smart grid. Multiple AMs will be embedded at each level of the smart grid-the home area networks (HANs), neighborhood area networks (NANs), and wide area networks (WANs)-where they will use the support vector machine (SVM) and artificial immune system (AIS) to detect and classify malicious data and possible cyberattacks. AMs at each level are trained using data that is relevant to their level and will also be able to communicate in order to improve detection. Simulation results demonstrate that this is a promising methodology for supporting the optimal communication routing and improving system security through the identification of malicious network traffic.",1949-3053,,,10.1109/TSG.2011.2159818,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963752,Artificial immune system;cybersecurity;data classification;intrusion detection;smart grid;support vector machine;wireless mesh networks,Communication system security;Computer security;Intrusion detection;Support vector machines;Wide area networks;Wireless communication;Wireless mesh networks,WiMax;Zigbee;artificial immune systems;computer network security;home computing;power engineering computing;smart power grids;support vector machines;wide area networks;wireless LAN;wireless mesh networks,AIS;HAN;IEEE 802.11;IEEE 802.15.4;Internet-like communications network;NAN;SGDIDS;SVM;WAN;WiMax standards;analyzing module;artificial immune system;cybersecurity threats;distributed intrusion detection system;home area networks;malicious data classification;malicious network traffic;multilayer network architecture;neighborhood area networks;optimal communication routing;power grid;smart grids;support vector machine;wide area networks;wireless mesh network technologies,,45,,54,,7/28/2011,Dec. 2011,,IEEE,IEEE Journals & Magazines,,
Performance evaluation of different intrusion detection system: An empirical approach,"Beigh, B.M.; Peer, M.A.","Dept. of Comput. Sci., Univ. of Kashmir, Srinagar, India","Computer Communication and Informatics (ICCCI), 2014 International Conference on",20141016,2014,,,1,7,"Easy connectivity to a large number of networks is the main reason towards the development of security measures in the field of networking. People as well as organizations are very keen to share their resources online. But sharing the valuable information over the network may not be safe as it may be hacked by their rivals, to either destroy them or to make their own benefits from this data. The technique / system which protect our data from theft or intrusions, we call that as Intrusion Detection System. Though there are many intrusion detection systems available in the market, however users are not well familiar with the performance of different intrusion detection system or are confused with the results provided by companies. In this paper, we will make an attempt to provide a better view of performance of different intrusion detection techniques implemented under same conditions (DARPA 1999 Dataset) and with same parameters for implementation (i.e Data set will be used DARPA 1999 for experimentation). Lastly will provide some results which will be fruitful for user in accordance to the performance.",,978-1-4799-2353-3,,10.1109/ICCCI.2014.6921740,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6921740,Dataset;IDS;intrusion detection;performance;policy;security,Computers;Engines;Informatics;Intrusion detection;Libraries;Probes,security of data,DARPA 1999 dataset;empirical approach;information sharing;intrusion detection system;networking field;security measures,,0,,19,,,3-5 Jan. 2014,,IEEE,IEEE Conference Publications,,
Intrusion detection system based on system behavior,"Tomasek, M.; Cajkovsky, M.; Mados, B.","Dept. of Comput. & Inf., Tech. Univ. of Kosice, Kosice, Slovakia","Applied Machine Intelligence and Informatics (SAMI), 2012 IEEE 10th International Symposium on",20120531,2012,,,271,275,This work aims to designing and implementing own intrusion detection system based on system behavior. The main component of this system used in analysis and later in implementation is widely used against defending to another type of crime. Presumption that some techniques are well working against particular type of computer criminality leads to using those techniques against another type of computer criminality. An intrusion detection systems based on system behavior in general evaluates the behavior of observed system. Therefore the level of system observation is very important. We propose intrusion detection system that works at low level system observation. This is important because of many malicious codes nowadays mask their behavior and therefore is difficult to expose those malicious codes from user perspective. Proposed intrusion detection system aims to be modular because of achieving further development and also as simple as possible because of better user understanding. The interconnection of existing technologies and solutions and developing new one result to complex intrusion detection system.,,978-1-4577-0196-2,,10.1109/SAMI.2012.6208971,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6208971,,Computers;Databases;Informatics;Intrusion detection;Production;Training;Unsolicited electronic mail,security of data,computer criminality;intrusion detection system;low level system observation;malicious codes;system behavior;user perspective,,1,,11,,,26-28 Jan. 2012,,IEEE,IEEE Conference Publications,,
