http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.Intrusion+Detection+System.QT.%29+AND+fence%29,11/5/2015 17:59,"((""Intrusion Detection System"") and fence)",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
Walking intrusion signal recognition method for fiber fence system,"Fang, Nian; Wang, Lutang; Jia, Dongjian; Shang, Chao","Key Laboratory of Specialty Fiber Optics and Optical Access Networks, School of Communication and Information Engineering, Shanghai University, No. 149, Yanchang Road, 200072, China","Communications and Photonics Conference and Exhibition (ACP), 2009 Asia",20100112,2009,,,1,2,A recognition method based on the gait characteristic for walking intrusion signal is presented. The vibration signal caused by a walker is intermittent and periodical. This signal characteristic can distinguish a human intrusion from an animal and other random disturbance. The experimental results verified the effectiveness of the proposed method.,,978-1-55752-877-3,978-1-55752-877-3,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5377565,,Animals;Character recognition;Foot;Humans;Interference;Legged locomotion;Optical fiber networks;Optical fiber sensors;Optical fiber theory;Optical sensors,,,,0,,5,,,2-6 Nov. 2009,,IEEE,IEEE Conference Publications,,
BriGuard: a lightweight indoor intrusion detection system based on infrared light spot displacement,Leibo Liu; Weilong Zhang; Chenchen Deng; Shouyi Yin; Shaojun Wei,"Nat. Lab. for Inf. Sci. & Technol., Tsinghua Univ., Beijing, China","Science, Measurement & Technology, IET",20150423,2015,9,3,306,314,"Indoor intrusion detection systems are widely implemented in many special departments and environments. Owing to the special target market, several specific features of such systems are required including high accuracy, high performance, high concealment and ease of deployment. In this study, the authors proposed an infrared light spot displacement-based surveillance system for indoor intrusion detection. This system, named BriGuard, shares a similar idea with radar. A 940 nm infrared light beam goes through an optical diffraction grating to generate light spot matrix imagery in the view of a complementary metal oxide semiconductor image sensor. The coordinates of the light spots are extracted and recorded. When someone enters the monitored area, the imaging plane changes and leads to a variation of the pre-recorded light spots coordinates. The light beam is modulated in order to be distinguished from the light in the environment. The lightweight algorithms require little computation power and data storage. BriGuard achieves a nearly zero false detection rate while covering a distance up to 10 m. It can process 30 full HD (1920 × 1080) frames per second. More importantly, because of unnoticeable infrared lights and very small form factor, the whole detection equipment is very hard to observe.",1751-8822,,,10.1049/iet-smt.2013.0171,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7089380,,,CMOS image sensors;diffraction gratings;infrared detectors;infrared imaging;optical modulation;security of data;video surveillance,BriGuard;complementary metal oxide semiconductor image sensor;form factor;infrared light spot displacement-based surveillance system;light beam modulation;light spot matrix image generation;light spots coordinates extraction;lightweight algorithm;lightweight indoor intrusion detection system;optical diffraction grating;radar;wavelength 940 nm;zero false detection rate,,0,,,,,5 2015,,IET,IET Journals & Magazines,,
A wireless perimeter protection and intrusion detection system,"Libby, V.","Lockheed Martin Adv. Technol. Center, Palo Alto, CA, USA","Security Technology (ICCST), 2010 IEEE International Carnahan Conference on",20101230,2010,,,364,368,"Sensor systems with volumetric coverage of large areas are in high demand for general infrastructure protection. This paper describes a radio frequency communication system that allows for real-time evaluation of changes to established field patterns for the purpose of locating and tracking unwanted intruders. It is based on high confidence probabilistic algorithms and protocols that sample the environment every second. The protocols are implemented in firmware making the system capable of detecting disturbances in real-time. During a field test, system calibration and sensor performance were recorded, mapped, and displayed in a control room. For example, it is possible to simultaneous locate and track single and multiple intruders in a protected area of 100,000 square feet with a single unit. Left behind items and people in hiding are easily detected and all intrusions are verified by an automatically cued camera. The system described here is extremely effective where most fence-based systems fail.",1071-6572,978-1-4244-7403-5,,10.1109/CCST.2010.5678669,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5678669,Camera Cueing;Hidden Object Detection;Long Range;Perimeter Protection;RF;Real-time Intrusion Detection;Volumetric;Wireless,Antennas;Calibration;Cameras;Communication system security;Radio frequency;Security;Wireless communication,alarm systems;cameras;computerised monitoring;firmware;protocols;safety systems,automatically cued camera;firmware making;infrastructure protection;intrusion detection system;multiple intruders;probabilistic algorithms;protocols;radio frequency communication;real time evaluation;sensor systems;wireless perimeter protection,,0,,3,,,5-8 Oct. 2010,,IEEE,IEEE Conference Publications,,
A Novel Architecture of Intrusion Detection System,Da Zhang; Chai Kiat Yeo,"Centre for Multimedia & Network Technol., Nanyang Technol. Univ., Singapore, Singapore","Consumer Communications and Networking Conference (CCNC), 2010 7th IEEE",20100225,2010,,,1,5,"In this paper, we propose a novel Intrusion Detection System (IDS), Court-like Cluster-based IDS (CCIDS), to secure routing protocols in Mobile Ad Hoc Networks (MANETs). After the network is divided into one-hop clusters, each of these clusters performs similar functions as a court in real-life, such as accusation, investigation and defence. We show that court like IDS is effective in many aspects, especially the capability to prevent malicious alerts and reduce false positive rate. To further prove its effectiveness, we then apply CCIDS in securing the Optimized Link State Routing (OLSR) protocol to solve two most severe attacks-link spoofing and link deletion. Through extensive simulation, four performance parameters, namely, detection rate, false positive rate, detection delay, and communication overhead are evaluated.",,978-1-4244-5175-3,978-1-4244-5176-0,10.1109/CCNC.2010.5421824,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5421824,,Authentication;Communication system security;Communications Society;Computer architecture;Computer networks;Intrusion detection;Mobile ad hoc networks;Multimedia systems;Nominations and elections;Routing protocols,ad hoc networks;mobile radio;routing protocols;security of data;telecommunication security,CCIDS;court-like cluster-based IDS;intrusion detection system;link deletion;link spoofing;mobile ad hoc networks;one-hop clusters;optimized link state routing protocol security,,0,,6,,,9-12 Jan. 2010,,IEEE,IEEE Conference Publications,,
Airport protection using wireless sensor networks,"Davis, A.; Hwa Chang","Tufts Wireless Lab., Tufts Univ., Medford, MA, USA","Homeland Security (HST), 2012 IEEE Conference on Technologies for",20130214,2012,,,36,42,"In this paper, we describe in detail an airport Perimeter Intrusion Detection System (PIDS) based on a wireless sensor network (WSN). The main purpose is to detect open field perimeter intrusions via ultra-small, power self-sustaining, accelerometer-based sensor nodes. The proposed system is inexpensive, easy to deploy and maintain, self-configurable and self-recoverable. By having no single point of failure component, this system is also exceptionally reliable. The proposed system is specifically designed for perimeter intrusion detection, preferably to supplement already-existing physical protections such as chain-link fences. While our system addresses airport security concerns, it can be extended to other critical infrastructures such as railway stations and ship ports.",,978-1-4673-2708-4,,10.1109/THS.2012.6459823,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6459823,Airport Surveillance;Perimeter Intrusion Detection System (PIDS);Wireless Sensor Network (WSN),Airports;Cameras;Intrusion detection;Surveillance;Wireless sensor networks,accelerometers;airports;reliability;safety systems;wireless sensor networks,accelerometer based sensor node;airport perimeter intrusion detection system;airport protection;open field perimeter intrusions;power self-sustaining sensor node;ultrasmall sensor node;wireless sensor networks,,3,,26,,,13-15 Nov. 2012,,IEEE,IEEE Conference Publications,,
Performance investigation of real-time fiber optic perimeter intrusion detection systems using event classification,"Mahmoud, S.S.; Katsifolis, J.","Future Fibre Technol. Pty Ltd., Mulgrave, VIC, Australia","Security Technology (ICCST), 2010 IEEE International Carnahan Conference on",20101230,2010,,,387,393,"The success of any perimeter intrusion detection system depends on three important performance parameters: the probability of detection (POD), the nuisance alarm rate (NAR), and the false alarm rate (FAR). The most fundamental parameter, POD, is normally related to a number of factors such as the event of interest, the sensitivity of the sensor, the installation quality of the system and the reliability of the sensing equipment. A critical performance parameter of any outdoor perimeter intrusion detection system is its capability of discriminating between intrusion and nuisance events without compromising its sensitivity or POD. In this paper, the performance criteria of a real-time fence-mounted distributed fiber-optic intrusion detection system are discussed. The use of event recognition and classification techniques to maintain high detection rates and minimize alarms caused by nuisance events is presented with a performance analysis for different event classification algorithms. Practical results for the detection of intrusion events and suppression of nuisances are also shown.",1071-6572,978-1-4244-7403-5,,10.1109/CCST.2010.5678690,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5678690,Event classification;fiber-optic sensor;intrusion detection,Classification algorithms;Feature extraction;Intrusion detection;Optical fiber cables;Optical fiber sensors;Rain;Real time systems,alarm systems;fibre optic sensors;reliability;safety systems,event classification algorithm;false alarm rate;nuisance alarm rate;performance investigation;probability of detection;real time fence mounted distributed fiber-optic intrusion detection system;real-time fiber optic perimeter intrusion detection systems;sensing equipment reliability,,0,,11,,,5-8 Oct. 2010,,IEEE,IEEE Conference Publications,,
Design and performance testing of an integrated detection and assessment perimeter system,"Dabling, J.G.; McLaughlin, J.O.; Andersen, J.J.","Intell. Syst. & Controls, Sandia Nat. Labs., Albuquerque, NM, USA","Security Technology (ICCST), 2012 IEEE International Carnahan Conference on",20121231,2012,,,34,42,"Kontek Industries (Kannapolis, NC) and their subsidiary, Stonewater Control Systems (Kannapolis, NC), have entered into a cooperative research and development agreement with Sandia National Laboratories (Albuquerque, NM) to jointly develop and evaluate an integrated perimeter security solution, one that couples access delay with detection and assessment. This novel perimeter solution is designed to be sufficiently flexible for implementation at a wide range of facility types, from high security military or government installations to commercial power plants, to industrial facilities of various kinds. A prototype section of barrier has been produced and installed at the Sandia Exterior Intrusion Sensor Testing Facility in Albuquerque, NM. The prototype was implemented with a robust vehicle barrier and coupled with a variety of detection and assessment solutions to demonstrate both the effectiveness of such a solution, as well as the flexibility of the system. In this implementation, infrared sensors and fence disturbance sensors are coupled with a video motion detection sensor and ground sensors. The ability of the system to properly detect pedestrian or vehicle attempts to bypass, breach, or otherwise defeat the system will be characterized, as well as the Nuisance Alarm Rate.",1071-6572,978-1-4673-2450-2,978-1-4673-2449-6,10.1109/CCST.2012.6393535,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6393535,NAR;SEIWG;SOA;VMD;detection;machine learning;perimeter security;sensor fusion,Laboratories;Photonics;Poles and towers;Prototypes;Security;Vehicles,alarm systems;infrared detectors;object detection;research and development;sensor fusion;testing;video cameras,PIDAS;access delay;fence disturbance sensors;ground sensors;infrared sensors;integrated perimeter security;nuisance alarm rate;performance testing;perimeter integrated detection and assessment system;research and development;robust vehicle barrier;sensor fusion;video motion detection sensor,,1,,5,,,15-18 Oct. 2012,,IEEE,IEEE Conference Publications,,
Optical Fiber Bragg grating based intrusion detection systems for homeland security,"Allwood, G.; Hinckley, S.; Wild, G.","Centre for Commun. Eng. Res., Edith Cowan Univ., Joondalup, WA, Australia","Sensors Applications Symposium (SAS), 2013 IEEE",20130404,2013,,,66,70,"This paper describes the use of optical Fiber Bragg grating (FBG) sensors for use in various intrusion detection systems for homeland security. We show that a FBG sensor can be used effectively as an embedded in-ground acoustic sensor, sensitive enough to detect the acoustic emissions associated with walking on a concrete surface. Also, the FBG can be used as an in-ground pressure switch for intrusion detection through temporary flooring materials, such as tiles and wooden laminate. In addition, we verify the use of FBGs as in-fence perimeter breach detectors. Finally, we show how an FBG can be used as a reed switch for use in intrusion detection systems for doors and windows. The combination of the different intrusion detection techniques illustrate the versatility of FBGs in security applications, showing this single technology can be used to form a complete intrusion detection system for homeland security. Furthermore the paper details the progress made towards a real-time in-ground sensor network for advanced security applications.",,978-1-4673-4636-8,,10.1109/SAS.2013.6493558,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6493558,fiber Bragg grating;in-ground;intrusion detection;pressure switch;reed switch,Fiber gratings;Optical fiber sensors;Optical fibers;Optical switches,Bragg gratings;acoustic emission;fibre optic sensors;national security;reed relays;safety systems,FBG sensor;acoustic emissions;advanced security applications;concrete surface;embedded in-ground acoustic sensor;homeland security;in-fence perimeter breach detectors;in-ground pressure switch;optical fiber Bragg grating based intrusion detection systems;optical fiber Bragg grating sensors;real-time in-ground sensor network;reed switch;temporary flooring materials;tiles;wooden laminate,,3,,11,,,19-21 Feb. 2013,,IEEE,IEEE Conference Publications,,
ANN-based Multi Classifier for Identification of Perimeter Events,Hu Yan; Lixin Li; Fangchun Di; Jin Hua; Qiqiang Sun,"China Electr. Power Res. Inst., Beijing, China","Computational Intelligence and Design (ISCID), 2011 Fourth International Symposium on",20111117,2011,2,,158,161,"Identification of perimeter events enables smarter perimeter security systems. This paper presents a multi classifier. Support Vector Machine (SVM) and Artificial Neural Network (ANN) are the bottom to build the classifier. The top level employs voting mechanism to identify intrusions, taking time evolution characters into account. In addition, to make the classifier be more self-adaptive, an incremental learning module is introduced. The proposed classifier has been successfully applied to oil and gas pipeline intrusion detection systems. Practical results show that it can distinguish nuisance events from intrusion events at a high rate of 94.86% and for seven kinds of intrusions, the recognition rate is 95.29%, fully satisfies the real application requirement.",,978-1-4577-1085-8,,10.1109/ISCID.2011.141,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6079761,Artificial neural network;Perimeter Intrusion detection;Smart;Support vector machine;Vibration signal,Artificial neural networks;Feature extraction;Intrusion detection;Optical fiber sensors;Reliability;Support vector machines;Vibrations,identification;learning (artificial intelligence);neural nets;pattern classification;security of data;support vector machines,ANN-based multiclassifier;artificial neural network;oil and gas pipeline intrusion detection system;perimeter event identification;selfadaptive classifier;smarter perimeter security system;support vector machine;time evolution character;voting mechanism,,0,,13,,,28-30 Oct. 2011,,IEEE,IEEE Conference Publications,,
Omnitrax ranging leaky coaxial cable sensor technology update,"Harman, K.","Senstar Corp., Carp, ON, Canada","Security Technology, 2009. 43rd Annual 2009 International Carnahan Conference on",20091113,2009,,,216,220,"The OmniTraxreg leaky coaxial cable perimeter intrusion detection system was first introduced at the 2004 International Carnahan Conference (2004). This sensor evolved from the technology of ldquoGUIDARrdquo pioneered in the 1970's to bring intrusion location to perimeter sensors. OmniTrax theory of operation, based on a unique application of new Ultra Wideband Radar was described, as well as its feature of allowing pinpoint location of intrusions along 800m of sensor cable using a single processor. This feature is fundamentally important to direct the response force, and also for rapid debug and maintenance of the installation. Since that first presentation the sensor has been fully realized as one of the most cost-effective ranging perimeter sensors with its own integrated power and communications network. It has also been evaluated for both detection and environmental performance at our own local test site (SITE), and at independent government sensor test agencies. Further components of the technology have been developed to enlarge the range of site applications. This paper provides an update on the technology and its application including some new applications for leaky coaxial cable technology. One such new application has been selected for more detailed discussion in the paper entitled ldquoA Rapid Deployment Guided Radar Sensorrdquo that also appears in these proceedings.",,978-1-4244-4169-3,978-1-4244-4170-9,10.1109/CCST.2009.5335537,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5335537,,Acoustic sensors;Cable TV;Coaxial cables;Military aircraft;Narrowband;Radar detection;Radiofrequency interference;Sensor phenomena and characterization;Sensor systems;Testing,coaxial cables;sensors;ultra wideband radar,2004 International Carnahan Conference;GUIDAR;OmniTrax theory;communications network;intrusion detection system;intrusion location;omnitrax ranging leaky coaxial cable sensor technology update;perimeter sensors;pinpoint location;power network;response force;ultra wideband radar,,5,,3,,,5-8 Oct. 2009,,IEEE,IEEE Conference Publications,,
Detecting border intrusion using wireless sensor network and artificial neural network,"Mishra, A.; Sudan, K.; Soliman, H.","Dept. of Comput. Sci. & Eng., New Mexico Tech, Socorro, NM, USA","Distributed Computing in Sensor Systems Workshops (DCOSSW), 2010 6th IEEE International Conference on",20100930,2010,,,1,6,"Monitoring movement across national borders is a challenging problem due to several economic and technical issues. Due to the vast size, remoteness and other geographical confines of border regions, technical solutions are necessary to complement the limitations of manpower. In this paper we discuss our research in developing a system for detecting border intrusion activity by combining wireless sensor networks with artificial neural networks (ANNs). The key idea is to use ANN models to discover distinct patterns that describe an intrusion activity and use these patterns to train the ANN model which will then recognize intrusions and other abnormalities. We present a border intrusion detection system in which light and sound data from low-cost sensor motes spread out on the field is used to help ANNs make automated decisions and report intrusion activity. Our experimental results show that our border intrusion detection system can be used to monitor the borders without constant human supervision.",,978-1-4244-8076-0,,10.1109/DCOSSW.2010.5593287,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5593287,Artificial Neural Networks;Backpropagation Neural Network model;Border Intrusion Detection;Wireless Sensor Network Application;Wireless Sensor Networks,Artificial neural networks;Backpropagation;Base stations;Biological neural networks;Intrusion detection;Monitoring;Support vector machine classification,neural nets;security of data;wireless sensor networks,artificial neural network;border intrusion detection;economic;monitoring movement;wireless sensor network,,3,,20,,,21-23 June 2010,,IEEE,IEEE Conference Publications,,
Hybrid TDM/WDM-Based Fiber-Optic Sensor Network for Perimeter Intrusion Detection,Xiaolei Li; Qizhen Sun; Jianghai Wo; Manliang Zhang; Deming Liu,"Nat. Eng. Lab. for Next Generation Internet Access Syst., Huazhong Univ. of Sci. & Technol., Wuhan, China","Lightwave Technology, Journal of",20120309,2012,30,8,1113,1120,"A distributed fiber-optic sensor system is proposed and demonstrated for long-distance intrusion-detection, which employs the hybrid time/wavelength division multiplexing architecture. The sensing elements are single-mode telecommunication fiber which can be hanged on the fence and hedge or buried along the monitored perimeter. The pulsed light generated by the superluminescent diode was filtered by the filter which has multichannel (<i>m</i>=6), and then amplified by erbium-doped fiber amplifiers. A 1×(<i>n</i>+1) (<i>n</i>=20) splitter of which every port has a fiber delay coil except the first port splits the amplified light. The fiber delay coils have different lengths, which generate different delay time and produce n time zones. By utilizing the m channel dense wave-length division multiplexing modules, every fiber sensing unit (OSU)-based unbalance Mach-Zehnder Sagnac interferometer technology occupy a time zone and a wavelength. By utilizing 20 time zones and 6 wavelengths, the system contains up to 120 OSUs, of which the distributed sensing distance is from 0 to 500 m. So, the whole sensing distance of this system could reach 60 km. The system has been demonstrated to stably run over six months with the false alarm rate of less than 4%.",0733-8724,,,10.1109/JLT.2011.2170401,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032037,Fiber-optic distributed sensor;Sagnac interferometer;intrusion detecting;time/wavelength division multiplexing (TDM/WDM),Optical fiber polarization;Optical fiber sensors;Optical interferometry;Wavelength division multiplexing,Mach-Zehnder interferometers;Sagnac interferometers;erbium;fibre optic sensors;optical fibre amplifiers;optical filters;passive optical networks;safety systems;time division multiplexing;wavelength division multiplexing,Mach-Zehnder Sagnac interferometer technology;dense wavelength division multiplexing module;distance 0 m to 500 m;erbium doped fiber amplifier;fiber delay coil;hybrid TDM/WDM based fiber optic sensor network;optical filter;perimeter intrusion detection;single mode telecommunication fiber;superluminescent diode;time division multiplexing,,1,,18,,10/3/2011,15-Apr-12,,IEEE,IEEE Journals & Magazines,,
Outdoor perimeter security sensors a forty year perspective,"Harman, K.; Messner, W.K.","Harman Analytics, Almonte, ON, Canada","Security Technology (ICCST), 2012 IEEE International Carnahan Conference on",20121231,2012,,,1,9,"Outdoor perimeter security sensors have played, and continue to play, an important role in the security of critical assets and VIP residents over the past 40 years. In many ways outdoor security sensor technology can be described as “Slow-Tech” in a “High-Tech” world. In “High-Tech” we can expect a new product every few months with product lifetimes of one to two years. In the “Slow-Tech” world of outdoor security it typically takes two to three years to develop a new product and another two to three years to get the product approved by the user community. Fortunately once approved these products have a lifetime of ten to twenty years. The Carnahan Conference has provided an important venue for the introduction of new sensor technologies as they emerge from R&D, are tested by various agencies, and are introduced into the “real world” of outdoor security. The harsh realities of the outdoor environment and the wide range of threats faced by these sensors provide many challenges that have been the topic of many of the learned papers. The Carnahan conference provides an opportunity for the users of the technology to relate their experience to those who wish to introduce new technologies. Through the sponsorship of the IEEE these papers form a unique point of reference for the development of new sensors. Forty years ago most of the important players were large aerospace companies. Many of the sensor technologies used in perimeter security evolved from military developments. As one of the dominant users of perimeter security equipment, the US military sponsored much of this early development. This “mil-spec” environment had a profound effect on these developments which in many cases has survived to this day and is part of the heritage of the present world on outdoor perimeter security. These companies gave way to a number of small “spin-off” one product co- panies where the technologies were exploited. More recently most of one product companies have merged into larger “one-stop-shopping” companies. This paper describes the many changes in technology, the business models and the user community over the past 40 years and concludes with a prediction as to what the next 10 years will bring.",1071-6572,978-1-4673-2450-2,978-1-4673-2449-6,10.1109/CCST.2012.6393530,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6393530,,Companies;Government;Industries;Military aircraft;Security;Sensor systems,military equipment;national security;sensors,Carnahan Conference;IEEE sponsorship;US military;VIP residents;aerospace companies;business models;critical assets;forty year perspective;high-tech world;mil-spec environment;military developments;one-stop-shopping companies;outdoor environment;outdoor perimeter security sensors;perimeter security equipment;sensor technology;slow-tech world;threats;user community,,0,,13,,,15-18 Oct. 2012,,IEEE,IEEE Conference Publications,,
Westin hotel room layout,,,"Technologies for Homeland Security (HST), 2011 IEEE International Conference on",20111219,2011,,,i,340,Presents a map of the conference venue.,,978-1-4577-1375-0,,10.1109/THS.2011.6107835,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6107835,,,,,,0,,,,,15-17 Nov. 2011,,IEEE,IEEE Conference Publications,,
Correctional Service Canada's “next generation” command and control systems architecture,"Morton, E.","Tech. Services, Correctional Service Canada, Ottawa, ON, Canada","Security Technology (ICCST), 2010 IEEE International Carnahan Conference on",20101230,2010,,,7,16,"Correctional Service Canada (CSC) operates 57 Institutions equipped with a range of mission critical Security, Communications and Access Management systems. These include CCTV assessment, intrusion detection, radio communications and door control systems. User Interfaces range from colour graphic touch screens to knobs, push buttons etc. Operational and technical challenges include the following issues: 1) sub-system technology is vendor specific, 2) reliability is critical in a challenging environment, 3) system maintenance is expensive, 4) inconsistent ""Look and Feel"" resulting in usability issues, 5) costly to add new systems, multiple, legacy and proprietary protocols & connectivity approaches, legacy installations are cable intensive, 6) minimal operator or maintenance training crossover, 7) procurement requirements drive ""silo"" system implementation. The objective is to develop a ""next generation"" systems architecture that will: ""abstract"" the subsystem user management interfaces, ensuring all sub-systems can be managed using a simple, consistent graphical user interface, accessible using a web browser; model the data and behaviour of the edge devices, doors; cameras, sensors, etc. and normalizes it; allowing them to be managed by and provide notifications to standard software based applications; support inter-domain interoperability; use an industry standard communications protocol, likely with extensions, such as BACNet or SNMP, for edge device to application server connectivity; use TCP/IP over fibre as the preferred transport, network and physical technologies; integrate legacy sub-systems into the application server using mediation software; define the look and feel of the graphical icons that represent the edge devices and the physical environment in which they are placed, so that each domain is presented in a consistent manner. Developing and adopting this architecture will allow Correctional Service Canada to address the challenges of its unique e- - nvironment and support the definition, procurement and deployment of subsystems more effectively.",1071-6572,978-1-4244-7403-5,,10.1109/CCST.2010.5678692,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5678692,Security sub-system;abstract;best fit;cloud computing;communications protocol;communications protocols;edge device;inter-domain operability;metadata;modeling;normalization;object class;plug and play;proprietary protocol,Control systems;IP networks;Protocols;Security;Sensors;Servers;Standards,Internet;command and control systems;graphical user interfaces;security of data,CCTV assessment;Communications and Access Management system;Correctional Service Canada;Web browser;door control system;graphical user interface;industry standard communications protocol;interdomain interoperability;intrusion detection;maintenance training crossover;mediation software;mission critical security;next generation command and control systems architecture;procurement requirements drive system implementation;radio communication;subsystem user management interfaces;system maintenance,,0,,,,,5-8 Oct. 2010,,IEEE,IEEE Conference Publications,,
Intrusion detection using software defined noise radar,"Chinnam, D.M.; Madhusudhan, J.; Nandhini, C.; Prathyusha, S.N.; Sowmiya, S.; Ramanathan, R.; Soman, S.T.","Amrita Vishwa Vidyapeetham, Coimbatore, India","Computing Communication and Networking Technologies (ICCCNT), 2010 International Conference on",20100930,2010,,,1,6,"The need for reliable systems for detecting intrusions into a given area has given rise to the research and use of random noise radars. This paper deals with the issues regarding the use of such systems. The advantages of the use of such radar are illustrated followed by the actual mode of implementing the system itself. The novelty in this approach is the use a software defined radio as the platform for the system as it has a number of added advantages as have been detailed Subsequently, the intrusion detection can be viewed as a classification problem and solved using any machine learning algorithm. The paper also investigates the use of support vector machines (SVM) for the above said problem and derives a suitable model for classification. The training and testing of SVM model is in progress.",,978-1-4244-6591-0,,10.1109/ICCCNT.2010.5591742,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5591742,intrusion detection;noise radar;software defined radio;support vector machines,Correlation;Intrusion detection;Noise;Radar;Receivers;Software;Support vector machines,radar detection;random noise;software radio;support vector machines;telecommunication security,SVM;intrusion detection;random noise radars;software defined radio;support vector machines,,0,,9,,,29-31 July 2010,,IEEE,IEEE Conference Publications,,
A hierarchical pea-based anomaly detection model,"Biming Tian; Merrick, K.; Shui Yu; Jiankun Hu","Sch. of Eng. & IT, UNSW@ADFA, Canberra, ACT, Australia","Computing, Networking and Communications (ICNC), 2013 International Conference on",20130516,2013,,,621,625,"A hierarchical intrusion detection model is proposed to detect both anomaly and misuse attacks. In order to further speed up the training and testing, PCA-based feature extraction algorithm is used to reduce the dimensionality of the data. A PCA-based algorithm is used to filter normal data out in the upper level. The experiment results show that PCA can reduce noise in the original data set and the PCA-based algorithm can reach the desirable performance.",,978-1-4673-5287-1,978-1-4673-5286-4,10.1109/ICCNC.2013.6504158,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6504158,,Indexes;Intrusion detection;Principal component analysis;Probes;Training;Training data;Vectors,data privacy;feature extraction;principal component analysis;security of data,PCA-based feature extraction algorithm;anomaly detection;data dimensionality reduction;hierarchical intrusion detection model;misuse attack detection;noise reduction;normal data filtering,,0,,16,,,28-31 Jan. 2013,,IEEE,IEEE Conference Publications,,
Distributed fiber-optic sensing using double-loop Sagnac interferometer,Qianxia Zhu; Ye Wei,"State Key Lab. of Ind. Control Technol., Zhejiang Univ., Hangzhou, China","Industrial Electronics and Applications (ICIEA), 2014 IEEE 9th Conference on",20141023,2014,,,499,503,"The significant advances of Fiber optic technology are making its comprehensive applications, including security monitoring, pipeline maintenance and communication cable protection, etc. Many of these applications operate in harsh environments over long distances. This leads to low SNR, making high-precision positioning a great challenge. In this paper, a distributed double-loop Sagnac interferometer system based fiber optic sensor is designed and validated in field for detecting and locating intruders. First, the double-loop structure is improved by adding a certain length of transmission fiber in the start and end of each loop which enhances the linear relationship between amplitude and distance. Second, in order to enhance the SNR, a spectral subtraction pre-processing method is provided. Through the above methods, precise location of a disturbance is guaranteed. Results of field tests show that the SNR is greatly improved and the system could achieve spatial resolution of ±15m per kilometer.",,978-1-4799-4316-6,,10.1109/ICIEA.2014.6931215,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6931215,distributed system;double-loop Sagnac interferometer;intrusion detection;spectral subtraction,Optical fiber sensors;Optical fibers;Optical interferometry;Sagnac interferometers;Vibrations,Sagnac interferometers;fibre optic sensors;optical fibre testing;safety systems,SNR;amplitude;communication cable protection;comprehensive applications;distance;distributed double-loop Sagnac interferometer system;distributed fiber-optic sensing;disturbance location;double-loop structure;fiber optic sensor;fiber optic technology;field tests;harsh environments;high-precision positioning;intruder detection;intruder locating;linear relationship;loop end;loop start;pipeline maintenance;security monitoring;spatial resolution;spectral subtraction preprocessing method;transmission fiber,,0,,18,,,9-11 June 2014,,IEEE,IEEE Conference Publications,,
