http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D2009_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.False+positive.QT.%29+OR+.QT.misclassification.QT.%29+OR+.QT.False+alarm.QT.%29+OR+.QT.type+I+error.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/9/2015 17:18,"(((((""False positive"") OR ""misclassification"") OR ""False alarm"") OR ""type I error"") AND ""Intrusion Detection System"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,
Performance Evaluation of a Collaborative Intrusion Detection System,Chunfu Jia; Deqiang Chen,"Coll. of Inf. Technol. & Sci., Nankai Univ., Tianjin, China","Natural Computation, 2009. ICNC '09. Fifth International Conference on",20091228,2009,6,,409,413,"There are two technologies in intrusion detection systems: misuse detection and anomaly detection. Both misuse detection and anomaly detection have advantages and disadvantages. At present, the intrusion detection system is developed by using these two technologies in conjunction with one another, but there is not an effective method to evaluate the intrusion detection systems collaborative detection's performance. It is necessary to analyze it by establishing a strictly mathematical assessment equation. Considering the information theory method to analysis this problem, the intrusion detection capability can be used to analysis and evaluation. By contrast two intrusion detection systems, it turns out, the system that based on misuse and anomaly collaborative detection has the better detection effects.",,978-0-7695-3736-8,,10.1109/ICNC.2009.698,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5363731,IDS;anomaly detection;collaborative detection;intrusion detection capability;misuse detection,Bayesian methods;Collaboration;Costs;Databases;Detectors;Educational institutions;Equations;Information analysis;Information technology;Intrusion detection,information theory;security of data;software performance evaluation,anomaly collaborative detection;anomaly detection;collaborative intrusion detection system;information theory;mathematical assessment equation;misuse detection;performance evaluation,,0,,13,,,14-16 Aug. 2009,,IEEE,IEEE Conference Publications,,,
Intrusion Detection System in Cloud Computing: Challenges and opportunities,"Mehmood, Y.; Habiba, U.; Shibli, M.A.; Masood, R.","SEECS, Nat. Univ. of Sci. & Technol., Islamabad, Pakistan","Information Assurance (NCIA), 2013 2nd National Conference on",20140210,2013,,,59,66,"Today, Cloud Computing is the preferred choice of every IT organization since it provides flexible and pay-per-use based services to its users. However, the security and privacy is a major hurdle in its success because of its open and distributed architecture that is vulnerable to intruders. Intrusion Detection System (IDS) is the most commonly used mechanism to detect attacks on cloud. This paper provides an overview of different intrusions in cloud. Then, we analyze some existing cloud based intrusion detection systems (IDS) with respect to their type, positioning, detection time, detection technique, data source and attacks they can detect. The analysis also provides limitations of each technique to evaluate whether they fulfill the security requirements of cloud computing environment or not. We emphasize the deployment of IDS that uses multiple detection methods to cope with security challenges in cloud.",,978-1-4799-1287-2,,10.1109/NCIA.2013.6725325,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6725325,Anomaly;Cloud Computing;Cloud Security;Intrusion Detection System;Signature,Cloud computing;Computer crime;Intrusion detection;Ports (Computers);Servers;Virtual machine monitors,cloud computing;computer crime;data privacy,IDS;IT organization;attacks detection;cloud based intrusion detection systems;cloud computing;data source;detection technique;detection time;distributed architecture;open architecture;pay-per-use based services;positioning;privacy;security requirements,,1,,29,,,11-12 Dec. 2013,,IEEE,IEEE Conference Publications,,,
Intrusion Detection System Using Self-Organizing Maps,"Alsulaiman, M.M.; Alyahya, A.N.; Alkharboush, R.A.; Alghafis, N.S.","Coll. of Comput. & Inf. Sci., King Saud Univ., Riyadh, Saudi Arabia","Network and System Security, 2009. NSS '09. Third International Conference on",20091110,2009,,,397,402,"Internet became one of life's basics in these days. More networks are connected to the Internet every day, which increases the amount of valuable data and the number of resources that can be attacked. Some systems have been designed and developed to secure these data and prevent attacks on resources. Unfortunately, new attacks are being created everyday, which make it hard to design a system that will catch these attacks. The need is not only for preventing the attack but also for detecting such attacks if it happened. Intrusion detection systems is built to do this task and complement other security systems. In this paper we build an intrusion detection system using a well known unsupervised neural network, namely Kohonen maps. We present the solution by some researchers then propose two enhancements. The enhancement we did gave good result and was able to solve some off the shortcomings of available solution, namely high value of false positive.",,978-1-4244-5087-9,978-0-7695-3838-9,10.1109/NSS.2009.62,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5319303,Detection system;Intrusion;Intrusion Detection system;hierarchical SOM;self organizing maps,Computer networks;Computer security;Data security;Educational institutions;Information analysis;Information security;Intrusion detection;Neural networks;Self organizing feature maps;Telecommunication traffic,security of data;self-organising feature maps;unsupervised learning,Internet;Kohonen map;high value-of-false positive;intrusion detection system;neural network;self-organizing map;unsupervised learning algorithm,,3,,10,,,19-21 Oct. 2009,,IEEE,IEEE Conference Publications,,,
Three-Level Hybrid Intrusion Detection System,Hui Lu; Jinhua Xu,"Dept. of Comput. Sci., East China Normal Univ., Shanghai, China","Information Engineering and Computer Science, 2009. ICIECS 2009. International Conference on",20091228,2009,,,1,4,"With increasing connectivity between computers, the need to keep networks secure becomes more and more vital. Intrusion detection systems have become an essential component of network security to supplement existing defenses. This paper proposes a novel intrusion detection system, which combines the supervised classifiers and unsupervised clustering to detect intrusions. Decision tree, naive Bayes and Bayesian clustering are used at different levels. We also have made improvements to the Na'ive Bayes algorithm by choosing different attributes for different classes. The experiments demonstrate the effectiveness of the proposed approach, especially for U2R and R2L type attacks. The detection rate is significantly improved.",,978-1-4244-4994-1,,10.1109/ICIECS.2009.5366474,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366474,,Bayesian methods;Classification tree analysis;Clustering algorithms;Computer networks;Computer science;Decision trees;Information security;Internet;Intrusion detection;Machine learning algorithms,Bayes methods;decision trees;pattern clustering;security of data,Bayesian clustering;decision tree;naive Bayes;supervised classifiers;three-level hybrid intrusion detection system;unsupervised clustering,,1,,24,,,19-20 Dec. 2009,,IEEE,IEEE Conference Publications,,,
Hypervisor-based cloud intrusion detection system,"Nikolai, J.; Yong Wang","Coll. of Bus. & Inf. Syst., Dakota State Univ., Madison, SD, USA","Computing, Networking and Communications (ICNC), 2014 International Conference on",20140410,2014,,,989,993,"Shared resources are an essential part of cloud computing. Virtualization and multi-tenancy provide a number of advantages for increasing resource utilization and for providing on demand elasticity. However, these cloud features also raise many security concerns related to cloud computing resources. In this paper, we propose an architecture and approach for leveraging the virtualization technology at the core of cloud computing to perform intrusion detection security using hypervisor performance metrics. Through the use of virtual machine performance metrics gathered from hypervisors, such as packets transmitted/received, block device read/write requests, and CPU utilization, we demonstrate and verify that suspicious activities can be profiled without detailed knowledge of the operating system running within the virtual machines. The proposed hypervisor-based cloud intrusion detection system does not require additional software installed in virtual machines and has many advantages compared to host-based and network based intrusion detection systems which can complement these traditional approaches to intrusion detection.",,,,10.1109/ICCNC.2014.6785472,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6785472,Cloud Computing;hypervisor;intrusion detection,Cloud computing;Computer crime;Intrusion detection;Measurement;Virtual machine monitors;Virtual machining,cloud computing;computer network security;software architecture;software metrics;virtual machines;virtualisation,CPU utilization;block device read requests;block device write requests;cloud computing resources;cloud features;hypervisor performance metrics;hypervisor-based cloud intrusion detection system;intrusion detection security;multitenancy;operating system;packet transmission;received packets;shared resource utilization;virtual machine performance metrics;virtualization;virtualization technology,,1,,16,,,3-6 Feb. 2014,,IEEE,IEEE Conference Publications,,,
Research into the network security model blended of data stream mining and intrusion detection system,Zhu Lin; Zhu Can-Shi,"Eng. Coll., Air Force Univ. of Eng., Xi''a, China","Computer Science & Education (ICCSE), 2012 7th International Conference on",20120906,2012,,,496,499,"In response of the fact that traditional intrusion detection systems are not able to fulfill the requirements for specific network security, such as fast processing speed, stronger defense capability, and higher real-time performance, a model of network security defense is built on the integration of data stream mining and intrusion detection; and, a data stream clustering algorithm is designed for mining in the model. Through analysis and simulation, the model turns out to be higher in detection rate and lower in false-alarming or false negative rate, thus achieving a better result.",,978-1-4673-0241-8,,10.1109/ICCSE.2012.6295122,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295122,Data Stream Mining;Intrusion Detection;Network Security,Clustering algorithms;Data mining;Data models;Educational institutions;Intrusion detection;Training data,data mining;security of data,data stream clustering algorithm;data stream mining;intrusion detection system;network security model,,0,,5,,,14-17 July 2012,,IEEE,IEEE Conference Publications,,,
Host-based intrusion detection system,"Vokorokos, L.; Bala&#x0301;z&#x030C;, A.","Dept. of Comput. & Inf., Tech. Univ. of Kosice, Kos&#x030C;ice, Slovakia","Intelligent Engineering Systems (INES), 2010 14th International Conference on",20100614,2010,,,43,47,"The paper presents intrusion detection system which informs system administrator about potential intrusion incidence in a system. The designed architecture employes statistical method of data evaluation, that allows detection based on the knowledge of user activity deviation in the computer system from learned profile representing standard user behavior.",,978-1-4244-7650-3,,10.1109/INES.2010.5483815,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5483815,,Computer architecture;Computer networks;Control systems;Databases;Hardware;Informatics;Intrusion detection;Statistical analysis;Switches;System buses,,,,4,,7,,,5-7 May 2010,,IEEE,IEEE Conference Publications,,,
An overview on: Intrusion detection system with secure hybrid mechanism in wireless sensor network,"Moon, P.S.; Ingole, P.K.","Dept. of Comput. Sci. & Eng., G.H. Raisoni Coll. of Eng., Nagpur, India","Computer Engineering and Applications (ICACEA), 2015 International Conference on Advances in",20150723,2015,,,272,277,"Wireless Sensor Networking is one of the most important technologies that have different applications. The security of wireless sensor networks is a big concern. Hence for secure communication it is important to detect and prevent the attacks in network. Major focus is given on security and on detection and prevention of attacks. Adversary can create gray-hole attack and black-hole attack simultaneously; there are many methods which do not provide proper method to defend against these kinds of attacks. The Ad-hoc On Demand Distance Vector (AODV) scheme is used for detecting Gray-Hole attack and Enhanced Adaptive Acknowledgment (EAACK) mechanism is used for detecting black-hole attack in network. But only by detecting and preventing the attacks, it does not provide the better security to wireless network. Therefore, to secure network a hybrid mechanism is deployed in wireless sensor network. Security algorithm for wireless sensor networks such as CAWS and Modern Encryption Standard (MES-1) is used for secure communication. The CAWS and Modern Encryption Standard (MES-1) is an advanced cryptography method which is used for encryption and decryption process to provide special security. This paper focuses on strong security by detecting and preventing attacks, also ensures data authentication, integrity of data and solves less power transmission of data and receiver collision problem, by deploying hybrid mechanism.",,,,10.1109/ICACEA.2015.7164714,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7164714,AODV;CAWS;EAACK;MES-1;secure routing protocol;wireless sensor network,Communication system security;Encryption;Intrusion detection;Standards;Wireless communication;Wireless sensor networks,cryptography;data integrity;telecommunication security;wireless sensor networks,AODV scheme;CAWS;EAACK mechanism;MES-1;ad hoc on demand distance vector scheme;attack prevention;black-hole attack detection;cryptography method;data authentication;data integrity;enhanced adaptive acknowledgment mechanism;gray-hole attack detection;intrusion detection system;modern encryption standard;receiver collision problem;wireless sensor network security,,0,,17,,,19-20 March 2015,,IEEE,IEEE Conference Publications,,,
Neural Network based Intrusion Detection System for critical infrastructures,"Linda, O.; Vollmer, T.; Manic, M.",,"Neural Networks, 2009. IJCNN 2009. International Joint Conference on",20090731,2009,,,1827,1834,"Resiliency and security in control systems such as SCADA and nuclear plant's in today's world of hackers and malware are a relevant concern. Computer systems used within critical infrastructures to control physical functions are not immune to the threat of cyber attacks and may be potentially vulnerable. Tailoring an intrusion detection system to the specifics of critical infrastructures can significantly improve the security of such systems. The IDS-NNM - intrusion detection system using neural network based modeling, is presented in this paper. The main contributions of this work are: 1) the use and analyses of real network data (data recorded from an existing critical infrastructure); 2) the development of a specific window based feature extraction technique; 3) the construction of training dataset using randomly generated intrusion vectors; 4) the use of a combination of two neural network learning algorithms - the error-back propagation and Levenberg-Marquardt, for normal behavior modeling. The presented algorithm was evaluated on previously unseen network data. The IDS-NNM algorithm proved to be capable of capturing all intrusion attempts presented in the network communication while not generating any false alerts.",1098-7576,978-1-4244-3548-7,978-1-4244-3553-1,10.1109/IJCNN.2009.5178592,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5178592,Anomaly Intrusion Detection System;Control System;Neural Network,Artificial neural networks;Clustering algorithms;Communication system control;Communication system security;Computer networks;Control systems;Data mining;Feature extraction;Intrusion detection;Neural networks,computer crime;invasive software;learning (artificial intelligence);neural nets,Levenberg-Marquardt learning rule;SCADA;computer systems;control system resiliency;control system security;critical infrastructures;cyber attacks;error-back propagation;hackers;intrusion detection system;intrusion vectors;malware;neural network based modeling;neural network learning algorithms;normal behavior modeling;nuclear plant;window based feature extraction technique,,22,,23,,,14-19 June 2009,,IEEE,IEEE Conference Publications,,,
Policy and network-based intrusion detection system for IPv6-enabled wireless sensor networks,"Amaral, J.P.; Oliveira, L.M.; Rodrigues, J.J.P.C.; Guangjie Han; Lei Shu","Inst. de Telecomun., Univ. of Beira Interior, Covilha, Portugal","Communications (ICC), 2014 IEEE International Conference on",20140828,2014,,,1796,1801,"The recent years realize a progressive transition where fixed computing reached maturity and the mobility age started to thrive. Nowadays, another transition from the mobility age to the “Internet of Everything” (IoE) is taking place. In the IoE vision, several types of quotidian objects will be able to communicate over the Internet. As a result, it is expected that within a decade, IoE will have an economic value of $14.4 trillion, as the number of devices connected to the Internet continues to increase exponentially. The support for security services in these emerging resource-constrained devices is considered a challenge but needs to take into account from the very early stages of the wireless network inception. This paper proposes a network-based intrusion detection system (IDS) for IPv6-enabled wireless sensor networks. The proposed IDS is used to detect security attacks based on traffic signatures and abnormal behaviors.",,,,10.1109/ICC.2014.6883583,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883583,6LoWPAN;IDS;Internet of everything;Internet of things;Intrusion detection system;WSN;Wireless sensor networks,Energy management;Intrusion detection;Monitoring;Protocols;Software;Wireless sensor networks,IP networks;digital signatures;security of data;telecommunication traffic;wireless sensor networks,IPv6-enabled wireless sensor networks;Internet of Everything;IoE;abnormal behaviors;network-based intrusion detection system;policy;quotidian objects;resource-constrained devices;security attack detection;security services;traffic signatures,,0,,19,,,10-14 June 2014,,IEEE,IEEE Conference Publications,,,
HIDS-DT: An Effective Hybrid Intrusion Detection System Based on Decision Tree,Jie Yang; Xin Chen; Xudong Xiang; Jianxiong Wan,"Dept. of Inf. Security, Beijing Inf. Sci. & Technol. Univ., Beijing, China","Communications and Mobile Computing (CMC), 2010 International Conference on",20100524,2010,1,,70,75,A hybrid intrusion detection approach combing both misuse detection and anomaly detection can detect newly discovered attacks while maintaining a relatively high detection rate. This paper presents a novel hybrid intrusion detection system based on protocol analysis and decision tree algorithms. Performance evaluation of the proposed system is conducted using Generalized Stochastic Petri Nets (GSPN). Simulation results show that this hybrid system can reach a high detection rate.,,978-1-4244-6327-5,978-1-4244-6328-2,10.1109/CMC.2010.73,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5471511,Decision Tree;Generalized Stochastic Petri Net;Hybrid Intrusion Detection Model;Protocol Analysis,Computer networks;Decision trees;Intrusion detection;Mobile communication;Pattern matching;Petri nets;Space technology;Stochastic systems;TCPIP;Transport protocols,Petri nets;decision trees;security of data,HIDS-DT;anomaly detection;decision tree algorithms;generalized stochastic Petri nets;hybrid intrusion detection system;misuse detection;performance evaluation;protocol analysis,,2,,7,,,12-14 April 2010,,IEEE,IEEE Conference Publications,,,
A Novel Intrusion Detection System for E-Commerce System,Wenbin Li; Zhonghua Li; Haobin Shi; Weihua Li,"Sch. of Comput. Sci., Northwestern Polytech. Univ., Xi'an, China","Management of e-Commerce and e-Government, 2009. ICMECG '09. International Conference on",20091006,2009,,,454,459,"In order to provide a transaction environment of more security for e-commerce system, a novel intrusion detection system (IDS) based on the system call sequences is proposed in this paper. Firstly, this system improves the basic short sequence matching model combined with consistency principle of process initialization to emphasize on detecting system call sequences when process is initializing. Secondly, matching model of sequence correlation coefficient is established. Finally, the two models are utilized to evaluate synthetically the process behavior, so as to detect security situation of the whole e-commerce system. Experimental results show that IDS with the new technology can obviously increase the detection rate and reduce the false alarm rate.",,978-0-7695-3778-8,,10.1109/ICMeCG.2009.33,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5280076,correlation coefficient;e-commerce;intrusion detection;short sequence;system call sequences,Computer science;Conference management;Databases;Environmental economics;Environmental management;Information security;Intrusion detection;Pattern analysis;Pattern matching;Technology management,electronic commerce;security of data,e-commerce system;intrusion detection system;short sequence matching model;system call sequences,,1,,9,,,16-19 Sept. 2009,,IEEE,IEEE Conference Publications,,,
Efficient host based intrusion detection system using Partial Decision Tree and Correlation feature selection algorithm,"Lydia Catherine, F.; Pathak, R.; Vaidehi, V.","Dept. of Inf. Technol., Anna Univ., Chennai, India","Recent Trends in Information Technology (ICRTIT), 2014 International Conference on",20141229,2014,,,1,6,"System security has become significant issue in many organizations. The attacks like DoS, U2R, R2L and Probing etc., creating a serious threat to the appropriate operation of Internet services as well as in host system. In recent years, intrusion detection system is designed to prevent the intruder in the host as well as in network systems. Existing host based intrusion detection systems detects the intrusion using complete feature set and it is not fast enough to detect the attacks. To overcome this problem, this paper proposes an efficient HIDS - Correlation based Partial Decision Tree Algorithm (CPDT). The proposed CPDT combines Correlation feature selection for selecting features and Partial Decision Tree (PART) for classifying the normal and the abnormal packets. The algorithm is implemented and has been validated within KDD'99 dataset and found to give better results than the existing algorithms. The proposed CPDT model provides the accuracy of 99.9458%.",,,,10.1109/ICRTIT.2014.6996115,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6996115,CFS;DoS;IDS;Intruder;Probing;R2L;U2R,Accuracy;Algorithm design and analysis;Classification algorithms;Correlation;Decision trees;Feature extraction;Intrusion detection,computer network security;data mining;decision trees;feature selection;pattern classification;security of data,CPDT algorithm;DoS attack;HIDS;Internet service operation;KDD'99 dataset;PART;Probing attack;R2L attack;U2R attack;abnormal packet classification;correlation feature selection;correlation feature selection algorithm;correlation-based partial decision tree algorithm;host system;host-based intrusion detection system;network systems;normal packet classification;system security,,0,,16,,,10-12 April 2014,,IEEE,IEEE Conference Publications,,,
Back propagation neural network approach to Intrusion Detection System,"Mukhopadhyay, I.; Chakraborty, M.; Chakrabarti, S.; Chatterjee, T.","Dept. of Inf. Technol., Inst. of Eng. & Manage., India","Recent Trends in Information Systems (ReTIS), 2011 International Conference on",20120209,2011,,,303,308,"As the Internet is growing - so is the vulnerability of the network. Companies now days are spending huge amount of money to protect their sensitive data from different attacks that they face. In this paper, we propose a new methodology towards developing an Intrusion Detection System (IDS) based on Back-Propagation Neural Network (BPN) model. The proposed system was simulated using Matlab2010a utilizing benchmark intrusion KDDCUP'99 dataset to verify its feasibility and effectiveness.",,978-1-4577-0790-2,,10.1109/ReTIS.2011.6146886,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6146886,back propagation neural networks (BPN);intrusion detection system (IDS),Biological neural networks;Error analysis;Intrusion detection;Neurons;Telecommunication traffic;Training,backpropagation;neural nets;security of data,BPN model;IDS;Matlab2010a;backpropagation neural network;intrusion detection system,,3,,16,,,21-23 Dec. 2011,,IEEE,IEEE Conference Publications,,,
Increasing performance Of intrusion detection system using neural network,"Kumar, S.; Yadav, A.","Dept. of Electr. Eng., Nat. Inst. of Technol., Raipur, India","Advanced Communication Control and Computing Technologies (ICACCCT), 2014 International Conference on",20150126,2014,,,546,550,"Rapid growth in Internet and in parallel attacks, vulnerability and threats, has made intrusion detection systems very essential component in all parts of security infrastructure. Building IDS is not a new task, classical signature based IDS are used but they are unable to handle novel attacks. In this paper artificial neural network based intrusion detection is proposed for complete KDD cup 99 dataset. Performance of the proposed ANN based IDS system is evaluated and results shows high anomaly detection accuracy for the complete KDD cup 99 dataset as compared to existing techniques.",,978-1-4799-3913-8,,10.1109/ICACCCT.2014.7019145,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7019145,ANN;Intrusion Detection System;KDD99 dataset,Accuracy;Artificial neural networks;Network topology;Probes;Servers;Spread spectrum communication;Topology,neural nets;security of data,ANN based IDS system;Internet;artificial neural network based intrusion detection system;complete KDD cup 99 dataset;neural network;parallel attacks;security infrastructure,,1,,11,,,8-10 May 2014,,IEEE,IEEE Conference Publications,,,
An Intrusion Detection System implementing Host based attacks using Layered Framework,"Badgujar, T.; More, P.","Dept. of Comput. Eng., GSMCOE(Balewadi), Pune, India","Innovations in Information, Embedded and Communication Systems (ICIIECS), 2015 International Conference on",20150813,2015,,,1,4,"Intrusion Detection System has become a core component in a computer network as it is having threats from attackers, spammers and also from criminal enterprises. This insecurity is increasing in online environment day by day. The system must be secure from these prevalence. This paper represents an Intrusion Detection System implementing Real Time Host based attacks using Layered Framework. This system is experimented with real time packets. As we have experimented, it provides high security and less false alarm rate.",,978-1-4799-6817-6,,10.1109/ICIIECS.2015.7193122,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7193122,Intrusion Detection System;Layered Framework;Real Time Packets,Computers;Conferences;Data mining;Feature extraction;Floods;Intrusion detection;Real-time systems,computer network security,attackers;computer network;false alarm rate;host based attacks;intrusion detection system;layered framework;real time host based attacks;spammers,,0,,12,,,19-20 March 2015,,IEEE,IEEE Conference Publications,,,
An Intrusion Detection System for Network Storage Based on System Calls,Li-zhong Geng; Hui-bo Jia,"Dept. of Precision Instrum. & Mechanology, Tsinghua Univ., Beijing, China","Information Assurance and Security, 2009. IAS '09. Fifth International Conference on",20091009,2009,2,,544,547,"Rapid increase of information resources speeds the development of network storage. And security of network storage satisfies the demands of privacy and safety of the information. Data encryption and personal identity authentication which are based on cryptography can protect the storage against non-authorized access, while they are ineffective for malicious authorized users and inherent attacks. Also heavy performances affect the control of storage. This paper demonstrates an efficient intrusion detection system model for network-attached storage based on system calls and improves the Process Homeostasis to realize the implementation. The experimental results demonstrate high detection rate and low false detection rate. The total performance is about 3% additions when the detection system is running normally.",,978-0-7695-3744-3,,10.1109/IAS.2009.100,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5282972,IDS;NAS;System calls,Authentication;Cryptography;Data security;Identity-based encryption;Information resources;Information security;Intrusion detection;Privacy;Safety;Secure storage,authorisation;cryptography;data privacy;program diagnostics;storage allocation,cryptography;data encryption;information privacy;information resource;information safety;intrusion detection system;malicious authorized user;network storage;personal identity authentication;process homeostasis;system call,,0,,10,,,18-20 Aug. 2009,,IEEE,IEEE Conference Publications,,,
SCADA Intrusion Detection System based on temporal behavior of frequent patterns,"Sayegh, N.; Elhajj, I.H.; Kayssi, A.; Chehab, A.","Dept. of Electr. & Comput. Eng., American Univ. of Beirut, Beirut, Lebanon","Mediterranean Electrotechnical Conference (MELECON), 2014 17th IEEE",20140526,2014,,,432,438,"The vital role Supervisory Control And Data Acquisition (SCADA) systems play in controlling the modern infrastructure; along with the rapid evolution of these systems have turned them into one of the most desired targets for malicious attackers. Moreover, SCADA-specific attacks are becoming more sophisticated, and yet security measures are deployed at a very slow pace. In this work, we present a SCADA-specific Intrusion Detection System (IDS) that detects SCADA attacks based on their network traffic behavior, namely the temporal behavior of frequent patterns of the SCADA protocols. The IDS raises alarms when abnormal behavior is identified. The results showed that the IDS is able to detect attacks at a high rate while keeping false alarms at a minimum rate.",,,,10.1109/MELCON.2014.6820573,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6820573,Intrusion detection systems;SCADA systems;Temporal Frequent Patterns,Conferences;Correlation;Feature extraction;Histograms;Mathematical model;Protocols;SCADA systems,SCADA systems;cryptographic protocols;pattern recognition,SCADA protocols;frequent patterns;intrusion detection system;malicious attackers;supervisory control and data acquisition;temporal behavior,,0,,14,,,13-16 April 2014,,IEEE,IEEE Conference Publications,,,
Investigation of PCFA in Assessing Main Function Indexes of Intrusion Detection System in Network Security,Qu Zhiming,"Sch. of Civil Eng., Hebei Univ. of Eng., Handan, China","Information Engineering and Electronic Commerce, 2009. IEEC '09. International Symposium on",20090728,2009,,,211,214,"According to mathematical analysis, using primary components and factor analysis (PCFA) and its advantages, the main function indexes of intrusion detection system in network security are analyzed and assessed. Based on PCFA model and the scores by the experts, the authors computed some results that can reflect some aspects about main function indexes of intrusion detection system in network security. Through case study, it can be seen that some indexes play very important role in analyzing and assessing main function indexes of intrusion detection system in network security and all the reasons should be considered because network security depends on the interaction of all the reasons. Through analysis and deduction, it is concluded that, under the premise of minimizing the information loss of data, the application of PCFA in assessing intrusion detection system in network security approved to be practicable.",,978-0-7695-3686-6,,10.1109/IEEC.2009.49,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5175105,PCFA;intrusion detection system;main function indexes;network security,Computer networks;Computerized monitoring;Data security;Fault detection;Information analysis;Information security;Intrusion detection;Protection;Surveillance;System testing,computer networks;principal component analysis;security of data,intrusion detection system;main function indexes;network security;primary components and factor analysis,,0,,9,,,16-17 May 2009,,IEEE,IEEE Conference Publications,,,
Efficient Intrusion Detection System Using Stream Data Mining Classification Technique,"Desale, K.S.; Kumathekar, C.N.; Chavan, A.P.","DYPSOEA, Pune, India","Computing Communication Control and Automation (ICCUBEA), 2015 International Conference on",20150716,2015,,,469,473,"Recent emerging growth of data created so many challenges in data mining. Data mining is the process of extracting valid, previously known & comprehensive datasets for the future decision making. As the improved technology by World Wide Web the streaming data come into picture with its challenges. The data which change with time & update its value is known as streaming data. As the most of the data is streaming in nature, there are so many challenges need to face in the sense of security perspective. Intrusion Detection System (IDS) works in the supposition of detecting the intruders to protect the respective system. The research in data stream mining & Intrusion detection system gained high attraction due to the importance of system's safety measure. Algorithms, systems & frameworks that address security challenges have been developed over the past years. In this paper, we present the mechanism to improve the efficiency of the IDS using streaming data mining technique. We apply four selected stream data classification algorithms on NSL-KDD datasets and compare their results. Based on the comparative analysis of their results best method is found out for efficiency improvement of IDS.",,,,10.1109/ICCUBEA.2015.98,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7155891,Hoeffding;intrusion detecting system;naive bayes;stream data classification;streaming data,Accuracy;Algorithm design and analysis;Classification algorithms;Computer architecture;Data mining;Intrusion detection;Prediction algorithms,data mining;decision making;pattern classification;security of data,IDS;NSL-KDD datasets;World Wide Web;decision making;intrusion detection system;stream data mining classification technique;system safety measure,,0,,18,,,26-27 Feb. 2015,,IEEE,IEEE Conference Publications,,,
An Intrusion Detection System Based on Honeypot Technology,Liu Dongxia; Zhang Yongbo,"Coll. of Comput. Sci. & Technol, Shandong Univ. of Technol., Zibo, China","Computer Science and Electronics Engineering (ICCSEE), 2012 International Conference on",20120423,2012,1,,451,454,"This paper presents an intrusion detection module based on honey pot technology, which utilizes IP Trace back technique. By using the mobile agents, this module has the capability of distributed detection and response, the whole detection module can be extended with convenience and be configured dynamically and flexibly. By using honey pot technology, this module traces the intrusion source farthest.",,978-1-4673-0689-8,,10.1109/ICCSEE.2012.158,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6187883,IP Trace back;Intrusion Detection;Mobile Agents;honeypot technology,Data acquisition;IP networks;Intrusion detection;Mobile agents;Monitoring;Servers;Software,Internet;mobile agents;security of data,IP trace back technique;Internet;distributed detection;honeypot technology;intrusion detection system;mobile agents,,1,,5,,,23-25 March 2012,,IEEE,IEEE Conference Publications,,,
