"http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&ar=7036781,5497832,5421839,6735407,6736855,6884906,4682299,6725331,5678024,5654816,6686354,4599219,1666486,4736909,5138016,6498376,1541543,7253748,5635232,6016798,5367708,5671039,1625689,6040856,1429933,6161622,4021111,1210028,4420221,6655707,6756016,4976790,797905,6201922,5633852,5721046,7148345,1691928,6769676,1659471,6246102,7166110,7065579,4086884,6632070,4808902,5234325,5474773,5582691,5770397,1194965,5360137,5541362,5474252,1644158,4795984,6024113,4554452,5665189,6926557,5513939,6179178,5679451,4725663,4021241,4579536,4287780,1435744,5402616,4344661,5633851,1614797,5376626,6011481,7170604,5305874,4288876,1547612,4529460,4699962,7208973,4663387,4675279,5438075,4289875,6770189,7288796,1215651,1226838,5228172,6893417,5716416,1687642,6075142,1684924,4624490,4288867,4344507,5260848,5169029",2015/11/20 16:22:38
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A Framework to Monitor Cloud Infrastructure in Service Oriented Approach","Veigas, J.P.; Sekaran, K.C.","Dept. of Comput. Sci. & Eng., Nat. Inst. of Technol., Karnataka, India","Advances in Computing and Communications (ICACC), 2013 Third International Conference on","20131219","2013","","","130","133","Cloud computing processes and stores the organization's sensitive data in the third party infrastructure. Monitoring these activities within the cloud environment is a major task for the security analysts and the cloud consumer. The cloud service providers may voluntarily suppress the security threats detected in their Infrastructure from the consumers. The goal is to decouple Intrusion Detection System (IDS) related logic from individual application business logic and adhere to the Service Oriented Architecture Standards. This paper provides a framework for Intrusion Detection and reporting service to the cloud consumers based on the type of applications and their necessary security needs. Cloud consumers can choose the desired signatures from this framework to protect their applications. The proposed technique is deployed in existing open source cloud environment with minimum changes. A proof-of-concept prototype has been implemented based on Eucalyptus open source packages to show the feasibility of this approach. Our results show that this framework provides effective way to monitor the cloud infrastructure in service oriented approach.","","","","10.1109/ICACC.2013.33","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6686354","Cloud;Intrusion Detection;Monitoring;Services","Cloud computing;Intrusion detection;Monitoring;Subscriptions;Virtual machining","cloud computing;consumer behaviour;organisational aspects;security of data;service-oriented architecture","Eucalyptus open source packages;IDS related logic;application business logic;cloud computing processes;cloud consumers;cloud infrastructure;cloud service providers;intrusion detection system;open source cloud environment;organization sensitive data;proof-of-concept prototype;security analysts;security threats;service oriented approach;service oriented architecture standards;third party infrastructure","","1","","13","","","29-31 Aug. 2013","","IEEE","IEEE Conference Publications"
"Anomaly detection in wireless sensor networks","Rajasegarar, S.; Leckie, C.; Palaniswami, M.","Univ. of Melbourne, Melbourne, VIC","Wireless Communications, IEEE","20080815","2008","15","4","34","40","Anomaly detection in wireless sensor networks is an important challenge for tasks such as fault diagnosis, intrusion detection, and monitoring applications. The algorithms developed for anomaly detection have to consider the inherent limitations of sensor networks in their design so that the energy consumption in sensor nodes is minimized and the lifetime of the network is maximized. In this survey article we analyze the state of the art in anomaly detection techniques for wireless sensor networks and discuss some open issues for research.","1536-1284","","","10.1109/MWC.2008.4599219","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4599219","","Algorithm design and analysis;Automatic control;Central Processing Unit;Communication system security;Energy consumption;Intelligent networks;Intrusion detection;Remote monitoring;Sensor phenomena and characterization;Wireless sensor networks","telecommunication security;wireless sensor networks","anomaly detection;energy consumption;network lifetime;wireless sensor network","","41","","15","","","Aug. 2008","","IEEE","IEEE Journals & Magazines"
"Channel Sampling Strategies for Monitoring Wireless Networks","Deshpande, U.; Henderson, T.; Kotz, D.","Department of Computer Science, Dartmouth College, Hanover, NH 03755, udayan@cs.dartmouth.edu","Modeling and Optimization in Mobile, Ad Hoc and Wireless Networks, 2006 4th International Symposium on","20060807","2006","","","1","7","Monitoring the activity on an IEEE 802.11 network is useful for many applications, such as network management, optimizing deployment, or detecting network attacks. Deploying wireless sniffers to monitor every access point in an enterprise network, however, may be expensive or impractical. Moreover, some applications may require the deployment of multiple sniffers to monitor the numerous channels in an 802.11 network. In this paper, we explore sampling strategies for monitoring multiple channels in 802.11b/g networks. We describe a simple sampling strategy, where each channel is observed for an equal, predetermined length of time, and consider applications where such a strategy might be appropriate. We then introduce a sampling strategy that weights the time spent on each channel according to the number of frames observed on that channel, and compare the two strategies under experimental conditions.","","0-7803-9549-2","","10.1109/WIOPT.2006.1666486","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1666486","","Computer science;Computerized monitoring;Costs;Educational institutions;Electric breakdown;IEEE activities;Sampling methods;Telecommunication traffic;Wireless LAN;Wireless networks","","","","9","","17","","","03-06 April 2006","","IEEE","IEEE Conference Publications"
"Table of contents","","","Advanced Computer Theory and Engineering, 2008. ICACTE '08. International Conference on","20090106","2008","","","v","xviii","Presents the table of contents of the proceedings.","","978-0-7695-3489-3","","10.1109/ICACTE.2008.7","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4736909","","","","","","0","","","","","20-22 Dec. 2008","","IEEE","IEEE Conference Publications"
"Network Intrusion Detection Method Based on Radial Basic Function Neural Network","Jingwen Tian; Meijuan Gao; Fan Zhang","Coll. of Autom., Beijing Union Univ., Beijing","E-Business and Information System Security, 2009. EBISS '09. International Conference on","20090630","2009","","","1","4","Aimed at the network intrusion behaviors are characterized with uncertainty, complexity, diversity and dynamic tendency and the advantages of radial basic function neural network (RBFNN), an intrusion detection method based on radial basic function neural network is presented in this paper. We construct the structure of RBFNN that used for detection network intrusion behavior, and adopt the K-nearest neighbor algorithm and least square method to train the network. We discussed and analyzed the impact factor of intrusion behaviors. With the ability of strong function approach and fast convergence of radial basic function neural network, the network intrusion detection method based on radial basic function neural network can detect various intrusion behaviors rapidly and effectively by learning the typical intrusion characteristic information. The experimental result shows that this intrusion detection method is feasible and effective.","","978-1-4244-2909-7","978-1-4244-2910-3","10.1109/EBISS.2009.5138016","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5138016","","Artificial intelligence;Artificial neural networks;Automation;Chemical technology;Educational institutions;Information science;Information security;Intrusion detection;Neural networks;Uncertainty","backpropagation;computer networks;least squares approximations;pattern classification;radial basis function networks;telecommunication security","BP network;K-nearest neighbor algorithm;least square method;mode-classification;network intrusion detection method;network security;radial basic function neural network learning","","0","","9","","","23-24 May 2009","","IEEE","IEEE Conference Publications"
"Self-Organized Mechanism for Distributed Setup of Multiple Heterogeneous Intrusion Detection Systems","Bartos, K.; Rehak, M.","Czech Tech. Univ. in Prague Prague, Prague, Czech Republic","Self-Adaptive and Self-Organizing Systems Workshops (SASOW), 2012 IEEE Sixth International Conference on","20130415","2012","","","31","38","We propose a distributed and self-organized framework for collaboration of multiple heterogeneous IDS sensors. The framework is based on a game-theoretical approach that optimizes behavior of each IDS sensor with respect to other sensors in highly dynamic environments. We formalize the proposed collaborative architecture as a game between defenders and attackers and transform the hard problem of heterogeneous collaboration into an easier problem of finding two functions that are used in the game-theoretical model to specialize the detection mechanisms on a specific type of malicious activity. The collaboration of such more specialized IDS nodes covers much wider range of attack classes, allowing the collaborating system to maximize the overall network security awareness. We have evaluated the proposed concept on real networks, where we have shown considerable improvements in the detection capabilities of intrusion detection devices thanks to the proposed collaboration model.","","978-1-4673-5153-9","","10.1109/SASOW.2012.15","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6498376","","","game theory;groupware;security of data","IDS sensor;attack class;collaborative architecture;game-theoretical approach;intrusion detection device;multiple heterogeneous IDS;multiple heterogeneous intrusion detection system;network security awareness;self-organized mechanism","","0","","16","","","10-14 Sept. 2012","","IEEE","IEEE Conference Publications"
"A framework for detecting malformed messages in SIP networks","Geneiatakis, D.; Kambourakis, G.; Dagiuklas, T.; Lambrinoudakis, C.; Gritzalis, S.","Dept. of Inf. & Commun. Syst. Eng., Aegean Univ.","Local and Metropolitan Area Networks, 2005. LANMAN 2005. The 14th IEEE Workshop on","20051121","2005","","","5 pp.","5","Internet telephony like any other Internet service suffers from security flaws caused by various implementation errors (e.g. in end-users terminals, protocols, operating systems, hardware, etc). These implementation problems usually lead VoIP subsystems (e.g. SIP servers) to various unstable operations whenever trying to process a message not conforming to the underlying standards. As Internet telephony becomes more and more popular, attackers will attempt to exhaustively ""test"" implementations' robustness, transmitting various types of malformed messages to them. Since it is almost infeasible to avoid or predict every potential error caused during the developing process of these subsystems, it is necessary to specify an appropriate and robust, from the security point of view, framework that will facilitate the successful detection and handling of any kind of malformed messages aiming to destruct the provided service. In this paper, we adequately present malformed message attacks against SIP network servers and/or SIP end-user terminals and we propose a new detection ""framework"" of prototyped attacks' signatures that can assist the detection procedure and provide effective defence against this category of attacks","","0-7803-9565-4","","10.1109/LANMAN.2005.1541543","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1541543","","Hardware;Internet telephony;Network servers;Operating systems;Protocols;Prototypes;Robustness;Testing;Web and internet services;Web server","Internet telephony;electronic messaging;signalling protocols;telecommunication security","Internet telephony;SIP end-user terminals;SIP networks;malformed messages detection;prototyped attacks signatures","","11","","14","","","18-18 Sept. 2005","","IEEE","IEEE Conference Publications"
"A Comprehensive Survey of Current Trends and Challenges to mitigate ARP attacks","Singh, J.; Kaur, G.; Malhotra, J.","ECE Dept., GNDU RC Jalandhar, Jalandhar, India","Electrical, Electronics, Signals, Communication and Optimization (EESCO), 2015 International Conference on","20150910","2015","","","1","6","Network Security has become a major concern today for personal computer users and the organizations. It is at the forefront of many networks. Massively used protocols like IP, ARP do not have any mechanism for protection against malicious activities by the network clients due to which IP and ARP spoofing are used by attackers to launch various kinds of attacks such as Man In The Middle (MITM), Denial of Service (DoS) and other attacks. These attacks can have the threatening effects on the organizations. Detection, mitigation and prevention of IP-ARP spoofing can enhance the security to great extent. This paper presents several schemes for detecting, mitigating and preventing ARP Spoofing attacks. The important features and limitations of the already reported methods have been highlighted in this paper and the suggestions for further improvement towards the development of an ideal solution have been examined.","","978-1-4799-7676-8","","10.1109/EESCO.2015.7253748","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7253748","ARP Cache;ARP Protocol;ARP Spoofing Attack;Spoofing detection and prevention","Authentication;Computers;Hardware;IP networks;Monitoring;Protocols","IP networks;computer network security;protocols","ARP spoofing attack detection;ARP spoofing attack mitigation;ARP spoofing attack prevention;IP-ARF spoofing;address resolution protocol","","0","","","","","24-25 Jan. 2015","","IEEE","IEEE Conference Publications"
"Table of contents - Volume 3","","","Information Technology and Applications (IFITA), 2010 International Forum on","20101111","2010","3","","v","xiii","Presents the table of contents of the proceedings.","","978-1-4244-7621-3","","10.1109/IFITA.2010.371","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5635232","","","","","","0","","","","","16-18 July 2010","","IEEE","IEEE Conference Publications"
"The practice on using machine learning for network anomaly intrusion detection","Yu-Xin Meng","Dept. of Comput. Sci., City Univ. of Hong Kong, Kowloon, China","Machine Learning and Cybernetics (ICMLC), 2011 International Conference on","20110912","2011","2","","576","581","Machine learning is regarded as an effective tool utilized by intrusion detection system (IDS) to detect abnormal activities from network traffic. In particular, neural networks, support vector machines (SVM) and decision trees are three significant and popular schemes borrowed from the machine learning community into intrusion detection in recent academic research. However, these machine learning schemes are rarely employed in large-scale practical settings. In this paper, we implement and compare machine learning schemes of neural networks, SVM and decision trees in a uniform environment with the purpose of exploring the practice and issues of using these approaches in detecting abnormal behaviors. With the analysis of experimental results, we claim that the real performance of machine learning algorithms depends heavily on practical context. Therefore, the machine learning approaches are supposed to be applied in an appropriate way in terms of the actual settings.","2160-133X","978-1-4577-0305-8","","10.1109/ICMLC.2011.6016798","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6016798","Decision tree;Intrusion detection;Machine learning;Neural network;Support vector machine","Accuracy;Classification algorithms;Decision trees;Intrusion detection;Machine learning;Support vector machines;Training","computer network security;decision trees;learning (artificial intelligence);neural nets","SVM;decision trees;intrusion detection system;machine learning;network anomaly intrusion detection;network traffic;neural networks;support vector machines","","4","","23","","","10-13 July 2011","","IEEE","IEEE Conference Publications"
