http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.megabytes.QT.%29+OR+.QT.kilobytes.QT.%29+OR+.QT.gigabytes.QT.%29+OR+.QT.bytes.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/22/2015 19:05,"(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System)",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28.QT.megabytes.QT.%29+OR+.QT.kilobytes.QT.%29+OR+.QT.gigabytes.QT.%29+OR+.QT.bytes.QT.%29+AND+.QT.Intrusion+Detection+System.QT.%29,11/22/2015 19:05,"(((((megabytes) OR kilobytes) OR gigabytes) OR bytes) AND Intrusion Detection System)",IEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifie
Moving Network Protection from Software to Hardware: An Energy Efficiency Analysis,"Pereira de Franca, A.L.; Pereira Jasinski, R.; Pedroni, V.A.; Olivo Santin, A.","Fed. Univ. of Technol. - UTFPR, Curitiba, Brazil","VLSI (ISVLSI), 2014 IEEE Computer Society Annual Symposium on",20140922,2014,,,456,461,"Software-based network security is constantly challenged by the increase in network speeds and number of attacks. At the same time, mobile network access underscores the need for energy efficiency. In this paper, we present a new way to improve the throughput and to reduce the energy consumption of an anomaly-based intrusion detection system for probing attacks. Our framework implements the same classifier algorithm in software (C++) and in hardware (synthesizable VHDL), and then compares the energy efficiency of the two approaches. Our results for a decision tree classifier show that the hardware version consumed only 0.03% of the energy used by the same algorithm in software, even though the hardware version operates with a throughput that is 15 times that of the software version.",,978-1-4799-3763-9,,10.1109/ISVLSI.2014.89,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6903406,FPGA;anomaly-based detection;decision tree classifier;energy efficiency;intrusion detection system,Field programmable gate arrays;Hardware;Power demand;Power measurement;Software;Support vector machine classification;Vectors,decision trees;hardware description languages;pattern classification;power aware computing;radio networks;telecommunication computing;telecommunication power management;telecommunication security,anomaly-based intrusion detection system;decision tree classifier;energy consumption;energy efficiency analysis;mobile network;network protection;software classifier algorithm;software-based network security;synthesizable VHDL,,1,,15,,,9-11 July 2014,,IEEE,IEEE Conference Publications,
A Priority-based Feedback Flow Control System for Bandwidth Control,"Song, Sui; Manikopoulos, C.N.","Dept. of Comput. & Electr. Eng., New Jersey Inst. of Technol., Newark, NJ","Information Sciences and Systems, 2006 40th Annual Conference on",20070122,2006,,,1645,1652,"In this paper, we propose a priority-based feedback flow control system (PFFCS) architecture that use the flow-based network intrusion detection to classify the traffic flows in the network into different priority classes and give different treatment to the flow-rates belonging to different classes, and PFFCS uses a control-theoretic approach to control network traffic and at the same time, adaptively to maximize low priority flows while maintaining high priority flows at a desired level so that full utilization of network medium can be achieved through adaptive rate control. To provide this desired service guarantee to high priority flows, we build dynamic network flow model, propose multi-layered network flow-rate constrain algorithms and define a series of malicious-based packet discarding policies. The system is shown to be highly flexible and robust against different types of attack patterns, and traditional network traffic control can be implemented using one common framework. This system has been evaluated by using simulated test-bed data. Results show the success that the system mitigates distributed denial of service attacks.",,1-4244-0349-9,1-4244-0350-2,10.1109/CISS.2006.286399,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4068065,Flow;Flow aggregation;Network Intrusion Detection System;Neural Network Classifier;QoS,Adaptive control;Bandwidth;Communication system traffic control;Control systems;Feedback;Intrusion detection;Programmable control;Robust control;System testing;Traffic control,bandwidth allocation;feedback;security of data;telecommunication congestion control;telecommunication traffic,PFFCS architecture;bandwidth control;network intrusion detection;network traffic control;priority-based feedback flow control system,,0,,25,,,22-24 March 2006,,IEEE,IEEE Conference Publications,
Deterministic Finite Automata for pattern matching in FPGA for intrusion detection,"BabuKaruppiah, A.; Rajaram, S.","Velammal Coll. of Eng. & Technol., Madurai, India","Computer, Communication and Electrical Technology (ICCCET), 2011 International Conference on",20110502,2011,,,167,170,Intrusion detection has been at the center of intense research in the last decade owing to the rapid increase of sophisticated attacks on computer systems. Network Intrusion Detection Systems (NIDS) detect and prevent numerous security threats in network traffic. Recent Network Intrusion Detection Systems (NIDS) use regular expressions to represent suspicious or malicious character sequences in packet payloads in a more efficient way. They require high-speed packet processing providing a challenging case study for pattern matching using regular expressions. This paper presents an efficient method for finding matches to a given regular expression in a given text using FPGAs. This paper introduces a Deterministic Finite Automata (DFA) method of hardware implementation to support regular expressions.,,978-1-4244-9393-7,,10.1109/ICCCET.2011.5762461,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5762461,Network Intrusion Detection System;Nondeterministic Finite Automata;Regular Expression,Automata;Computers;Doped fiber amplifiers;Field programmable gate arrays;Hardware;Intrusion detection;Pattern matching,deterministic automata;field programmable gate arrays;finite automata;security of data;telecommunication traffic,FPGA;deterministic finite automata;network intrusion detection system;network traffic;packet processing;pattern matching;security threat,,2,,17,,,18-19 March 2011,,IEEE,IEEE Conference Publications,
Intrusion Detection based Sample Selection for imbalanced data distribution,"Chairi, I.; Alaoui, S.; Lyhyaoui, A.","Dept. of Electr. & Ind., Abdelmalek Essaadi Univ., Tanger, Morocco","Innovative Computing Technology (INTECH), 2012 Second International Conference on",20130211,2012,,,259,264,"The majority of learning systems usually assume that training sets are balanced, however, in real world data this hypothesis is not always true. The problem of between-class imbalance is a challenge that has attracted growing attention from both academia and industry, because of its critical influence on the performance of learning systems. Many solutions were proposed to resolve this problem: Generally, the common practice for dealing with imbalanced data sets is to rebalance them artificially by using sampling methods. In this paper, we propose a method based on Sample Selection (SS), to deal with the problem of between class imbalance. We consider that creating balance between classes by paying more attention to those examples located near the border line improves the performance of the classifier. To reduce the computational cost of selecting samples, we propose a clustering method as a first step in order to determine the critical centers, and then we select samples from those critical clusters. Experimental results with Multi-Layer Perceptron (MLP) architecture, on well known Intrusion Detection data set, support the usefulness of our approach.",,978-1-4673-2678-0,,10.1109/INTECH.2012.6457778,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6457778,Classification;Clustering;Imbalanced data;Intrusion Detection System;Nearest Opposing Pairs;Sample Selection,Classification algorithms;Feature extraction;Intrusion detection;Neurons;Probes;Sampling methods;Training,learning (artificial intelligence);multilayer perceptrons;pattern classification;security of data,MLP;SS;classifier performance;imbalanced data distribution;intrusion detection based sample selection;learning systems;multilayer perceptron architecture,,0,,25,,,18-20 Sept. 2012,,IEEE,IEEE Conference Publications,
Improving Performance of Anomaly-Based IDS by Combining Multiple Classifiers,"Kishimoto, K.; Yamaki, H.; Takakura, H.","Sch. of Eng., Nagoya Univ., Nagoya, Japan","Applications and the Internet (SAINT), 2011 IEEE/IPSJ 11th International Symposium on",20110825,2011,,,366,371,"Intrusion detection systems (IDSs) play an important role to defend networks from cyber attacks. Among them, anomaly-based IDSs can detect unknown attacks like 0-day attacks that are hard to detect by using signature-based system. However, they have problems that their performance depends on a learning dataset. It is very hard to prepare an appropriate learning dataset in a static fashion, because the traffic in the Internet changes quite dynamically and complexity. In this paper, we propose a method that follows traffic trend by combining multiple classifiers. We evaluate our method using Kyoto2006+ and existing algorithm.",,978-1-4577-0531-1,978-0-7695-4423-6,10.1109/SAINT.2011.70,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6004187,clustering;detection rate;false positive rate;intrusion detection system,Clustering algorithms;Electronic mail;Feature extraction;Internet;Servers;Testing;Training,Internet;computer network security;pattern classification,0-day attacks;Internet;Kyoto2006+;anomaly based IDS;cyber attacks;intrusion detection systems;learning dataset;multiple classifiers,,1,,7,,,18-21 July 2011,,IEEE,IEEE Conference Publications,
Scaling the performance of network intrusion detection with many-core processors,"Jaehyun Nam; Jamshed, M.; Byungkwon Choi; Dongsu Han; KyoungSoo Park","Grad. Sch. of Inf. Security, Korea Adv. Inst. of Sci. & Technol., Daejeon, South Korea","Architectures for Networking and Communications Systems (ANCS), 2015 ACM/IEEE Symposium on",20150521,2015,,,191,192,"In this work, we present a highly scalable network intrusion detection system on many-core processors. To maximize the NIDS performance, we take advantage of the underlying hardware and adhere to four design principles: shared-nothing architecture, computation offloading, lightweight data structure, and flow offloading. Through the experimental results, we find that our design choices can significantly improve the NIDS performance (79 Gbps with 1514B synthetic packets). We believe that our design decisions can be easily extended to other many-core processors and programmable NICs.",,,,10.1109/ANCS.2015.7110135,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7110135,many-core;network intrusion detection system;of-floading;parallel,Data structures;Engines;Hardware;Intrusion detection;Pattern matching;Program processors,data structures;multiprocessing systems;security of data,NIDS performance;flow offloading;lightweight data structure;many-core processors;network intrusion detection;programmable NIC;shared-nothing architecture,,0,,4,,,7-8 May 2015,,IEEE,IEEE Conference Publications,
Security of SIP-based infrastructure against malicious message attacks,"Shrestha, A.K.","Dept. of Comput. & Electron., Tribhuvan Univ., Kathmandu, Nepal","Software, Knowledge, Information Management and Applications (SKIMA), 2014 8th International Conference on",20150409,2014,,,1,8,"Nowadays Session Initiation Protocol (SIP) has become the most widely used signaling protocol by the vendors in the Voice over Internet Protocol (VoIP) communication. As the SIP is gaining popularity, open architecture of VoIP often makes SIP vulnerable to so many threats. The paper introduces SIP along with its different security mechanisms with the focus on attack signatures generation technique to identify the malformed SIP messages. It aims to generate various malicious SIP messages and to verify the limitations of the existing classical Intrusion Detection System (IDS) in identifying the malicious messages. Then it sets out to implement an improved detection framework using the rules as regular expression. The experiments were carried out using SER as an open source SIP server, Kphone and X-lite as SIP clients and the SIPSAK as an attacking tool on a testbed architecture which was in a form of virtual environment created with VMware. The platforms used were BackTrack7 and Windows 7. The test was first performed on SNORT, an open source IDS and later by adding the improved detection rules in the configuration file of the SIP server. The successful attacks on the classical attack-signatures generation framework proved that the existing IDSs couldn't identify logical errors in the malicious SIP messages. The proposed detection module identified and rejected all kind of malicious SIP messages with acceptable processing overheads. Moreover the associated signatures database can also be incorporated into other VoIP protocols and open source IDSs like SNORT. This paper has provided the effective mechanism in creating well-formed defense against malicious SIP message attacks to ensure the integrity and security of VoIP subsystems.",,,,10.1109/SKIMA.2014.7083519,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7083519,Intrusion detection system;Malicious message;SIP;SQL injection;VoIP,Inspection;Internet;Protocols;Security;Servers;Standards;Syntactics,Internet telephony;client-server systems;computer network security;digital signatures;public domain software;signalling protocols;virtual machines,BackTrack7;IDS;Kphone;SER;SIP clients;SIP server;SIP-based infrastructure security;SIPSAK;SNORT;Session Initiation Protocol;VMware;VoIP communication;VoIP subsystem integrity;VoIP subsystem security;Voice over Internet Protocol communication;Windows 7;X-lite;attack signature generation technique;attack-signature generation framework;attacking tool;configuration file;detection rule improvement;intrusion detection system;logical error identification;malformed SIP message identification;malicious SIP message attacks;malicious SIP messages;malicious message attacks;malicious message identification;open architecture;open source IDS;open source SIP server;processing overheads;regular expression;security mechanisms;signaling protocol;signature database;testbed architecture;threat vulnerability;virtual environment,,0,,8,,,18-20 Dec. 2014,,IEEE,IEEE Conference Publications,
Web driven alert verification,"Najafi, A.; Sepahi, A.; Jalili, R.","Dept. of Comput. Eng., Sharif Univ. of Technol., Tehran, Iran","Information Security and Cryptology (ISCISC), 2014 11th International ISC Conference on",20141222,2014,,,180,185,"A web attack is an attack against a web server through the HTTP Protocol. By analyzing known web attacks, we find out that each one has its own behavior. Vestiges of their behavior could be detected in non-body parts of the HTTP Protocol. Such information can be used to verify web alerts generated by Web Application Firewalls (WAFs) and Web Intrusion Detection Systems (Web IDSs). In this paper, we propose a method to verify web alerts generated by mentioned sensors. The goal of the alert verification component is to eliminate or tag alerts that do not represent successful attacks. Our approach is based on analyzing HTTP Transaction metadata, including Request method, Request Headers, Status Code, and Response Headers. We implemented an alert verification module, reconfigured ModSecurity, modified a subset of the OWASP ModSecurity Core Rule Set, and developed knowledge-base of web attack vectors to evaluate our method. We show that our approach significantly reduces false and non-relevant alerts with quite low processing overhead, thus enhances the quality of the results.",,,,10.1109/ISCISC.2014.6994044,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6994044,HTTP Protocol;Intrusion Detection System;Web Application Firewall;alert verification;web attack,Accuracy;Firewalls (computing);Intrusion detection;Knowledge based systems;Protocols;Web servers,Internet;computer network security;hypermedia;meta data;transport protocols,HTTP protocol;HTTP transaction metadata analysis;OWASP ModSecurity Core Rule Set;WAF;Web IDS;Web application firewalls;Web attack;Web attack vector knowledge-base;Web driven alert verification;Web intrusion detection systems;Web server;alert verification module;reconfigured ModSecurity;request headers;request method;status code,,0,,20,,,3-4 Sept. 2014,,IEEE,IEEE Conference Publications,
Automatic attack signature generation systems: A review,"Kaur, S.; Singh, M.","Thapar Univ. Patiala, Patiala, India","Security & Privacy, IEEE",20131212,2013,11,6,54,61,"Signature-based intrusion detection systems provide solutions to counter the increasing number of attacks on network resources. But this is not helpful for novel attacks whose signatures aren't available. Automated signature generation systems can work proactively to detect these attacks in real time and generate signatures of new attacks. This article analyzes the latest developments, including Honeycyber, Hancock, Arbor, Auto-Sign, Argos, Hamsa, F-Sign, and a hybrid honeyfarm-based defense system, comparing these systems on the basis of their ability to detect novel attacks, signature generation method, suitability for multiple instances of worms, type of signature generated, attacks and worms covered, false alarm rates, and relative strengths and weaknesses.",1540-7993,,,10.1109/MSP.2013.51,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6515481,0-day attack;intrusion detection system;signature generation,Handwriting recognition;Intrusion detection;Signature generation,digital signatures,automated signature generation systems;automatic attack signature generation systems;network resources;signature based intrusion detection systems,,1,,12,,5/13/2013,Nov.-Dec. 2013,,IEEE,IEEE Journals & Magazines,
Internetworking security model based on intelligent system,"Srinoy, S.; Chimphlee, W.","Suan Dusit Rajabhat Univ. Bangkok, Bangkok","Information, Communications & Signal Processing, 2007 6th International Conference on",20080212,2007,,,1,5,"Security of computers and the networks that connect them is increasingly becoming of great significance. Computer security is defined as the protection of computing systems against threats to confidentiality, integrity, and availability. In this paper we present the architecture of our system that combines anomaly and misuse intrusion detection in a hybrid system that tries to take benefit of the best practices of both misuse and anomaly detection approaches. Experimental result shows that our method allows us to recognize not only known attacks but also to detect suspicious activity that may be the result of a new, unknown attack. Our method simplifies features effectively and obtains a higher classification accuracy compared to other methods.",,978-1-4244-0982-2,978-1-4244-0983-9,10.1109/ICICS.2007.4449540,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4449540,Intelligent System;Intrusion Detection System;Network security,Computer networks;Computer science;Computer security;Data mining;Electronic mail;Information systems;Intelligent systems;Internetworking;Intrusion detection;Machine learning,internetworking;security of data,anomaly detection;hybrid system;intelligent system;internetworking security model;misuse intrusion detection,,0,,24,,,10-13 Dec. 2007,,IEEE,IEEE Conference Publications,
CompactDFA: Scalable Pattern Matching Using Longest Prefix Match Solutions,"Bremler-Barr, A.; Hay, D.; Koral, Y.","Dept. of Comput. Sci., Interdiscipl. Center, Herzliya, Israel","Networking, IEEE/ACM Transactions on",20140417,2014,22,2,415,428,"A central component in all contemporary intrusion detection systems (IDSs) is their pattern matching algorithms, which are often based on constructing and traversing a deterministic finite automaton (DFA) that represents the patterns. While this approach ensures deterministic time guarantees, modern IDSs need to deal with hundreds of patterns, thus requiring to store very large DFAs, which usually do not fit in fast memory. This results in a major bottleneck on the throughput of the IDS, as well as its power consumption and cost. We propose a novel method to compress DFAs by observing that the name used by common DFA encoding is meaningless. While regular DFAs store separately each transition between two states, we use this degree of freedom and encode states in such a way that all transitions to a specific state are represented by a single prefix that defines a set of current states. Our technique applies to a large class of automata, which can be categorized by simple properties. Then, the problem of pattern matching is reduced to the well-studied problem of Longest Prefix Match (LPM), which can be solved either in ternary content-addressable memory (TCAM), in commercially available IP-lookup chips, or in software. Specifically, we show that with a TCAM our scheme can reach a throughput of 10 Gb/s with low power consumption.",1063-6692,,,10.1109/TNET.2013.2253119,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6494357,AhoCorasick (AC);IP lookup;deep packet inspection;network intrusion detection system (NIDS);pattern matching;ternary content-addressable memory (TCAM),,IP networks;encoding;energy consumption;pattern matching;security of data,DFA encoding;IDS;IP-lookup chips;LPM;TCAM;contemporary intrusion detection systems;degree of freedom;deterministic finite automaton;longest prefix match solutions;power consumption;scalable pattern matching algorithms;ternary content-addressable memory,,1,,34,,4/4/2013,Apr-14,,IEEE,IEEE Journals & Magazines,
Errors Estimating of Incompletion and Updating Strategy in IDS,Fu-Xiong Sun,"Inst. of Inf., Zhongnan Univ. of Econ. & Law, Wuhan","Machine Learning and Cybernetics, 2006 International Conference on",20090304,2006,,,2948,2953,"Because there existed the problem of incomplete training sets in current intrusion detection systems, it results in false positive errors. In the paper, an ID model-IAIDM (immune-based adaptive intrusion detection model) is firstly put forward. Based on the characteristics of IAIDM, a analytical method of discrete random process is introduced to estimate the ratio of false positive errors. The analytical results show that incomplete training sets mainly affect the peripheral regions of self space instead of the whole of sample space. According to the analytical results, an incremental algorithm (IA) is proposed to update incomplete training sets dynamically. The experiment results demonstrate IA algorithm can update local self space having changed instead of the whole space incrementally and dynamically so that IAIDM can adjust itself to the current network environment quickly",,1-4244-0061-9,,10.1109/ICMLC.2006.259144,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4028567,Intrusion detection system;incompletion;natural immune system,Algorithm design and analysis;Computer networks;Cybernetics;Detectors;Environmental economics;Error analysis;Fault detection;Immune system;Intrusion detection;Machine learning;Phase detection;Proteins;Random processes;Sun,computer networks;error statistics;estimation theory;learning (artificial intelligence);random processes;security of data;telecommunication security,discrete random process;error estimation;immune-based adaptive intrusion detection system;incomplete training set;incremental algorithm,,0,,10,,,13-16 Aug. 2006,,IEEE,IEEE Conference Publications,
Anomaly Detection Using LibSVM Training Tools,Chu-Hsing Lin; Jung-Chun Liu; Chia-Han Ho,"Dept. of Comput. Sci. & Inf. Eng., Tunghai Univ., Taichung","Information Security and Assurance, 2008. ISA 2008. International Conference on",20080507,2008,,,166,171,"Intrusion detection is the means to identify the intrusive behaviors and provides useful information to intruded systems to respond fast and to avoid or reduce damages. In recent years, learning machine technology is often used as a detection method in anomaly detection. In this research, we use support vector machine as a learning method for anomaly detection, and use LibSVM as the support vector machine tool. By using this tool, we get rid of numerous and complex operation and do not have to use external tools for finding parameters as need by using other algorithms such as the genetic algorithm. Experimental results show that high average detection rates and low average false positive rates in anomaly detection are achieved by our proposed approach.",,978-0-7695-3126-7,,10.1109/ISA.2008.12,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4511556,Anomaly Detection;Intrusion Detection System;LibSVM;One-class SVM;Support Vector Machine,Genetic algorithms;Image recognition;Information security;Internet;Intrusion detection;Learning systems;Neural networks;Statistical learning;Support vector machine classification;Support vector machines,genetic algorithms;learning (artificial intelligence);security of data;support vector machines,LibSVM training tools;anomaly detection;genetic algorithm;intrusion detection;learning machine technology;learning method;support vector machine,,3,,22,,,24-26 April 2008,,IEEE,IEEE Conference Publications,
Exploring and Enhancing the Performance of Parallel IDS on Multi-core Processors,"Jiang, Haiyang; Jianhua Yang; Gaogang Xie",,"Trust, Security and Privacy in Computing and Communications (TrustCom), 2011 IEEE 10th International Conference on",20120102,2011,,,673,680,"With the advancement of multi-core processor, it is highly desired to use parallel design to improve the IDS throughput in nowadays. However, existing parallel schemes often fail to achieve linear speedup in IDS. The throughput even deteriorates severely for some network traffics. Hence, exploring and addressing the problems have become one of the most urgent issues in parallel IDS. In this work, an IDS model adopting software pipeline is developed as the test bed of parallel performance evaluation. The contribution of this paper is two-fold. First, we explore the performance of parallel IDS through substantive experiments and quantitative analyses. We find Heavy Rule Fingerprint (HRF) in the pre-filter, which has not been mentioned in previous papers as we know, causes severe performance deterioration mentioned in existing studies. The experiments illustrate that the time consumption on HRF in parallel system is at least 6-7 times longer than that in normal system. Second, we propose a new fingerprint extraction strategy to deal with HRF. Experimental results show that the throughput deterioration is resolved completely and the throughput is enhanced by 45% by integrating our proposed method into the test bed and with making use of DARPA evaluation dataset.",,978-1-4577-2135-9,,10.1109/TrustCom.2011.86,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6120879,Intrusion Detection System;Snort;multi-core;pre-fliter;software pipeline,,,,,0,,20,,,16-18 Nov. 2011,,IEEE,IEEE Conference Publications,
A Perceptron Based Classifier for Detecting Malicious Route Floods in Wireless Mesh Networks,"Santhanam, L.; Mukherjee, A.; Bhatnagar, R.; Agrawal, D.P.","Dept. of ECECS, Cincinnati Univ., Cincinnati, OH","Computing in the Global Information Technology, 2007. ICCGI 2007. International Multi-Conference on",20070326,2007,,,35,35,"Wireless mesh networks (WMN) are evolving as a new paradigm for broadband Internet, in which a group of static mesh routers employ multihop forwarding to provide wireless Internet connectivity. All routing protocols in WMNs naively assume nodes to be non- malicious. But, the plug-in-and-play architecture of WMNs paves way for malicious users who could exploit some loopholes of the underlying routing protocol. A malicious node can inundate the network by conducting frequent route discovery which severely reduces the network throughput. In this paper, we investigate the detection of route floods by incorporating a machine learning technique. We use a perceptron training model as a tool for intrusion detection. We train the perceptron model by feeding various network statistics and then use it as a classifier. We illustrate using an experimental wireless network (ns-2) that the proposed scheme can accurately detect route misbehaviors with a very low false positive rate.",,0-7695-2798-1,,10.1109/ICCGI.2007.6,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4137090,AODV;Anomaly Detection;Intrusion Detection System;Normalization;Perceptron;and Wireless Mesh Networks.,Floods;IP networks;Intrusion detection;Machine learning;Routing protocols;Spread spectrum communication;Statistics;Throughput;Wireless mesh networks;Wireless networks,Internet;learning (artificial intelligence);routing protocols;security of data,intrusion detection;machine learning technique;malicious route floods;multihop forwarding;perceptron based classifier;routing protocols;wireless Internet connectivity;wireless mesh networks,,1,,16,,,4-9 March 2007,,IEEE,IEEE Conference Publications,
Efficient anomaly detection and mitigation in software defined networking environment,"Sathya, R.; Thangarajan, R.","Dept. of CSE, Kongu Eng. Coll., Erode, India","Electronics and Communication Systems (ICECS), 2015 2nd International Conference on",20150618,2015,,,479,484,"A Computer network or data communication network is a telecommunication network that allows computers to exchange data. Computer networks are typically built from a large number of network devices such as routers, switches and numerous types of middle boxes with many complex protocols implemented on them. They need to accomplish very complex tasks with access to very limited tools. As a result, network management and performance tuning is quite challenging. Software-Defined Networking (SDN) is an emerging architecture purporting to be adaptable, cost-effective, dynamic and manageable pursuing to be suitable for the high-bandwidth, changing nature of today's applications. SDN architectures decouples network control and forwarding functions, making network control to become directly programmable and the underlying infrastructure to be abstracted from applications and network services. The network security is a prominent feature of the network ensuring accountability, confidentiality, integrity, and protection against many external and internal threats. An Intrusion Detection System (IDS) is a type of security software designed to automatically alert administrators when someone or something is trying to compromise information system through malicious activities or through security policy violations. Security violation in SDN environment needs to be identified to prevent the system from an attack. The proposed work aims to detect the attacks on SDN environment. Detecting anomalies on SDN environment will be more manageable and efficient.",,978-1-4799-7224-1,,10.1109/ECS.2015.7124952,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7124952,Entropy based detection;Feature Selection;Flow Table;Intrusion Detection System;Software Defined Networking,Classification algorithms;Computer architecture;Computer networks;Control systems;Entropy;Feature extraction;Protocols,computer network management;computer network security;software defined networking,IDS;SDN architectures;anomaly detection;anomaly mitigation;complex protocols;computer networks;data communication network;external threats;forwarding functions;internal threats;intrusion detection system;malicious activities;network accountability;network confidentiality;network control;network control functions;network devices;network integrity;network management;network performance tuning;network protection;network security;network services;security policy violations;security software;software defined networking environment;telecommunication network,,0,,15,,,26-27 Feb. 2015,,IEEE,IEEE Conference Publications,
"Emerging threats, risks and mitigation strategies in network forensics","Nehinbe, J.O.","Univ. of Essex, Colchester, UK","Electrical and Computer Engineering (CCECE), 2011 24th Canadian Conference on",20110929,2011,,,1228,1232,"Sophisticated intrusions are evolving everyday. Hence, requirements are changing towards computer systems that provide more robust solutions. However, new issues, bugs, threats and vulnerabilities are unavoidably introduced into the market each time a new product is designed to meet users' specifications. For these reasons, Vendors, research community, network forensics professionals and other users of Network Intrusion Detection Systems write tons of detection rules to maximally detect attacks. Despite these, numerous attacks still evade intrusion detectors because of insufficient evidence to expose the emerging threats and risks in the usage of intrusion detection technology. Thus, this paper presents a critical review of these problems. The review provides useful guidelines that can be used to enhance efficacy of intrusion detection system and to achieve high returns on investment.",0840-7789,978-1-4244-9788-1,978-1-4244-9787-4,10.1109/CCECE.2011.6030658,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6030658,Network intrusion detection System;Redundant attacks;failed attacks;information system auditor;network forensics;pattern matching,Computer networks;Computers;Conferences;Detectors;Forensics;Intrusion detection;Redundancy,computer forensics;computer network security,mitigation strategies;network forensics;network intrusion detection systems;risk strategies;threat strategies,,0,,18,,,8-11 May 2011,,IEEE,IEEE Conference Publications,
Constraint Repetition Inspection for Regular Expression on FPGA,"Faezipour, M.; Nourani, M.","Center for Integrated Circuits & Syst., Univ. of Texas at Dallas, Richardson, TX","High Performance Interconnects, 2008. HOTI '08. 16th IEEE Symposium on",20080903,2008,,,111,118,"Recent network intrusion detection systems (NIDS) use regular expressions to represent suspicious or malicious character sequences in packet payloads in a more efficient way. This paper introduces a new basic building block based on non-deterministic finite automata (NFA) hardware implementation to support complex constraint repetitions in regular expressions. This block is a customized counter capable of handling any type of constraint repetition, applicable to any sub-regular expression. We also introduce optimization techniques to reduce the area and improve the overall performance. We have implemented SNORT IDS regular expressions in hardware by taking advantage of the basic NFA building blocks, our proposed counting block and our proposed optimization techniques. We report experimental results for our architecture that verify area saving and performance improvement.",1550-4794,978-0-7695-3380-3,,10.1109/HOTI.2008.14,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4618583,Constraint Repetition Inspection;Network Intrusion Detection System;Non-deterministic Finite Automata;Regular Expression,Automata;Computer languages;Counting circuits;Doped fiber amplifiers;Field programmable gate arrays;Hardware;Inspection;Integrated circuit interconnections;Intrusion detection;Payloads,field programmable gate arrays;finite automata;security of data,FPGA;constraint repetition inspection;field programmable gate arrays;network intrusion detection system;nondeterministic finite automata;regular expression,,3,,23,,,26-28 Aug. 2008,,IEEE,IEEE Conference Publications,
