http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.seconds.QT.%29+AND+.QT.Intrusion+detection+system.QT.%29,11/22/2015 19:09,"((""seconds"") AND ""Intrusion detection system"")",IEEE
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Towards Energy-Efficient Intrusion Detection in Pervasive Computing,"Bo Zhou; Qi Shi; Merabti, M.","Liverpool John Moores Univ., Liverpool","Communications, 2007. ICC '07. IEEE International Conference on",20070813,2007,,,1417,1422,"In our previous work we proposed a service- oriented and user-centric intrusion detection system (SUIDS) for pervasive/ubiquitous computing. The inherent features of pervasive computing request an IDS to give special concerns about resource-efficiency. In this paper, we discuss the existing resource-efficient solutions used in intrusion detection systems and refine the SUIDS with new techniques. Specifically, the paper shows how a user profile is managed in a distributed pattern to reduce the communication cost; and how a hybrid metric is used to extend the network lifetime. As a result, SUIDS achieves better performance in terms of energy efficiency while keeping high detection effectiveness.",,1-4244-0353-7,,10.1109/ICC.2007.238,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4288909,,Communications Society;Communications technology;Computer network management;Costs;Energy efficiency;Home appliances;Intrusion detection;Pervasive computing;Protection;Ubiquitous computing,security of data;ubiquitous computing,energy-efficient intrusion detection;intrusion detection systems;pervasive computing;ubiquitous computing,,0,,21,,,24-28 June 2007,,IEEE,IEEE Conference Publications,
SecureDirect: proactive security through content based traffic control,"Stevens, J.; Saniepour, S.",,"Advanced Information Networking and Applications, 2003. AINA 2003. 17th International Conference on",20030408,2003,,,704,709,"The exponential growth of Internet traffic has made public servers increasingly vulnerable to unauthorized accesses and intrusions. So far the focus of most studies of this problem has been on either blocking unused ports (fire-walling) or detecting attacks with an intrusion detection system (IDS). In this paper we introduce the design and implementation of SecureDirect, which is an attempt at addressing the problem of intrusion prevention by combining an IDS with a stateful load balancer SecureDirect is a real time load balancer that distinguishes between traffic coming from good clients and traffic originating from attackers. Based on this, traffic from an identified attacker is redirected to an alternative server where damage can be mitigated. The advantage of this system is that it blocks intrusions in a manner transparent to the attacker and allows for observation and investigation of attacks in order to enable the administrator to take appropriate action. We also suggest possible uses for this type of system, and then present the results of a series of stress tests against our implementation of the idea.",,0-7695-1906-7,,10.1109/AINA.2003.1192971,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1192971,,Delay;Humans;Intrusion detection;Monitoring;Protection;Stress;System testing;Traffic control;Web and internet services;Web server,Internet;authorisation;client-server systems;resource allocation;telecommunication security;telecommunication traffic,Internet traffic;SecureDirect;attackers;clients;content based traffic control;intrusion prevention;proactive security;public servers;real time load balancer;stateful load balancer;unauthorized accesses,,0,,11,,,27-29 March 2003,,IEEE,IEEE Conference Publications,
Securing IP-Multimedia Subsystem (IMS) against Anomalous Message Exploits by Using Machine Learning Algorithms,"Rafique, M.Z.; Khan, Z.S.; Khan, M.K.; Alghatbar, K.","Center of Excellence in Inf. Assurance (CoEIA), King Saud Univ., Riyadh, Saudi Arabia","Information Technology: New Generations (ITNG), 2011 Eighth International Conference on",20110711,2011,,,559,563,"Modern communication infrastructure (IP Multimedia Subsystem (IMS) and Voice over IP (VoIP)) are vulnerable to zero day attacks and unknown threats. Anomalous SIP requests can be used to remotely launch malicious activity. Furthermore, anomalous messages are capable of crashing - sometimes with one message only - servers and end points. Recently, it is shown that a malicious SIP message INVITE of Death crash a server or gain unfettered access to it. In contrast, little research is done to protect IMS against such anomalous messages. In this paper, we propose an anomalous message detection framework that extracts novel syntactical features from SIP messages at the P-CSCF of an IMS. Our framework operates in four steps: (1) analyzes the byte-level distribution of SIP message, (2) extracts spatial features from IMS messages in form of byte transition probabilities, (3) uses well-known feature selection scheme to remove redundancy in the features set, and (4) uses standard machine learning algorithms to raise the final alarm. The benefit of our framework is that it is lightweight requiring less processing and memory resources and provides high detection accuracy. We have evaluated our system on a real-world IMS dataset consisting of more than 10, 000 benign and malicious SIP messages. The results of our experiments demonstrate that using machine learning algorithms, our framework achieves detection accuracy of more than 99%. Last but not least, its testing time is 152 seconds per packet, as a result, it can be easily deployed on IMS core.",,978-1-61284-427-5,978-0-7695-4367-3,10.1109/ITNG.2011.102,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5945297,IMS Security;INVITE of Death;Machine Learning;SIP Security;VoIP Security,Accuracy;Feature extraction;Machine learning algorithms;Protocols;Security;Servers;Testing,Internet telephony;learning (artificial intelligence);multimedia communication;security of data;signalling protocols,IP-multimedia subsystem;P-CSCF;SIP;Voice over IP;anomalous message;byte-level distribution;feature extraction;machine learning;malicious activity;proxy call state control function,,0,,29,,,11-13 April 2011,,IEEE,IEEE Conference Publications,
Ensembling Rule Based Classifiers for Detecting Network Intrusions,"Panda, M.; Patra, M.R.","Dept. of ECE, Gandhi Inst. of Eng. & Technol., Gunupur, India","Advances in Recent Technologies in Communication and Computing, 2009. ARTCom '09. International Conference on",20091117,2009,,,19,22,"An intrusion is defined as a violation of the security policy of the system, and hence, intrusion detection mainly refers to the mechanisms that are developed to detect violations of system security policy. Recently, data mining techniques have gained importance in providing the valuable information which in turn can help to enhance the decision on identifying the intrusions (attacks). In this paper; we evaluate the performance of various rule based classifiers like: JRip, RIDOR, NNge and decision table using ensemble approach in order to build an efficient network intrusion detection system. We use KDDCup'99, intrusion detection benchmark dataset (which is a part of DARPA evaluation program) for our experimentation. It can be observed from the results that the proposed approach is accurate in detecting network intrusions, provides low false positive rate, simple, reliable and faster in building an efficient network intrusion system.",,978-1-4244-5104-3,978-0-7695-3845-7,10.1109/ARTCom.2009.121,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5328099,Accuracy;Ensemble approach;Intrusion Detection;Rule Based Classifiers,Classification tree analysis;Communication system security;Communications technology;Computer networks;Data mining;Data security;Decision trees;Information security;Intrusion detection;Telecommunication traffic,data mining;security of data,JRip;NNge;RIDOR;data mining;decision table;network intrusion detection;rule-based classifiers;security policy,,6,,21,,,27-28 Oct. 2009,,IEEE,IEEE Conference Publications,
The LoSS Technique for Detecting New Denial of Service Attacks,"Allen, W.H.; Marin, G.A.",Florida Institute of Technology,"SoutheastCon, 2004. Proceedings. IEEE",20040824,2004,,,302,309,"We present a new technique for detecting the possible presence of certain Denial-of-Service attacks in network traffic. The effectiveness of the technique is demonstrated in experiments against 23 attacks in three different traffic backgrounds. Even though some attacks persist for only 2-4 seconds, results show detection rates up to 84%. Results also show that (for these data) the technique can be tuned to eliminate false alarms. These results are especially favorable given the technique's objective of detecting new (previously unseen) attacks without a template of the background traffic.",,0-7803-8368-0,,10.1109/SECON.2004.1287935,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1287935,,Computer crashes;Computer crime;Degradation;Electronic mail;Information resources;Internet;Marine technology;Security;Telecommunication traffic;Web server,,,,6,,18,,,26-29 March 2004,,IEEE,IEEE Conference Publications,
Intrusion detection in virtual machine environments,"Laureano, M.; Maziero, C.; Jamhour, E.","Graduate Program in Appl. Comput. Sci., Pontifical Catholic Univ. of Parana, Curitiba, Brazil","Euromicro Conference, 2004. Proceedings. 30th",20040920,2004,,,520,525,"A virtual machine is a software replica of an underlying real machine. Multiple virtual machines can operate on the same host machine concurrently, without interfere each other. Such concept is becoming valuable in production computing systems, due to its benefits in terms of costs and portability. As they provide a strong isolation between the virtual environment and the underlying real system, virtual machines can also be used to improve the security of a computer system in face of attacks to its network services. This work presents a new approach to achieve this goal, by applying intrusion detection techniques to virtual machine based systems, thus keeping the intrusion detection system out of reach from intruders. The results obtained from a prototype implementation confirm the usefulness of this approach.",1089-6503,0-7695-2199-1,,10.1109/EURMIC.2004.1333416,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1333416,,Costs;Data security;Hardware;Information security;Intrusion detection;Linux;Operating systems;Virtual machine monitors;Virtual machining;Virtual manufacturing,concurrency control;operating systems (computers);security of data;virtual machines,computer system security;intrusion detection;network services;operating systems;virtual machine environment,,11,4,19,,,31 Aug.-3 Sept. 2004,,IEEE,IEEE Conference Publications,
Detecting critical nodes for MANET intrusion detection systems,"Karygiannis, A.; Antonakakis, E.; Apostolopoulos, A.","National Inst. of Stand. & Technol., Gaithersburg, MD","Security, Privacy and Trust in Pervasive and Ubiquitous Computing, 2006. SecPerU 2006. Second International Workshop on",20060710,2006,,,9 pp.,15,"Ad hoc routing protocols have been designed to efficiently reroute traffic when confronted with network congestion, faulty nodes, and dynamically changing topologies. The common design goal of reactive, proactive, and hybrid ad hoc routing protocols is to faithfully route packets from a source node to a destination node while maintaining a satisfactory level of service in a resource-constrained environment. Detecting malicious nodes in an open ad hoc network in which participating nodes have no previous security associations presents a number of challenges not faced by traditional wired networks. Traffic monitoring in wired networks is usually performed at switches, routers and gateways, but an ad hoc network does not have these types of network elements where the intrusion detection system (IDS) can collect and analyze audit data for the entire network. A number of neighbor-monitoring, trust-building, and cluster-based voting schemes have been proposed in the research to enable the detection and reporting of malicious activity in ad hoc networks. The resources consumed by ad hoc network member nodes to monitor, detect, report, and diagnose malicious activity, however, may be greater than simply rerouting packets through a different available path. This paper presents a method for determining conditions under which critical nodes should be monitored, describes the details of a critical node test implementation, presents experimental results, and offers a new approach for conserving the limited resources of an ad hoc network IDS",,0-7695-2549-0,,10.1109/SECPERU.2006.8,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1644271,IDS;MANET;edge-cut;intrusion detection;mobile ad hoc network;security;vertex-cut.,Ad hoc networks;Data security;Face detection;Intrusion detection;Mobile ad hoc networks;Monitoring;Network topology;Routing protocols;Switches;Telecommunication traffic,ad hoc networks;mobile communication;routing protocols;security of data;telecommunication security,MANET intrusion detection systems;ad hoc routing protocols;critical node detection;mobile ad hoc network,,3,,16,,,29-29 June 2006,,IEEE,IEEE Conference Publications,
An automatic portscan detection system with adaptive threshold setting,"Kim, Sang Kon; Lee, Seung Ho; Seo, Seung Woo","School of Electrical Engineering and Computer Science &#x0026; Institute of New Media and Communications, Seoul National University, Korea","Communications and Networks, Journal of",20121220,2010,12,1,74,85,"For the purpose of compromising hosts, attackers including infected hosts initially perform a portscan using IP addresses in order to find vulnerable hosts. Considerable research related to portscan detection has been done and many algorithms have been proposed and implemented in the network intrusion detection system (NIDS). In order to distinguish portscanners from remote hosts, most portscan detection algorithms use a fixed threshold that is manually managed by the network manager. Because the threshold is a constant, even though the network environment or the characteristics of traffic can change, many false positives and false negatives are generated by NIDS. This reduces the efficiency of NIDS and imposes a high processing burden on a network management system (NMS). In this paper, in order to address this problem, we propose an automatic portscan detection system using an fast increase slow decrease (FISD) scheme, that will automatically and adaptively set the threshold based on statistical data for traffic during prior time periods. In particular, we focus on reducing false positives rather than false negatives, while the threshold is adaptively set within a range between minimum and maximum values. We also propose a new portscan detection algorithm, rate of increase in the number of failed connection request (RINF), which is much more suitable for our system and shows better performance than other existing algorithms. In terms of the implementation, we compare our scheme with other two simple threshold estimation methods for an adaptive threshold setting scheme. Also, we compare our detection algorithm with other three existing approaches for portscan detection using a real traffic trace. In summary, we show that FISD results in less false positives than other schemes and RINF can fast and accurately detect portscanners. We also show that the proposed system, including our scheme and algorithm, provides good performance in terms of the rate of false positi- es.",1229-2370,,,10.1109/JCN.2010.6388436,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6388436,Adaptive threshold setting;automatic portscan detection;false negative;false positive,Adaptive systems;Detection algorithms;Detectors;Feature extraction;Heating;IP networks;Real-time systems,,,,1,,19,,,Feb. 2010,,IEEE,IEEE Journals & Magazines,
Intrusion detection systems for community wireless mesh networks,"Makaroff, D.; Smith, P.; Race, N.J.P.; Hutchison, David","Dept. of Comput. Sci., Univ. of Saskatchewan, Saskatoon, SK","Mobile Ad Hoc and Sensor Systems, 2008. MASS 2008. 5th IEEE International Conference on",20081028,2008,,,610,616,"Wireless mesh networks are being increasingly used to provide affordable network connectivity to communities where wired deployment strategies are either not possible or are prohibitively expensive. Unfortunately, computer networks (including mesh networks) are frequently being exploited by increasingly profit-driven and insidious attackers, which can affect their utility for legitimate use. In response to this, a number of countermeasures have been developed, including intrusion detection systems that aim to detect anomalous behaviour caused by attacks. We present a set of socio-technical challenges associated with developing an intrusion detection system for a community wireless mesh network. The attack space on a mesh network is particularly large; we motivate the need for and describe the challenges of adopting an asset-driven approach to managing this space. Finally, we present an initial design of a modular architecture for intrusion detection, highlighting how it addresses the identified challenges.",,978-1-4244-2574-7,978-1-4244-2575-4,10.1109/MAHSS.2008.4660099,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4660099,,Asset management;Bandwidth;Computer networks;Computer science;Hardware;Intrusion detection;Mesh networks;Monitoring;Protection;Wireless mesh networks,computer networks;radio networks;security of data,attack space management;computer networks;intrusion detection systems;network connectivity;wireless mesh networks,,0,,29,,,Sept. 29 2008-Oct. 2 2008,,IEEE,IEEE Conference Publications,
Computer Intrusion Detection Using an Iterative Fuzzy Rule Learning Approach,"Abadeh, M.S.; Habibi, J.","Sharif Univ. of Technol., Tehran","Fuzzy Systems Conference, 2007. FUZZ-IEEE 2007. IEEE International",20070827,2007,,,1,6,"The process of monitoring the events occurring in a computer system or network and analyzing them for sign of intrusions is known as intrusion detection system (IDS). The objective of this paper is to extract fuzzy classification rules for intrusion detection in computer networks. The proposed method is based on the iterative rule learning approach (IRL) to fuzzy rule base system design. The fuzzy rule base is generated in an incremental fashion, in that the evolutionary algorithm optimizes one fuzzy classifier rule at a time. The performance of final fuzzy classification system has been investigated using intrusion detection problem as a high-dimensional classification problem. Results show that the presented algorithm produces fuzzy rules, which can be used to construct a reliable intrusion detection system.",1098-7584,1-4244-1209-9,1-4244-1210-2,10.1109/FUZZY.2007.4295375,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4295375,,Availability;Computer networks;Computerized monitoring;Data security;Evolutionary computation;Fuzzy sets;Fuzzy systems;Intrusion detection;Iterative methods;Knowledge based systems,computer networks;evolutionary computation;fuzzy logic;iterative methods;knowledge based systems;pattern classification;security of data,computer intrusion detection;computer networks;event monitoring;evolutionary algorithm;fuzzy classification rules extraction;fuzzy rule base system design;iterative fuzzy rule learning approach,,2,,25,,,23-26 July 2007,,IEEE,IEEE Conference Publications,
Harnessing the Power of P2P Systems for Fast Attack Signature Validation,"Antonatos, S.; Vu Quang Hieu","Inst. of Comput. Sci., Found. for Res. & Technol. Hellas, Heraklion, Greece","Network and System Security, 2009. NSS '09. Third International Conference on",20091110,2009,,,107,114,"Attack signature validation plays a key role in intrusion detection and prevention technologies. Usually, when new attacks, particularly worms, appear, security software analyzes and generates signatures for these attacks. Since inaccurate signatures may block legitimate traffic that is similar to the attack traffic (false positives), security software is reluctant to deploy new signatures without extensive testing. The testing procedure, however, can be time consuming, resulting in significant delays (hours or even days) in signature dissemination. To alleviate this problem, in this paper, we propose a novel architecture based on P2P technology for fast content signature validation. The basic idea is to collect and store recent network traffic at peers participating in the system in advance and use it to validate new signatures. Since the amount of traffic that needs to be checked against is huge, we also propose a high-performance validation algorithm over stored traffic data. Experimental results show that our proposed system can validate candidate attack signatures and determine potential false positives rates in just a few seconds.",,978-1-4244-5087-9,978-0-7695-3838-9,10.1109/NSS.2009.64,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5318955,P2P defenses;indexing;signature validation,Computer science;Computer security;Computer worms;Cryptography;Databases;Filters;Intrusion detection;Power system security;Telecommunication traffic;Testing,digital signatures;invasive software;peer-to-peer computing,P2P system;attack signature validation;intrusion detection;legitimate traffic;network traffic;security software;signature dissemination;software worm,,0,,14,,,19-21 Oct. 2009,,IEEE,IEEE Conference Publications,
Toward a Query Language for Network Attack Data,"Bee-Chung Chen; Yegneswaran, V.; Barford, P.; Ramakrishnan, R.",University of Wisconsin - Madison,"Data Engineering Workshops, 2006. Proceedings. 22nd International Conference on",20060424,2006,,,28,28,"The growing sophistication and diversity of malicious activity in the Internet presents a serious challenge for network security analysts. In this paper, we describe our efforts to develop a database and query language for network attack data from firewalls, intrusion detection systems and honeynets. Our first step toward this objective is to develop a prototype database and query interface to identify coordinated scanning activity in network attack data. We have created a set of aggregate views and templatized SQL queries that consider timing, persistence, targeted services, spatial dispersion and temporal dispersion, thereby enabling us to evaluate coordinated scanning along these dimensions. We demonstrate the utility of the interface by conducting a case study on a set of firewall and intrusion detection system logs from Dshield.org. We show that the interface is able to identify general characteristics of coordinated activity as well as instances of unusual activity that would otherwise be difficult to mine from the data. These results highlight the potential for developing a more generalized query language for a broad class of network intrusion data. The case study also exposes some of the challenges we face in extending our system to more generalized queries over potentially vast quantities of data.",,0-7695-2571-7,,10.1109/ICDEW.2006.149,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1623823,,Computer crime;Computer networks;Computer security;Data engineering;Data mining;Data security;Database languages;IP networks;Internet;Intrusion detection,,,,2,,17,,,2006,,IEEE,IEEE Conference Publications,
An auto-mated network management using artificial intelligent techniques,Hayoung Oh; Chong-Kwon Kim,"Dept. of Comput. Sci. & Eng., Seoul Nat. Univ., Seoul, South Korea","Fuzzy Systems, 2009. FUZZ-IEEE 2009. IEEE International Conference on",20091002,2009,,,2083,2087,"An auto-mated network management has been not only critical but also difficult in the network research area. Among the artificial intelligent techniques, traditional supervised learning techniques are not appropriate for an auto-mated network management and specially to detect temporal changes in network intrusion patterns and characteristics. The reason is that supervised learning needs the manager. Therefore, unsupervised learning techniques such as SOM (self-organizing map) are more appropriate for an auto-mated network management such as configuration, performance and anomaly detection. In this paper, we propose an auto-mated network management based on hierarchical SOM that groups similar data and visualize their clusters. Our system labels the map produced by SOM using correlations between features for an auto-mated network management. We experiments our system with KDD Cup 1999 data set. Our system yields the reasonable misclassification rates and takes 0.5 seconds to decide whether a behavior is normal or attack.",1098-7584,978-1-4244-3596-8,978-1-4244-3597-5,10.1109/FUZZY.2009.5277241,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5277241,Auto-mated Network Management;Correlations;Hierarchical Self Organizaing Map;Supervised Learing;Unsupervised Learning,Artificial intelligence;Clustering algorithms;Computer network management;Data mining;Engineering management;Intelligent networks;Intrusion detection;Labeling;Neurons;Unsupervised learning,artificial intelligence;computer network management;self-organising feature maps;unsupervised learning,artificial intelligent technique;automated network management;hierarchical SOM;self-organizing map;unsupervised learning,,0,,16,,,20-24 Aug. 2009,,IEEE,IEEE Conference Publications,
The Application of Machine Learning Methods to Intrusion Detection,Xin Zhang; Li Jia; Hongyan Shi; Zhongbin Tang; Xiaoling Wang,"Dept. of Fundamental Courses, Xuzhou Air Force Coll., Xuzhou, China","Engineering and Technology (S-CET), 2012 Spring Congress on",20121110,2012,,,1,4,"Network and system security is of paramount importance in the present data communication environment. Hackers and intruders can create many successful attempts to cause the crash of the networks and web services by unauthorized intrusion. New threats and associated solutions to prevent these threats are emerging together with the secured system evolution. Intrusion Detection Systems (IDS) are one of these solutions. The main function of Intrusion Detection System is to protect the resources from threats. It analyzes and predicts the behaviours of users, and then these behaviours will be considered an attack or a normal behaviour. We use Rough Set Theory (RST) and Support Vector Machine (SVM) to detect network intrusions. First, packets are captured from the network, RST is used to pre-process the data and reduce the dimensions. The features selected by RST will be sent to SVM model to learn and test respectively. The method is effective to decrease the space density of data. The experiments compare the results with Principal Component Analysis (PCA) and show RST and SVM schema could reduce the false positive rate and increase the accuracy.",,978-1-4577-1965-3,,10.1109/SCET.2012.6341943,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6341943,,Feature extraction;Intrusion detection;Libraries;Principal component analysis;Rough sets;Support vector machines,Web services;authorisation;computer crime;data communication;learning (artificial intelligence);principal component analysis;rough set theory;support vector machines,IDS;PCA;RST;SVM schema;Web services;attack behavior;data communication environment;false positive rate;hackers;intruders;intrusion detection systems;machine learning methods;network intrusion detection;network security;normal behaviour;principal component analysis;rough set theory;secured system evolution;space density;support vector machine;system security;unauthorized intrusion,,0,,11,,,27-30 May 2012,,IEEE,IEEE Conference Publications,
An Extensible Environment for Evaluating Secure MANET,"Zhang, Y.; Yi-an Huang; Wenke Lee","HRL Laboratories, LLC","Security and Privacy for Emerging Areas in Communications Networks, 2005. SecureComm 2005. First International Conference on",20060320,2005,,,339,352,"Developing and evaluating secure MANET (mobile adhoc networks) in real systems is a complex process that involves careful design of attack test cases and security countermeasures, as well as meaningful performance measurements to evaluate both the impact of attacks and the performance of security solutions. It is desirable to have a development and testing environment that can automate this process. In this paper, we propose a software framework for such an environment and describe a system implementation in the secure MANET routing domain. This environment includes the following three major features. First, the environment is built upon a wireless network emulation tool to support repeatable experimentation. Second, it adds an attack emulation layer with necessary API for easy development and execution of attack test cases. Third, the extensible attack library includes a full set of basic attacks at its core and a way to compose complex attacks from the atomic elements. To demonstrate the usefulness of this tool, we show the development of an Intrusion Detection System (IDS) as a case study. Our successful experience confirms that the platform can greatly facilitate the development of security solutions on MANET.",,0-7695-2369-2,,10.1109/SECURECOMM.2005.12,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1607590,,Atomic layer deposition;Automatic testing;Emulation;Intrusion detection;Libraries;Measurement;Mobile ad hoc networks;Routing;System testing;Wireless networks,,,,2,,16,,,05-09 Sept. 2005,,IEEE,IEEE Conference Publications,
Intrusion Detection using Artificial Neural Network,"Poojitha, G.; Kumar, K.N.; Reddy, P.J.","I.T. 2/4B. Tech, Sri Venkateswra Inst. of Sci. & Technol., Kadapa, India","Computing Communication and Networking Technologies (ICCCNT), 2010 International Conference on",20100930,2010,,,1,7,"Intrusion Detection is the task of detecting, preventing and possibly reacting to the attack and intrusions in a network based computer systems. In the literature several machine-learning paradigms have been proposed for developing an Intrusion Detection System. This paper proposes an Artificial Neural Network approach for Intrusion Detection. A Feed Forward Neural Network trained by Back Propagation algorithm is developed to classify the intrusions using a profile data set (ten percent of the KDD Cup 99 Data) with the information related to the computer network during Normal behavior and during Intrusive (Abnormal) behavior. Test result shows that the proposed approach works well in detecting different attacks accurately with less false positive and negative rate and it is comparable to those reported in the literature.",,978-1-4244-6591-0,,10.1109/ICCCNT.2010.5592568,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5592568,Back Propagation Algorithm;Feed Forward Neural Network;Intrusion Detection;KDD Cup'99 data,Artificial neural networks;Classification algorithms;Intrusion detection;Neurons;Probes;Testing;Training,backpropagation;computer network security;feedforward neural nets;learning (artificial intelligence),artificial neural network;backpropagation algorithm;feed forward neural network;intrusion detection;machine learning;network based computer systems;profile data set,,0,,16,,,29-31 July 2010,,IEEE,IEEE Conference Publications,
On dataset biases in a learning system with minimum a priori information for intrusion detection,"Kayacik, H.G.; Zincir-Heywood, A.N.; Heywood, M.I.","Fac. of Comput. Sci., Dalhousie Univ., Halifax, NS, Canada","Communication Networks and Services Research, 2004. Proceedings. Second Annual Conference on",20041025,2004,,,181,189,"A critical design decision in the construction of intrusion detection systems is often the selection of features describing the characteristics of the data being learnt. Selecting features often requires a priori or expert knowledge and may lead to the introduction of specific attack biases ntended or otherwise. To this end, summarized network connections from the DARPA 98 Lincoln Labs dataset are employed for training and testing a data driven learning architecture. The learning architecture is composed from a hierarchy of self-organizing feature maps. Such a scheme is entirely unsupervised, thus the quality of the intrusion detection system is directly influenced by the quality of the dataset. Dataset biases are investigated through three different dataset partitions: 10% KDD (default training dataset); normal connections alone; 50/50 mix of attack and normal. The three resulting intrusion detection systems appear to be competitive with the alternative cluster based data-mining approaches.",,0-7695-2096-0,,10.1109/DNSR.2004.1344727,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1344727,,Communication networks;Fingerprint recognition;Intelligent networks;Intrusion detection;Learning systems;Machine learning;Neurons;Payloads;Self organizing feature maps;System testing,data mining;knowledge based systems;security of data;self-organising feature maps;telecommunication security;unsupervised learning,cluster based data-mining;data driven learning architecture;dataset biases;expert knowledge;intrusion detection;learning system;minimum a priori information;self-organizing feature maps;summarized network connections;training dataset,,1,2,13,,,19-21 May 2004,,IEEE,IEEE Conference Publications,
Towards reducing human effort in network intrusion detection,"Catania, C.; Garcia Garino, C.","ITIC, Univ. Nac. de Cuyo, Mendoza, Argentina","Intelligent Data Acquisition and Advanced Computing Systems (IDAACS), 2013 IEEE 7th International Conference on",20131114,2013,2,,655,660,"Machine learning have been one of the most considered techniques for achieving automatic intrusion detection. Despite many of these machine learning approaches have achieved the goal of getting high accuracy levels in a more automatic way, the fact is that only a few of them have actually been deployed on real life scenarios. This could be explained if we take into consideration that some of the assumptions in which these techniques rely on, do not easily hold. Moreover, ensuring such assumptions demands a lot of work from security experts which is precisely what they wanted to avoid. It seems that most of current intrusion detection approaches have focused on obtaining high detection accuracy leaving aside the goal of reducing human interaction during intrusion detection process. In this work we propose a prototype for a Network Intrusion Detection System (NIDS) based on machine learning techniques. In opposition to other approaches, we focused on reducing the human effort in the generation of network traffic model and further adjustments, while keeping accuracy within acceptable levels. Prototype relays on a hybrid detection and evolutionary summarizing schemes The viability of the two schemes has been confirmed trough experiments considering different attack distributions and types.",,978-1-4799-1426-5,,10.1109/IDAACS.2013.6663006,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6663006,Genetic Algorithms;Intrusion Detection;Machine Learning,Genetic algorithms;IP networks;Intrusion detection;Measurement;Sociology;Statistics,computer network security;evolutionary computation;learning (artificial intelligence);telecommunication traffic,attack distributions;attack types;evolutionary summarizing scheme;human effort reduction;hybrid detection scheme;machine learning techniques;network intrusion detection;network traffic model generation;prototype relays,,0,,13,,,12-14 Sept. 2013,,IEEE,IEEE Conference Publications,
