http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&refinements%3D4291944822%2C4291944246%26ranges%3D1998_2016_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28.QT.minutes.QT.%29+AND+.QT.Intrusion+detection+system.QT.%29,11/22/2015 19:09,"((""minutes"") AND ""Intrusion detection system"")",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBN,EISBN,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,
The detection of DDOS flooding attack using hybrid analysis in IPv6 networks,"Satrya, G.B.; Chandra, R.L.; Yulianto, F.A.","Appl. Sci. Sch., Telkom Univ., Bandung, Indonesia","Information and Communication Technology (ICoICT ), 2015 3rd International Conference on",20150903,2015,,,240,244,"DDOS attack is very popular used by attacker to disrupt a computer network. The evolution of attack and the increase of vulnerable hosts on the Internet, have made its improvement more varied and difficult to be detected in real time. Today's popular IP protocol development is IPv6. IPv6 provides a new technology including vulnerabilities and allows the attacker to attack the system. This issue may be the obstacle to make a DDOS attack detection algorithm more efficient and accurate. Due to that fact, this paper will discuss the development of prototype to detect DDOS attack using source addresses analytical methods and analysis of network flow. This prototype can detect DDOS attacks on IPv6 with 85% accuracy for the most severe test scenarios. For the detection time, the prototype can recognize DDOS within 2 minutes 56 seconds.",,,,10.1109/ICoICT.2015.7231429,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7231429,DDOS detection;IPv6;hybrid;network flow;source address analysis,Computer crime;Floods;IP networks;Internet;Protocols;Prototypes,IP networks;computer network security,DDOS flooding attack detection;Distributed Denial of Service flooding attack detection;IPv6 network;Internet;computer network;network flow analysis;source addresses analytical method,,0,,12,,,27-29 May 2015,,IEEE,IEEE Conference Publications,,,
The design and evaluation of a defense system for Internet worms,"Scandariato, R.; Knight, J.C.","Politecnico di Torino, Italy","Reliable Distributed Systems, 2004. Proceedings of the 23rd IEEE International Symposium on",20041108,2004,,,164,173,"Many areas of society have become heavily dependent on services such as transportation facilities, utilities and so on that are implemented in part by large numbers of computers and communications links. Both past incidents and research studies show that a well-engineered Internet worm can disable such systems in a fairly simple way and, most notably, in a matter of a few minutes. This indicates the need for defenses against worms but their speed rules out the possibility of manually countering worm outbreaks. We present a platform that emulates the epidemic behavior of Internet active worms in very large networks. A reactive control system operates on top of the platform and provides a monitor/analyze/respond approach to deal with infections automatically. Details of our highly configurable platform and various experimental performance results are presented.",1060-9857,0-7695-2239-4,,10.1109/RELDIS.2004.1353017,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1353017,,Automatic control;Computer worms;Computerized monitoring;Control systems;Counting circuits;IP networks;Information systems;Internet;Sensor systems;Transportation,Internet;invasive software,Internet worms;defense system;highly configurable platform;monitor-analyze-respond approach;reactive control system;very large networks,,3,,19,,,18-20 Oct. 2004,,IEEE,IEEE Conference Publications,,,
Boosted Modified Probabilistic Neural Network (BMPNN) for Network Intrusion Detection,"Tich Phuoc Tran; Jan, T.","Univ. of Technol., Sydney","Neural Networks, 2006. IJCNN '06. International Joint Conference on",20061030,2006,,,2354,2361,"Most of the currently available network security techniques are not able to cope with the dynamic and increasingly complex nature of the attacks on distributed computer systems. An automated and adaptive defensive tool is imperative for computer networks. One of the emerging solutions for Network Security is the Intrusion Detection System (IDS). However, this technology still faces some challenges such as low detection rates, high false alarm rates and requirement of heavy computational power. To overcome these difficulties, this paper proposes an innovative Machine Learning algorithm called Boosted Modified Probabilistic Neural Network (BMPNN) which utilizes semi-parametric learning model and Adaptive boosting techniques to reduce learning bias and generalization variance in difficult classification. In this paper, BMPNN is implemented as a classifier to detect different types of network anomalies in the KDD-99 benchmark. Extensive experimental outcome indicates that the proposed BMPNN outperforms other state-of-the-art learning algorithms in terms of detection accuracy and model robustness at an affordable computational cost.",,0-7803-9490-9,,10.1109/IJCNN.2006.247058,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1716408,Artificial Neural Network;Generalization Variance;Learning Bias;Network Intrusion Detection,Computer networks;Computer security;Distributed computing;Face detection;Intrusion detection;Machine learning;Machine learning algorithms;Neural networks;Power system modeling;Power system security,computer networks;learning (artificial intelligence);neural nets;telecommunication security,adaptive boosting techniques;boosted modified probabilistic neural network;computer networks;distributed computer systems;machine learning algorithm;network intrusion detection;network security techniques;semiparametric learning model,,1,,26,,,0-0 0,,IEEE,IEEE Conference Publications,,,
Fuzzy feature extraction and visualization for intrusion detection,"Jianqiang Xin; Dickerson, J.E.; Dickerson, J.A.","Electr. & Comput. Eng. Dept., Iowa State Univ., Ames, IA, USA","Fuzzy Systems, 2003. FUZZ '03. The 12th IEEE International Conference on",20030625,2003,2,,1249,1254 vol.2,The Fuzzy Intrusion Recognition Engine (FIRE) is a network intrusion detection system that uses fuzzy systems to assess malicious activity against computer networks. A key part of an intrusion detection system is the selection of key features that can characterize the state of the network. This work uses interactive data visualization to analyze the features of several different intrusion detection scenarios using the DARPA Lincoln Labs test data. Visualizing the data helps to characterize which features are key for identifying intrusions and if they can be characterized as fuzzy sets or by Boolean variables. These inputs can then be input into a fuzzy cognitive map that serves to fuse the inputs to detect more complex attacks.,,0-7803-7810-5,,10.1109/FUZZ.2003.1206610,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1206610,,Computer networks;Data analysis;Data visualization;Engines;Feature extraction;Fires;Fuzzy sets;Fuzzy systems;Intrusion detection;Testing,data visualisation;feature extraction;fuzzy logic;fuzzy systems;image recognition;local area networks;multi-agent systems;security of data;telecommunication security,Boolean variables;DARPA;Defence Advanced Research Projects Agency;FIRE;complex attacks;computer networks;data visualization;fuzzy cognitive map;fuzzy feature extraction;fuzzy intrusion recognition engine;fuzzy systems;intrusion detection;malicious activity;network state;visualization,,3,,14,,,25-28 May 2003,,IEEE,IEEE Conference Publications,,,
"A Self-Healing, Self-Protecting Collaborative Intrusion Detection Architecture to Trace-Back Fast-Flux Phishing Domains","Zhou, C.V.; Leckie, C.; Karunasekera, S.; Tao Peng","Dept. of Comput. Sci. & Software Eng., Melbourne Univ., Melbourne, VIC","Network Operations and Management Symposium Workshops, 2008. NOMS Workshops 2008. IEEE",20080502,2008,,,321,327,"Millions of users divulge their personal information on phishing web sites, which causes over a billion dollars loss every year. Phishing domain take-down is the most promising approach to address this security issue, since there will be nothing there for a misled user to see if the fraudulent website has been removed completely. A key part of the take-down procedure is phishing hosting system trace-back. Traditional phishing hosting machines can be identified relatively quickly by their public DNS name or directly if their IP address is embedded within spam email. However, a newer architectural innovation known as fast-flux networks uses a pool of compromised machines to hide the phishing website hosting system, which makes phishing website trace-back almost impractical. We propose a decentralized collaborative intrusion detection approach to address this defense challenge, which is based on a collaborative intrusion detection system (CIDS) architecture. The participating detection systems are from different ISPs, which allows the fast-flux machines to be monitored. The suspicious communication pattern of fast- flux machines are correlated across different ISPs in a multistage manner, to trace-back the actual phishing website hosting machine. The architecture is scalable and self-healing through its use of a structured peer-to-peer network, and also enables the participants to be self-protecting. The communication is loosely coupled by a publish/subscribe mechanism. Our evaluation results show that our proposed decentralized CIDS is more effective than a fully centralized system.",,978-1-4244-2067-4,,10.1109/NOMSW.2007.50,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4509966,,Collaboration;Collaborative software;Computer architecture;Computer science;Gold;Government;Intrusion detection;Iron;Laboratories;Software engineering,Internet;Web sites;groupware;peer-to-peer computing;security of data;telecommunication security,IP address;Internet service provider;Web sites;fast-flux network;peer-to-peer network;self-healing collaborative intrusion detection architecture;self-protecting collaborative intrusion detection architecture;trace-back fast-flux phishing domain,,4,,25,,,7-11 April 2008,,IEEE,IEEE Conference Publications,,,
A DoS Resilient Flow-level Intrusion Detection Approach for High-speed Networks,Yan Gao; Zhichun Li; Yan Chen,Northwestern Univ,"Distributed Computing Systems, 2006. ICDCS 2006. 26th IEEE International Conference on",20060724,2006,,,39,39,"Global-scale attacks like viruses and worms are increasing in frequency, severity and sophistication, making it critical to detect outbursts at routers/gateways instead of end hosts. In this paper we leverage data streaming techniques such as the reversible sketch to obtain HiFIND, a High-speed Flow-level Intrusion Detection system. In contrast to existing intrusion detection systems, HiFIND I ) is scalable to flow-level detection on high-speed networks; 2) zs DoS resilient; 3) can distinguish SYN flooding and various port scans (mostly for worm propagation) for effective mitigation; 4 ) enables aggregate detection over multiple routers/gateways; and 5) separates anomalies to limit false positives in detection. Both theoretical analysis and evaluation with several router traces show that HiFIND achieves these properties. To the best of our knowledge, HiFIND is the first online DoS resilient flow-level intrusion detection system for high-speed networks (approximately 10s of Gigabit/second), even for the worst case trafic of 40-byte-packet streams with each packet forming a flow.",1063-6927,0-7695-2540-7,,10.1109/ICDCS.2006.6,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1648826,,Aggregates;Bandwidth;Frequency;Hardware;High-speed networks;Intrusion detection;Routing;Scalability;Telecommunication traffic;Viruses (medical),,,,9,,17,,,2006,,IEEE,IEEE Conference Publications,,,
An Integrated System of Intrusion Detection Based on Rough Set and Wavelet Neural Network,Ling Yu; Bo Chen; Junmo Xiao,"Nanjing Normal Univ., Nanjing","Natural Computation, 2007. ICNC 2007. Third International Conference on",20071105,2007,3,,194,199,"In order to improve the performance of traditional intrusion detection system (IDS) based on neural network, we design and implement an integrated model of IDS based on rough set and wavelet neural network (RWNN-IDS). This paper focuses on applying RWNN for attacks recognition. We first present a conditional information entropy based algorithm to select the smallest features set, which can ensure the correct classification. We then design a novel wavelet neural network(WNN), its hidden unit is a multi dimensional non-product wavelet-sigmoid basis function. A set of heuristic learning rules using dynamic hidden nodes method is presented for attacks classification. Constructing and training the WNN with tidy training set can improve generalization capability and classification accuracy. The experimental results show that this system outperforms traditional neural network based IDS in terms of detection speed and accuracy, computational cost, system adaptability. It also provides new ideas to improve performance of distributed IDS.",,978-0-7695-2875-5,,10.1109/ICNC.2007.229,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4344505,,Artificial intelligence;Computational efficiency;Data analysis;Intrusion detection;Memory;Multidimensional systems;Neural networks;Protection;Set theory;Wavelet analysis,entropy;learning (artificial intelligence);neural nets;rough set theory;security of data,attacks classification;attacks recognition;dynamic hidden nodes;heuristic learning rules;information entropy;intrusion detection;rough set;wavelet neural network;wavelet-sigmoid basis function,,2,,17,,,24-27 Aug. 2007,,IEEE,IEEE Conference Publications,,,
An automatic portscan detection system with adaptive threshold setting,"Kim, Sang Kon; Lee, Seung Ho; Seo, Seung Woo","School of Electrical Engineering and Computer Science &#x0026; Institute of New Media and Communications, Seoul National University, Korea","Communications and Networks, Journal of",20121220,2010,12,1,74,85,"For the purpose of compromising hosts, attackers including infected hosts initially perform a portscan using IP addresses in order to find vulnerable hosts. Considerable research related to portscan detection has been done and many algorithms have been proposed and implemented in the network intrusion detection system (NIDS). In order to distinguish portscanners from remote hosts, most portscan detection algorithms use a fixed threshold that is manually managed by the network manager. Because the threshold is a constant, even though the network environment or the characteristics of traffic can change, many false positives and false negatives are generated by NIDS. This reduces the efficiency of NIDS and imposes a high processing burden on a network management system (NMS). In this paper, in order to address this problem, we propose an automatic portscan detection system using an fast increase slow decrease (FISD) scheme, that will automatically and adaptively set the threshold based on statistical data for traffic during prior time periods. In particular, we focus on reducing false positives rather than false negatives, while the threshold is adaptively set within a range between minimum and maximum values. We also propose a new portscan detection algorithm, rate of increase in the number of failed connection request (RINF), which is much more suitable for our system and shows better performance than other existing algorithms. In terms of the implementation, we compare our scheme with other two simple threshold estimation methods for an adaptive threshold setting scheme. Also, we compare our detection algorithm with other three existing approaches for portscan detection using a real traffic trace. In summary, we show that FISD results in less false positives than other schemes and RINF can fast and accurately detect portscanners. We also show that the proposed system, including our scheme and algorithm, provides good performance in terms of the rate of false positi- es.",1229-2370,,,10.1109/JCN.2010.6388436,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6388436,Adaptive threshold setting;automatic portscan detection;false negative;false positive,Adaptive systems;Detection algorithms;Detectors;Feature extraction;Heating;IP networks;Real-time systems,,,,1,,19,,,Feb. 2010,,IEEE,IEEE Journals & Magazines,,,
Modeling Modern Network Attacks and Countermeasures Using Attack Graphs,"Ingols, K.; Chu, M.; Lippmann, R.; Webster, S.; Boyer, S.","Lincoln Lab., MIT, Lexington, MA, USA","Computer Security Applications Conference, 2009. ACSAC '09. Annual",20100115,2009,,,117,126,"By accurately measuring risk for enterprise networks, attack graphs allow network defenders to understand the most critical threats and select the most effective countermeasures. This paper describes substantial enhancements to the NetSPA attack graph system required to model additional present-day threats (zero-day exploits and client-side attacks) and countermeasures (intrusion prevention systems, proxy firewalls, personal firewalls, and host-based vulnerability scans). Point-to-point reachability algorithms and structures were extensively redesigned to support ""reverse"" reachability computations and personal firewalls. Host-based vulnerability scans are imported and analyzed. Analysis of an operational network with 84 hosts demonstrates that client-side attacks pose a serious threat. Experiments on larger simulated networks demonstrated that NetSPA's previous excellent scaling is maintained. Less than two minutes are required to completely analyze a four-enclave simulated network with more than 40,000 hosts protected by personal firewalls.",1063-9527,978-0-7695-3919-5,,10.1109/ACSAC.2009.21,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5380524,SCAP;attack graph;attack tree;network defense;network reachability,Analytical models;Application software;Computational modeling;Computer networks;Computer security;Computer worms;Laboratories;Military computing;Protection;Risk management,authorisation;computer network security;graph theory;reachability analysis,NetSPA attack graph system;client-side attack;enterprise networks risk measurement;host based vulnerability scan;intrusion prevention system;modeling modern network attack;personal firewall;point-to-point reachability algorithm;proxy firewall;reverse reachability computation;zero-day exploit,,20,1,29,,,7-11 Dec. 2009,,IEEE,IEEE Conference Publications,,,
SecureDirect: proactive security through content based traffic control,"Stevens, J.; Saniepour, S.",,"Advanced Information Networking and Applications, 2003. AINA 2003. 17th International Conference on",20030408,2003,,,704,709,"The exponential growth of Internet traffic has made public servers increasingly vulnerable to unauthorized accesses and intrusions. So far the focus of most studies of this problem has been on either blocking unused ports (fire-walling) or detecting attacks with an intrusion detection system (IDS). In this paper we introduce the design and implementation of SecureDirect, which is an attempt at addressing the problem of intrusion prevention by combining an IDS with a stateful load balancer SecureDirect is a real time load balancer that distinguishes between traffic coming from ""good"" clients and traffic originating from attackers. Based on this, traffic from an identified attacker is redirected to an alternative server where damage can be mitigated. The advantage of this system is that it blocks intrusions in a manner transparent to the attacker and allows for observation and investigation of attacks in order to enable the administrator to take appropriate action. We also suggest possible uses for this type of system, and then present the results of a series of stress tests against our implementation of the idea.",,0-7695-1906-7,,10.1109/AINA.2003.1192971,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1192971,,Delay;Humans;Intrusion detection;Monitoring;Protection;Stress;System testing;Traffic control;Web and internet services;Web server,Internet;authorisation;client-server systems;resource allocation;telecommunication security;telecommunication traffic,Internet traffic;SecureDirect;attackers;clients;content based traffic control;intrusion prevention;proactive security;public servers;real time load balancer;stateful load balancer;unauthorized accesses,,0,,11,,,27-29 March 2003,,IEEE,IEEE Conference Publications,,,
Detecting critical nodes for MANET intrusion detection systems,"Karygiannis, A.; Antonakakis, E.; Apostolopoulos, A.","National Inst. of Stand. & Technol., Gaithersburg, MD","Security, Privacy and Trust in Pervasive and Ubiquitous Computing, 2006. SecPerU 2006. Second International Workshop on",20060710,2006,,,9 pp.,15,"Ad hoc routing protocols have been designed to efficiently reroute traffic when confronted with network congestion, faulty nodes, and dynamically changing topologies. The common design goal of reactive, proactive, and hybrid ad hoc routing protocols is to faithfully route packets from a source node to a destination node while maintaining a satisfactory level of service in a resource-constrained environment. Detecting malicious nodes in an open ad hoc network in which participating nodes have no previous security associations presents a number of challenges not faced by traditional wired networks. Traffic monitoring in wired networks is usually performed at switches, routers and gateways, but an ad hoc network does not have these types of network elements where the intrusion detection system (IDS) can collect and analyze audit data for the entire network. A number of neighbor-monitoring, trust-building, and cluster-based voting schemes have been proposed in the research to enable the detection and reporting of malicious activity in ad hoc networks. The resources consumed by ad hoc network member nodes to monitor, detect, report, and diagnose malicious activity, however, may be greater than simply rerouting packets through a different available path. This paper presents a method for determining conditions under which critical nodes should be monitored, describes the details of a critical node test implementation, presents experimental results, and offers a new approach for conserving the limited resources of an ad hoc network IDS",,0-7695-2549-0,,10.1109/SECPERU.2006.8,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1644271,IDS;MANET;edge-cut;intrusion detection;mobile ad hoc network;security;vertex-cut.,Ad hoc networks;Data security;Face detection;Intrusion detection;Mobile ad hoc networks;Monitoring;Network topology;Routing protocols;Switches;Telecommunication traffic,ad hoc networks;mobile communication;routing protocols;security of data;telecommunication security,MANET intrusion detection systems;ad hoc routing protocols;critical node detection;mobile ad hoc network,,3,,16,,,29-29 June 2006,,IEEE,IEEE Conference Publications,,,
TFA: A Tunable Finite Automaton for Pattern Matching in Network Intrusion Detection Systems,"Yang Xu; Junchen Jiang; Rihua Wei; Yang Song; Chao, H.J.","Polytech. Sch. of Eng., New York Univ., New York, NY, USA","Selected Areas in Communications, IEEE Journal on",20141127,2014,32,10,1810,1821,"Deterministic finite automatons (DFAs) and nondeterministic finite automatons (NFAs) are two typical automatons used in the network intrusion detection system. Although they both perform regular expression matching, they have quite different performance and memory usage properties. DFAs provide fast and deterministic matching performance but suffer from the well-known state explosion problem. NFAs are compact, but their matching performance is unpredictable and with no worst case guarantee. In this paper, we propose a new automaton representation of regular expressions, called tunable finite automaton (TFA), to deal with the DFAs' state explosion problem and the NFAs' unpredictable performance problem. Different from a DFA, which has only one active state, a TFA allows multiple concurrent active states. Thus, the total number of states required by the TFA to track the matching status is much smaller than that required by the DFA. Different from an NFA, a TFA guarantees that the number of concurrent active states is bounded by a bound factor b that can be tuned during the construction of the TFA according to the needs of the application for speed and storage. Simulation results based on regular expression rule sets from Snort and Bro show that, with only two concurrent active states, a TFA can achieve significant reductions in the number of states and memory usage, e.g., a 98% reduction in the number of states and a 95% reduction in memory space.",0733-8716,,,10.1109/JSAC.2014.2358856,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6905778,Regular expression;finite automaton;pattern matching;state explosion,Automata;Bandwidth;Complexity theory;Educational institutions;Encoding;Explosions;Memory management,finite automata;pattern matching;public domain software;security of data,Bro;DFA;NFA;Snort;TFA;concurrent active states;network intrusion detection systems;nondeterministic finite automatons;pattern matching;regular expression rule sets;tunable finite automaton,,0,,25,,9/19/2014,Oct. 2014,,IEEE,IEEE Journals & Magazines,,,
Needles in Haystacks: Practical Intrusion Detection from Theoretical Results,"Marin, G.A.; Allen, W.H.",Florida Inst. of Technol.,"Local Computer Networks, Proceedings 2006 31st IEEE Conference on",20070226,2006,,,571,573,"Many researchers are working towards discovering techniques that can alert network administrators to the presence of previously unseen attacks in their networks. Here we focus on attacks, such as denial-of service attacks, that depend on multiple packets being sent over minutes or, at least, several seconds. No definitive technique has been demonstrated that can guarantee a substantial probability of detection while keeping probability of false alarm at an acceptable level. However, theoretical work by Li, Jia, and Zhao (referenced below) describes an interesting approach based on observing changes to autocorrelations obtained over time from measured traffic. Their work provides a theoretical way of estimating probability of detection vs. probability of false alarm. They make assumptions concerning availability of a background template and normality of residuals that bear examining with real traffic and attacks. This paper attempts a practical approach",0742-1303,1-4244-0418-5,1-4244-0419-3,10.1109/LCN.2006.322016,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4116621,,Autocorrelation;Estimation theory;Home appliances;Intrusion detection;Marine technology;Needles;Probability;Radar detection;Switches;Time measurement,security of data,denial-of service attack;intrusion detection;network administration,,0,,2,,,14-16 Nov. 2006,,IEEE,IEEE Conference Publications,,,
A cross-layer based intrusion detection approach for wireless ad hoc networks,"Thamilarasu, G.; Balasubramanian, A.; Mishra, S.; Sridhar, R.","Buffalo Univ., NY","Mobile Adhoc and Sensor Systems Conference, 2005. IEEE International Conference on",20051212,2005,,,7 pp.,861,"Wireless ad-hoc networks are vulnerable to various kinds of security threats and attacks due to relative ease of access to wireless medium and lack of a centralized infrastructure. In this paper, we seek to detect and mitigate the denial of service (DoS) attacks that prevent authorized users from gaining access to the networks. These attacks affect the service availability and connectivity of the wireless networks and hence reduce the network performance. To this end, we propose a novel cross-layer based intrusion detection system (CIDS) to identify the malicious node(s). Exploiting the information available across different layers of the protocol stack by triggering multiple levels of detection, enhances the accuracy of detection. We validate our design through simulations and also demonstrate lower occurrence of false positives",,0-7803-9465-8,,10.1109/MAHSS.2005.1542882,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1542882,,Access protocols;Ad hoc networks;Availability;Communication system security;Computer crime;Cross layer design;Intrusion detection;Mobile ad hoc networks;Network topology;Wireless networks,ad hoc networks;protocols;telecommunication security;telecommunication services,centralized infrastructure;cross-layer based intrusion detection approach;denial of service attacks;protocol stack;wireless ad hoc networks,,10,1,9,,,7-7 Nov. 2005,,IEEE,IEEE Conference Publications,,,
Scalable pattern matching for high speed networks,"Clark, C.R.; Schimmel, D.E.","Sch. of Electr. &comput. Eng., Georgia Inst. of Technol., Atlanta, GA, USA","Field-Programmable Custom Computing Machines, 2004. FCCM 2004. 12th Annual IEEE Symposium on",20041213,2004,,,249,257,"In this paper, we present a scalable FPGA design methodology for searching network packet payloads for a large number of patterns, including complex regular expressions. The efficiency of the technique enables a current-generation FPGA device to support pattern-matching at network rates from 1 Gbps to 100 Gbps and beyond. It offers flexible trade-offs between character capacity, throughput, and data bus width and rate. This allows the approach to be used in a wide range of devices from low-end home network appliances to high-end backbone routers. Suitable network applications for the FPGA pattern-matcher include firewalls, network intrusion detection, email virus scanning, and junk-email identification. In this work, we use a standard set of patterns from an intrusion detection system to demonstrate the performance and scalability of our design with a real-world application.",,0-7695-2230-0,,10.1109/FCCM.2004.50,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1364635,,Design methodology;Field programmable gate arrays;High-speed networks;Home appliances;Home automation;Intrusion detection;Pattern matching;Payloads;Spine;Throughput,computer networks;computer viruses;field programmable gate arrays;logic design;pattern matching;security of data,1 to 100 Gbit/s;FPGA design method;FPGA pattern matcher;backbone routers;complex regular expressions;email virus scanning;firewalls;flexible trade offs;high speed networks;home network appliances;junk email identification;network intrusion detection;scalable pattern matching;searching network packet payloads,,106,51,10,,,20-23 April 2004,,IEEE,IEEE Conference Publications,,,
Formalizing sensitivity in static analysis for intrusion detection,"Feng, H.H.; Giffin, J.T.; Yong Huang; Jha, S.; Wenke Lee; Miller, B.P.","Dept. of Electr. & Comput. Eng., Massachusetts-Amherst Univ., Amherst, MA, USA","Security and Privacy, 2004. Proceedings. 2004 IEEE Symposium on",20040601,2004,,,194,208,"A key function of a host-based intrusion detection system is to monitor program execution. Models constructed using static analysis have the highly desirable feature that they do not produce false alarms; however, they may still miss attacks. Prior work has shown a trade-off between efficiency and precision. In particular, the more accurate models based upon pushdown automata (PDA) are very inefficient to operate due to non-determinism in stack activity. In this paper, we present techniques for determinizing PDA models. We first provide a formal analysis framework of PDA models and introduce the concepts of determinism and stack-determinism. We then present the VP-Static model, which achieves determinism by extracting information about stack activity of the program, and the Dyck model, which achieves stack-determinism by transforming the program and inserting code to expose program state. Our results show that in run-time monitoring, our models slow execution of our test programs by 1% to 135%. This shows that reasonable efficiency needs not be sacrificed for model precision. We also compare the two models and discover that deterministic PDA are more efficient, although stack-deterministic PDA require less memory.",1081-6011,0-7695-2136-3,,10.1109/SECPRI.2004.1301324,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1301324,,Automata;Computerized monitoring;Data mining;Educational institutions;Intrusion detection;Operating systems;Personal digital assistants;Runtime;State-space methods;Testing,authorisation;formal specification;program diagnostics;pushdown automata;telecommunication security,Dyck model;VP-Static model;formal analysis;information extraction;intrusion detection;program execution monitoring;program testing;pushdown automata;run-time monitoring;stack-determinism;static analysis,,15,1,27,,,9-12 May 2004,,IEEE,IEEE Conference Publications,,,
Supporting interoperability to heterogeneous IDS in secure networking framework,Sang-Kil Park; Ki-Young Kim; Jong-Soo Jang; Bong-Nam Noh,"Inf. Security Res. Div., Electron. & Telecommun. Res. Inst., Taejeon, South Korea","Communications, 2003. APCC 2003. The 9th Asia-Pacific Conference on",20040322,2003,2,,844,848 Vol.2,"On 22 October 2002, ICANN, the Internet's main governing body, acknowledged that a massive distributed denial-of-service attack briefly shut down seven of the 13 central Domain Name Services servers that manage Internet traffic worldwide. Prompt action by DNS server operators minimized the duration and impact of the attack, which had little effect on overall Internet performance. Intrusion detection systems are researched and developed to detect attacks from outside world since 1980. Intrusion detection systems create an alert data or log data when detect an intrusion. But Many IDS uses heterogeneous data set, so these data must be mapped to another format. IDWG in IETF proposed IDMEF. This paper designs an alert data format compatible IDMEF. The secure networking framework is consisted of SGS and CPCS. SGS acts as an intrusion detection system on edge of network ingress point, and CPCS acts as a higher-level server. SGS makes an alert data compatible IDMEF and sends it to CPCS. CPCS parses an IDMEF alert data and makes an alert object for using correlation analysis. SGS can see its area only, but CPCS can see wide network area. CPCS can detect more complex attacks as well as support integrated management through cooperating each other. In the view of alert processing we converted raw alert data to Ladon-alert data to support interoperability. We use IDMEF-compatible alert datat structure. We have designed and developed integrated IDS on gateway, and security control server on higher-level class. Then this framework offers cooperative intrusion detection, policy based controlling.",,0-7803-8114-9,,10.1109/APCC.2003.1274479,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1274479,,Cities and towns;Computer science;Data security;Electronic mail;Information security;Intelligent networks;Intrusion detection;Network servers;Web and internet services;Web server,Internet;correlation methods;open systems;safety systems;telecommunication security,DNS server operators;IDMEF alert data;Internet traffic;Ladon-alert data;alert processing;correlation analysis;distributed denial-of-service;higher-level server;integrated management;intrusion detection systems;network ingress point;policy based control;secure networking;security control server,,1,,11,,,21-24 Sept. 2003,,IEEE,IEEE Conference Publications,,,
